,Frame ID,Timestamp,Hand 1 Landmarks,Hand 2 Landmarks
0,24,2023-08-01T15:55:34.036574,"[x: 0.5634172558784485
y: 0.9826455116271973
z: -5.676176897395635e-07
, x: 0.5150567889213562
y: 0.9509006142616272
z: -0.010891426354646683
, x: 0.4765082001686096
y: 0.8712455034255981
z: -0.017282290384173393
, x: 0.46736180782318115
y: 0.8029344081878662
z: -0.026519261300563812
, x: 0.47640368342399597
y: 0.7505495548248291
z: -0.033924270421266556
, x: 0.5237215161323547
y: 0.7790728807449341
z: -0.0007553942850790918
, x: 0.5166188478469849
y: 0.7152218818664551
z: -0.028214605525135994
, x: 0.48906075954437256
y: 0.7405217885971069
z: -0.04863159731030464
, x: 0.47525209188461304
y: 0.7862006425857544
z: -0.058055244386196136
, x: 0.5608829259872437
y: 0.7825982570648193
z: -0.007969181053340435
, x: 0.547838032245636
y: 0.7260409593582153
z: -0.03607168421149254
, x: 0.5208727717399597
y: 0.7790202498435974
z: -0.04795582965016365
, x: 0.5140532851219177
y: 0.8370714783668518
z: -0.048472803086042404
, x: 0.5980498194694519
y: 0.7991946935653687
z: -0.019056331366300583
, x: 0.5864174365997314
y: 0.7416876554489136
z: -0.04436057433485985
, x: 0.5598423480987549
y: 0.7929648160934448
z: -0.04290948808193207
, x: 0.5518295764923096
y: 0.8495410680770874
z: -0.034338124096393585
, x: 0.6359927654266357
y: 0.8256977796554565
z: -0.03139958158135414
, x: 0.6247268319129944
y: 0.7745673656463623
z: -0.04884868487715721
, x: 0.6013497710227966
y: 0.8038115501403809
z: -0.04460303857922554
, x: 0.5915069580078125
y: 0.8447123169898987
z: -0.03575824946165085
]",
1,25,2023-08-01T15:55:34.100210,"[x: 0.5702672600746155
y: 0.9588063955307007
z: -3.085440312133869e-07
, x: 0.5204028487205505
y: 0.9251736998558044
z: -0.018951361998915672
, x: 0.48634183406829834
y: 0.8424922823905945
z: -0.027782335877418518
, x: 0.47246846556663513
y: 0.7743964791297913
z: -0.03925568610429764
, x: 0.47521066665649414
y: 0.7141244411468506
z: -0.047020941972732544
, x: 0.5353187918663025
y: 0.7589299082756042
z: 0.005074110347777605
, x: 0.532924473285675
y: 0.6791915893554688
z: -0.023884546011686325
, x: 0.5101377964019775
y: 0.6913327574729919
z: -0.04368659481406212
, x: 0.4994296133518219
y: 0.7286645174026489
z: -0.05127789452672005
, x: 0.5681652426719666
y: 0.756686270236969
z: 0.0014891104074195027
, x: 0.5628479719161987
y: 0.6686640381813049
z: -0.028892038390040398
, x: 0.5349511504173279
y: 0.702900230884552
z: -0.04238156974315643
, x: 0.528438925743103
y: 0.7541840076446533
z: -0.041827037930488586
, x: 0.6024043560028076
y: 0.7666690349578857
z: -0.00797137152403593
, x: 0.6023880839347839
y: 0.6786285638809204
z: -0.03496697545051575
, x: 0.573373556137085
y: 0.7128214836120605
z: -0.03682814911007881
, x: 0.5656387805938721
y: 0.7632375359535217
z: -0.028328929096460342
, x: 0.6385689973831177
y: 0.786840558052063
z: -0.019763296470046043
, x: 0.6418524980545044
y: 0.7182751893997192
z: -0.03796990588307381
, x: 0.6188640594482422
y: 0.7268060445785522
z: -0.038100652396678925
, x: 0.6076900362968445
y: 0.7604206800460815
z: -0.03122188337147236
]",
2,26,2023-08-01T15:55:34.161432,"[x: 0.570197582244873
y: 0.9377959966659546
z: -3.070871343879844e-07
, x: 0.5226051211357117
y: 0.9008644819259644
z: -0.016899868845939636
, x: 0.4901407063007355
y: 0.8107036352157593
z: -0.024127909913659096
, x: 0.4777986407279968
y: 0.7397706508636475
z: -0.03455900773406029
, x: 0.4816126227378845
y: 0.6800379753112793
z: -0.04146707057952881
, x: 0.5399245619773865
y: 0.7234491109848022
z: 0.007676403969526291
, x: 0.539585292339325
y: 0.6386604905128479
z: -0.02048826776444912
, x: 0.5184966921806335
y: 0.6452516913414001
z: -0.04034581780433655
, x: 0.5070325136184692
y: 0.6789745092391968
z: -0.04804416000843048
, x: 0.5719980001449585
y: 0.7222124338150024
z: 0.002910270821303129
, x: 0.5719658136367798
y: 0.6233016848564148
z: -0.026894815266132355
, x: 0.5446426868438721
y: 0.6506074070930481
z: -0.04077009856700897
, x: 0.5344728231430054
y: 0.7007085084915161
z: -0.04060234874486923
, x: 0.6051989197731018
y: 0.7342451214790344
z: -0.0076661850325763226
, x: 0.6121084690093994
y: 0.6357851028442383
z: -0.033522844314575195
, x: 0.5832639932632446
y: 0.6623083353042603
z: -0.037092700600624084
, x: 0.5720518827438354
y: 0.7105247378349304
z: -0.03015431948006153
, x: 0.6393426060676575
y: 0.7578971982002258
z: -0.02054567076265812
, x: 0.6476936340332031
y: 0.6794854402542114
z: -0.03733101487159729
, x: 0.6237690448760986
y: 0.6815718412399292
z: -0.03851586580276489
, x: 0.6084346175193787
y: 0.7121050953865051
z: -0.03306896984577179
]",
3,27,2023-08-01T15:55:34.220210,"[x: 0.5709041357040405
y: 0.9189783334732056
z: -3.086959452502924e-07
, x: 0.5213441252708435
y: 0.8709755539894104
z: -0.013860008679330349
, x: 0.49078860878944397
y: 0.7785687446594238
z: -0.020488522946834564
, x: 0.48015090823173523
y: 0.7067632675170898
z: -0.031017400324344635
, x: 0.48714298009872437
y: 0.6506693363189697
z: -0.03781895712018013
, x: 0.5411226153373718
y: 0.6876358389854431
z: 0.011920742690563202
, x: 0.5410457253456116
y: 0.6078530550003052
z: -0.017473964020609856
, x: 0.5178713202476501
y: 0.6160479784011841
z: -0.039419643580913544
, x: 0.5052595138549805
y: 0.652901828289032
z: -0.048392437398433685
, x: 0.5726717114448547
y: 0.6858748197555542
z: 0.005481196101754904
, x: 0.5781005620956421
y: 0.5868617296218872
z: -0.023829370737075806
, x: 0.5491617321968079
y: 0.6039540767669678
z: -0.03896695002913475
, x: 0.5362117290496826
y: 0.6521626114845276
z: -0.040151387453079224
, x: 0.6053466796875
y: 0.699722409248352
z: -0.006924078334122896
, x: 0.6171967387199402
y: 0.6057616472244263
z: -0.03016830049455166
, x: 0.5871039628982544
y: 0.6170924305915833
z: -0.0361621156334877
, x: 0.5723572373390198
y: 0.6580653190612793
z: -0.032087136059999466
, x: 0.6389082670211792
y: 0.7271347045898438
z: -0.02179252915084362
, x: 0.651408314704895
y: 0.6526345610618591
z: -0.0354953408241272
, x: 0.6285000443458557
y: 0.6423497796058655
z: -0.03831775486469269
, x: 0.6098783612251282
y: 0.6623534560203552
z: -0.03499099984765053
]",
4,28,2023-08-01T15:55:34.283150,"[x: 0.5685684084892273
y: 0.868909478187561
z: -1.0826955332277066e-07
, x: 0.5138179063796997
y: 0.8099414110183716
z: -0.008083229884505272
, x: 0.48414283990859985
y: 0.7229831218719482
z: -0.010190433822572231
, x: 0.4789101183414459
y: 0.6484721899032593
z: -0.015958447009325027
, x: 0.4777648448944092
y: 0.5881401300430298
z: -0.018820174038410187
, x: 0.5379744172096252
y: 0.6229087710380554
z: 0.0271415114402771
, x: 0.5317225456237793
y: 0.5486783981323242
z: 0.00892161950469017
, x: 0.5132155418395996
y: 0.5283195972442627
z: -0.012624343857169151
, x: 0.4923584759235382
y: 0.5358235239982605
z: -0.024448059499263763
, x: 0.570245087146759
y: 0.615136444568634
z: 0.02045590616762638
, x: 0.5677977800369263
y: 0.5340275168418884
z: 0.008378997445106506
, x: 0.5488829016685486
y: 0.5032787919044495
z: -0.007917514070868492
, x: 0.5237181186676025
y: 0.5092970132827759
z: -0.016969973221421242
, x: 0.6025609970092773
y: 0.6247469782829285
z: 0.008103538304567337
, x: 0.6093652844429016
y: 0.5435788631439209
z: -0.001982268877327442
, x: 0.5948202610015869
y: 0.5095567107200623
z: -0.010670002549886703
, x: 0.5715699791908264
y: 0.5093701481819153
z: -0.014435793273150921
, x: 0.6350439786911011
y: 0.6500974297523499
z: -0.006679143290966749
, x: 0.6443996429443359
y: 0.5835570096969604
z: -0.015175850130617619
, x: 0.6333860158920288
y: 0.5457291603088379
z: -0.019681602716445923
, x: 0.6120604872703552
y: 0.5317236185073853
z: -0.020286519080400467
]",
5,29,2023-08-01T15:55:34.347022,"[x: 0.5700122117996216
y: 0.853489875793457
z: -1.867981893610704e-07
, x: 0.5136294960975647
y: 0.7933999300003052
z: -0.0026530891191214323
, x: 0.4846746623516083
y: 0.7059637904167175
z: -0.0016759387217462063
, x: 0.4794501066207886
y: 0.6331055760383606
z: -0.0054665980860590935
, x: 0.47620096802711487
y: 0.574148952960968
z: -0.007504802197217941
, x: 0.5370550751686096
y: 0.6127166748046875
z: 0.031428202986717224
, x: 0.5295301675796509
y: 0.540937066078186
z: 0.0146463168784976
, x: 0.5086407661437988
y: 0.5160294771194458
z: -0.005735300946980715
, x: 0.48361167311668396
y: 0.5116796493530273
z: -0.017542758956551552
, x: 0.5696128606796265
y: 0.6027764678001404
z: 0.021973153576254845
, x: 0.5657699704170227
y: 0.5193365216255188
z: 0.011605450883507729
, x: 0.5457553863525391
y: 0.48076575994491577
z: -0.0041227322071790695
, x: 0.5183699131011963
y: 0.470214307308197
z: -0.013943996280431747
, x: 0.6020095944404602
y: 0.610474705696106
z: 0.007254332769662142
, x: 0.6050595641136169
y: 0.5270474553108215
z: -0.0018769376911222935
, x: 0.5885304808616638
y: 0.48938101530075073
z: -0.01088959351181984
, x: 0.5624045133590698
y: 0.4773182272911072
z: -0.015789346769452095
, x: 0.6344199776649475
y: 0.6331722140312195
z: -0.009440247900784016
, x: 0.6428160071372986
y: 0.564342737197876
z: -0.017007704824209213
, x: 0.6324805617332458
y: 0.524101734161377
z: -0.02133336290717125
, x: 0.6112402081489563
y: 0.5014135241508484
z: -0.022911924868822098
]",
6,30,2023-08-01T15:55:34.411084,"[x: 0.5729343295097351
y: 0.8014695048332214
z: -8.891053226989243e-08
, x: 0.5147489905357361
y: 0.7500272393226624
z: -0.006528353784233332
, x: 0.4813213050365448
y: 0.6606643199920654
z: -0.005302853882312775
, x: 0.47249850630760193
y: 0.5840662121772766
z: -0.0077108643017709255
, x: 0.4658167362213135
y: 0.5246226787567139
z: -0.008441074751317501
, x: 0.5335321426391602
y: 0.5694151520729065
z: 0.02968318946659565
, x: 0.5253708958625793
y: 0.5001215934753418
z: 0.016295919194817543
, x: 0.5075932741165161
y: 0.47288984060287476
z: -0.0022513491567224264
, x: 0.48578688502311707
y: 0.45879852771759033
z: -0.01443570852279663
, x: 0.5661959052085876
y: 0.5556020736694336
z: 0.022564813494682312
, x: 0.560943067073822
y: 0.47314703464508057
z: 0.014704333618283272
, x: 0.5411016941070557
y: 0.42731407284736633
z: -0.0007559997029602528
, x: 0.5154327750205994
y: 0.3962620198726654
z: -0.012283951975405216
, x: 0.5976450443267822
y: 0.5597777366638184
z: 0.009945792146027088
, x: 0.5998679399490356
y: 0.47838082909584045
z: 0.001053527812473476
, x: 0.5827853083610535
y: 0.43311452865600586
z: -0.010933615267276764
, x: 0.5566306114196777
y: 0.4028995633125305
z: -0.019245419651269913
, x: 0.6293246746063232
y: 0.5786003470420837
z: -0.004813431296497583
, x: 0.6361600756645203
y: 0.5100053548812866
z: -0.012679226696491241
, x: 0.6228927969932556
y: 0.4684162735939026
z: -0.018903719261288643
, x: 0.5982758402824402
y: 0.43869173526763916
z: -0.023122455924749374
]",
7,31,2023-08-01T15:55:34.468826,"[x: 0.5676667094230652
y: 0.7770686745643616
z: -7.96277461745376e-08
, x: 0.5108699798583984
y: 0.7260727286338806
z: -0.006283592898398638
, x: 0.47991180419921875
y: 0.6405382752418518
z: -0.003625955432653427
, x: 0.4731796681880951
y: 0.5668063163757324
z: -0.0048492965288460255
, x: 0.46747076511383057
y: 0.5092694163322449
z: -0.004775581415742636
, x: 0.5324420928955078
y: 0.5517098903656006
z: 0.0309185441583395
, x: 0.5247670412063599
y: 0.483752578496933
z: 0.01742718182504177
, x: 0.5054296851158142
y: 0.45454275608062744
z: -0.0010037280153483152
, x: 0.48167237639427185
y: 0.43688130378723145
z: -0.013129062950611115
, x: 0.5657494068145752
y: 0.5367603898048401
z: 0.023498589172959328
, x: 0.5637800693511963
y: 0.45302173495292664
z: 0.01554885134100914
, x: 0.545128583908081
y: 0.4038732647895813
z: 3.1970994314178824e-05
, x: 0.5207301378250122
y: 0.3660186529159546
z: -0.011598682962357998
, x: 0.5965788960456848
y: 0.5395022630691528
z: 0.010401757434010506
, x: 0.6032139658927917
y: 0.4568369388580322
z: 0.0004058442427776754
, x: 0.5883961319923401
y: 0.41100013256073
z: -0.011607231572270393
, x: 0.5647993683815002
y: 0.37777915596961975
z: -0.01954103447496891
, x: 0.6260759234428406
y: 0.5556545257568359
z: -0.0048607876524329185
, x: 0.6361033916473389
y: 0.48621949553489685
z: -0.013437888585031033
, x: 0.625163197517395
y: 0.4435098171234131
z: -0.019478999078273773
, x: 0.6030099391937256
y: 0.41074880957603455
z: -0.023552367463707924
]",
8,32,2023-08-01T15:55:34.531005,"[x: 0.5655920505523682
y: 0.7718847393989563
z: -1.542420449140991e-07
, x: 0.5109909176826477
y: 0.7235276699066162
z: -0.005726579111069441
, x: 0.4801977872848511
y: 0.6361476182937622
z: -0.004206757061183453
, x: 0.47186005115509033
y: 0.5627973079681396
z: -0.006645201705396175
, x: 0.4683264195919037
y: 0.5071367025375366
z: -0.007944690994918346
, x: 0.5341660380363464
y: 0.5486039519309998
z: 0.02691139653325081
, x: 0.5263566970825195
y: 0.4786025881767273
z: 0.011482199653983116
, x: 0.5059616565704346
y: 0.4520195722579956
z: -0.007550639100372791
, x: 0.48185211420059204
y: 0.43825167417526245
z: -0.019613318145275116
, x: 0.566112220287323
y: 0.5349071025848389
z: 0.018880348652601242
, x: 0.5631973743438721
y: 0.4498096704483032
z: 0.009797632694244385
, x: 0.5433787107467651
y: 0.3998205065727234
z: -0.006166522856801748
, x: 0.5177811980247498
y: 0.3622840642929077
z: -0.018346602097153664
, x: 0.5966498851776123
y: 0.5390112996101379
z: 0.005480875726789236
, x: 0.6048169732093811
y: 0.4563116133213043
z: -0.005223019979894161
, x: 0.589616596698761
y: 0.41063588857650757
z: -0.018392466008663177
, x: 0.5647931098937988
y: 0.378045916557312
z: -0.027326498180627823
, x: 0.6258566975593567
y: 0.5562369227409363
z: -0.009822805412113667
, x: 0.6364719867706299
y: 0.48538002371788025
z: -0.01889217086136341
, x: 0.6254645586013794
y: 0.4435858130455017
z: -0.025854410603642464
, x: 0.6026575565338135
y: 0.41194623708724976
z: -0.03085028938949108
]",
9,33,2023-08-01T15:55:34.597063,"[x: 0.5601294040679932
y: 0.7642734050750732
z: -1.3680993049547396e-07
, x: 0.5056837201118469
y: 0.7154785990715027
z: -0.004618736449629068
, x: 0.47493088245391846
y: 0.6277082562446594
z: -0.0015889790374785662
, x: 0.46664664149284363
y: 0.5544660687446594
z: -0.0024891241919249296
, x: 0.461605429649353
y: 0.4985039234161377
z: -0.002331109717488289
, x: 0.5299172401428223
y: 0.5418991446495056
z: 0.029118532314896584
, x: 0.5205796360969543
y: 0.47366535663604736
z: 0.01624879240989685
, x: 0.5010496377944946
y: 0.44489771127700806
z: -0.0012151261325925589
, x: 0.4789673388004303
y: 0.4275193214416504
z: -0.012871203012764454
, x: 0.5619606375694275
y: 0.5274997353553772
z: 0.020945018157362938
, x: 0.5570549368858337
y: 0.44396352767944336
z: 0.014462613500654697
, x: 0.538798451423645
y: 0.3912591338157654
z: 0.00016371258243452758
, x: 0.5156587362289429
y: 0.34940141439437866
z: -0.011448870413005352
, x: 0.5923376083374023
y: 0.530690610408783
z: 0.007467020768672228
, x: 0.5977410078048706
y: 0.4486081302165985
z: -0.001537024392746389
, x: 0.5839251279830933
y: 0.40195730328559875
z: -0.013766641728579998
, x: 0.5611529350280762
y: 0.3654290437698364
z: -0.022643519565463066
, x: 0.6218172907829285
y: 0.546968400478363
z: -0.00787440687417984
, x: 0.6317510604858398
y: 0.4787483513355255
z: -0.016345443204045296
, x: 0.6226957440376282
y: 0.43646615743637085
z: -0.02307545207440853
, x: 0.6023217439651489
y: 0.4019506275653839
z: -0.028184600174427032
]",
