,Frame ID,Timestamp,Hand 1 Landmarks,Hand 2 Landmarks
0,18,2023-08-01T15:51:33.200179,"[x: 0.6636918187141418
y: 0.9721068739891052
z: -2.2162463153563294e-07
, x: 0.6103009581565857
y: 0.918372631072998
z: -0.017345642670989037
, x: 0.5738013982772827
y: 0.8326711058616638
z: -0.03182400017976761
, x: 0.5604546666145325
y: 0.7646220326423645
z: -0.04787513613700867
, x: 0.5546634793281555
y: 0.7042540907859802
z: -0.06209324300289154
, x: 0.6178439259529114
y: 0.7286959886550903
z: -0.013757448643445969
, x: 0.6088497042655945
y: 0.631357729434967
z: -0.049729328602552414
, x: 0.5915991067886353
y: 0.6179899573326111
z: -0.07896047085523605
, x: 0.5769370198249817
y: 0.6423761248588562
z: -0.09357859939336777
, x: 0.6585819125175476
y: 0.7341263890266418
z: -0.022796332836151123
, x: 0.6633978486061096
y: 0.6354020237922668
z: -0.05265963077545166
, x: 0.6487290859222412
y: 0.63444983959198
z: -0.0721106231212616
, x: 0.6350319981575012
y: 0.6664732694625854
z: -0.08026546239852905
, x: 0.6974660754203796
y: 0.760850191116333
z: -0.03613229840993881
, x: 0.7062332034111023
y: 0.6718191504478455
z: -0.05925624445080757
, x: 0.6901819705963135
y: 0.6752331852912903
z: -0.06372476369142532
, x: 0.6750712990760803
y: 0.7035861015319824
z: -0.06298406422138214
, x: 0.7338758707046509
y: 0.8070423603057861
z: -0.05167045816779137
, x: 0.737515389919281
y: 0.7476558685302734
z: -0.06772510707378387
, x: 0.7236791849136353
y: 0.7384496331214905
z: -0.06621377915143967
, x: 0.7100043892860413
y: 0.7486041188240051
z: -0.06150815635919571
]",
1,19,2023-08-01T15:51:33.256623,"[x: 0.6703800559043884
y: 0.9560530185699463
z: -3.815741678181439e-08
, x: 0.6136966347694397
y: 0.8852840065956116
z: -0.012232465669512749
, x: 0.5801662802696228
y: 0.7925870418548584
z: -0.020101867616176605
, x: 0.5685659646987915
y: 0.7200121283531189
z: -0.03009415976703167
, x: 0.5617042183876038
y: 0.6554850339889526
z: -0.03853096440434456
, x: 0.6268720030784607
y: 0.7007617950439453
z: 0.0074816797859966755
, x: 0.6194316744804382
y: 0.622516930103302
z: -0.015706760808825493
, x: 0.6067566871643066
y: 0.5857933759689331
z: -0.039279721677303314
, x: 0.5890003442764282
y: 0.5611712336540222
z: -0.055275626480579376
, x: 0.6620461940765381
y: 0.7039270401000977
z: -0.001837817719206214
, x: 0.6540203094482422
y: 0.6254298686981201
z: -0.023714199662208557
, x: 0.6373246908187866
y: 0.5866225361824036
z: -0.04452919960021973
, x: 0.6151726245880127
y: 0.5605090856552124
z: -0.057769693434238434
, x: 0.6976633667945862
y: 0.7246503233909607
z: -0.015866344794631004
, x: 0.6964815258979797
y: 0.6455636024475098
z: -0.03546813130378723
, x: 0.6854349374771118
y: 0.6052020788192749
z: -0.04613712430000305
, x: 0.6684380769729614
y: 0.5745598077774048
z: -0.052095700055360794
, x: 0.7337253093719482
y: 0.7634333372116089
z: -0.03199772536754608
, x: 0.7371283173561096
y: 0.699587345123291
z: -0.04878731817007065
, x: 0.728585422039032
y: 0.6572006940841675
z: -0.05502507835626602
, x: 0.7145851254463196
y: 0.6205880045890808
z: -0.057741958647966385
]",
2,20,2023-08-01T15:51:33.320161,"[x: 0.6749094724655151
y: 0.9263432621955872
z: 5.212170606228028e-08
, x: 0.6164931654930115
y: 0.8609527349472046
z: -0.015853067860007286
, x: 0.5841841101646423
y: 0.7638652920722961
z: -0.0231980849057436
, x: 0.5743961334228516
y: 0.6881217956542969
z: -0.031581442803144455
, x: 0.5661574006080627
y: 0.6221358180046082
z: -0.03855398669838905
, x: 0.6343974471092224
y: 0.6685701608657837
z: 0.007005695253610611
, x: 0.6257439255714417
y: 0.5952437520027161
z: -0.011138870380818844
, x: 0.6149213910102844
y: 0.5568857192993164
z: -0.03171372786164284
, x: 0.6011770963668823
y: 0.5217740535736084
z: -0.04751073569059372
, x: 0.669446587562561
y: 0.6701682806015015
z: -0.00021286332048475742
, x: 0.6622560024261475
y: 0.5924702882766724
z: -0.01818624883890152
, x: 0.6475012898445129
y: 0.5503231287002563
z: -0.03801058232784271
, x: 0.6277278661727905
y: 0.5146854519844055
z: -0.05178532749414444
, x: 0.7039318680763245
y: 0.6903650164604187
z: -0.012127645313739777
, x: 0.7044627666473389
y: 0.6103224754333496
z: -0.029946813359856606
, x: 0.6951490044593811
y: 0.5669246912002563
z: -0.041482113301754
, x: 0.6784735321998596
y: 0.5298449397087097
z: -0.048983264714479446
, x: 0.7387886047363281
y: 0.7287227511405945
z: -0.026401834562420845
, x: 0.7444380521774292
y: 0.6615497469902039
z: -0.04285310581326485
, x: 0.7369067668914795
y: 0.6180018186569214
z: -0.04992307350039482
, x: 0.7226381897926331
y: 0.5780662298202515
z: -0.05390843003988266
]",
3,21,2023-08-01T15:51:33.387041,"[x: 0.6766018271446228
y: 0.8967229723930359
z: 1.1121315424134082e-07
, x: 0.616921067237854
y: 0.8343616127967834
z: -0.015693120658397675
, x: 0.5854969620704651
y: 0.7390239238739014
z: -0.023148629814386368
, x: 0.5769248604774475
y: 0.6618533134460449
z: -0.03164268657565117
, x: 0.5680398344993591
y: 0.5930518507957458
z: -0.03875923901796341
, x: 0.6346384882926941
y: 0.6416650414466858
z: 0.005378311034291983
, x: 0.6260929107666016
y: 0.5649998784065247
z: -0.012834693305194378
, x: 0.6157311797142029
y: 0.5244768261909485
z: -0.03235632926225662
, x: 0.6037584543228149
y: 0.4861266613006592
z: -0.04724687710404396
, x: 0.6707561016082764
y: 0.6404818296432495
z: -0.0025080260820686817
, x: 0.6612921953201294
y: 0.5562819838523865
z: -0.019277991726994514
, x: 0.6483206152915955
y: 0.5063812732696533
z: -0.037869393825531006
, x: 0.6322510242462158
y: 0.4605715274810791
z: -0.05108672380447388
, x: 0.7059597969055176
y: 0.6590341925621033
z: -0.015050103887915611
, x: 0.7057409882545471
y: 0.5728622674942017
z: -0.0329793319106102
, x: 0.6978811621665955
y: 0.5231043100357056
z: -0.04453164339065552
, x: 0.6842634677886963
y: 0.47630774974823
z: -0.05216934531927109
, x: 0.7410104870796204
y: 0.6955536603927612
z: -0.029820844531059265
, x: 0.745198130607605
y: 0.6239528656005859
z: -0.046795912086963654
, x: 0.7395029067993164
y: 0.5762279033660889
z: -0.05362967029213905
, x: 0.7284034490585327
y: 0.5298413634300232
z: -0.05745531991124153
]",
4,22,2023-08-01T15:51:33.447292,"[x: 0.6879221796989441
y: 0.8409680128097534
z: 3.843129547931312e-07
, x: 0.6222769021987915
y: 0.7722780108451843
z: -0.014221272431313992
, x: 0.5896703004837036
y: 0.6742450594902039
z: -0.017465032637119293
, x: 0.5802730321884155
y: 0.5902152061462402
z: -0.02199483849108219
, x: 0.5672962665557861
y: 0.5220723748207092
z: -0.025646915659308434
, x: 0.6399966478347778
y: 0.5779043436050415
z: 0.014771617949008942
, x: 0.6324909329414368
y: 0.4927690029144287
z: 0.0030675914604216814
, x: 0.6267542243003845
y: 0.43845197558403015
z: -0.012956926599144936
, x: 0.6223888397216797
y: 0.38582178950309753
z: -0.02607477270066738
, x: 0.6789047718048096
y: 0.5679004192352295
z: 0.007183002773672342
, x: 0.6737144589424133
y: 0.47197601199150085
z: -0.002631142269819975
, x: 0.6678372025489807
y: 0.4050682783126831
z: -0.019772009924054146
, x: 0.6603994965553284
y: 0.3442181944847107
z: -0.032853201031684875
, x: 0.7145053148269653
y: 0.5790210366249084
z: -0.004984105005860329
, x: 0.7154906392097473
y: 0.48415040969848633
z: -0.0179331935942173
, x: 0.7122344970703125
y: 0.417294442653656
z: -0.03174896165728569
, x: 0.7049169540405273
y: 0.35702162981033325
z: -0.04178287833929062
, x: 0.7489985823631287
y: 0.6093480587005615
z: -0.01922035403549671
, x: 0.752940833568573
y: 0.5306692719459534
z: -0.032030705362558365
, x: 0.75096595287323
y: 0.47457748651504517
z: -0.037912506610155106
, x: 0.7458343505859375
y: 0.42147043347358704
z: -0.0416155681014061
]",
5,23,2023-08-01T15:51:33.509378,"[x: 0.6892772316932678
y: 0.823733925819397
z: 3.090912343850505e-07
, x: 0.6245135068893433
y: 0.7632346153259277
z: -0.01872812584042549
, x: 0.5924131870269775
y: 0.6606000661849976
z: -0.02258412353694439
, x: 0.5843020677566528
y: 0.5749204754829407
z: -0.027066783979535103
, x: 0.5675775408744812
y: 0.5082589983940125
z: -0.030480658635497093
, x: 0.6399503350257874
y: 0.5597143769264221
z: 0.009857338853180408
, x: 0.6367360353469849
y: 0.47143474221229553
z: -0.004420206416398287
, x: 0.6334506273269653
y: 0.41793325543403625
z: -0.02138824388384819
, x: 0.6315218806266785
y: 0.366593599319458
z: -0.03516477718949318
, x: 0.6780024170875549
y: 0.5492570996284485
z: 0.003649800783023238
, x: 0.6751784086227417
y: 0.44510626792907715
z: -0.008476467803120613
, x: 0.6700384616851807
y: 0.3750306963920593
z: -0.025823112577199936
, x: 0.6639209985733032
y: 0.3110892176628113
z: -0.039273981004953384
, x: 0.7126048803329468
y: 0.5618512630462646
z: -0.007905568927526474
, x: 0.7152288556098938
y: 0.45899686217308044
z: -0.02305188775062561
, x: 0.7119743227958679
y: 0.39304912090301514
z: -0.03690005838871002
, x: 0.7058209180831909
y: 0.331125944852829
z: -0.047069843858480453
, x: 0.746781587600708
y: 0.5919010639190674
z: -0.02224118448793888
, x: 0.7520180344581604
y: 0.5096216201782227
z: -0.03749207407236099
, x: 0.7503988146781921
y: 0.45309242606163025
z: -0.045223526656627655
, x: 0.7460681796073914
y: 0.3977232277393341
z: -0.0507270023226738
]",
6,24,2023-08-01T15:51:33.577073,"[x: 0.6913933157920837
y: 0.8149561882019043
z: 2.6831554578166106e-07
, x: 0.6271065473556519
y: 0.7564150094985962
z: -0.019124820828437805
, x: 0.5938175320625305
y: 0.6505002975463867
z: -0.0223813708871603
, x: 0.5874108076095581
y: 0.5631567239761353
z: -0.025934860110282898
, x: 0.5731109380722046
y: 0.49633097648620605
z: -0.028696512803435326
, x: 0.6419522762298584
y: 0.5481210947036743
z: 0.008062263019382954
, x: 0.6379091143608093
y: 0.45788276195526123
z: -0.006322717294096947
, x: 0.6353574991226196
y: 0.40236854553222656
z: -0.023451106622815132
, x: 0.634823739528656
y: 0.3488085865974426
z: -0.03781187906861305
, x: 0.6809215545654297
y: 0.537510335445404
z: 0.0018362693954259157
, x: 0.6781336665153503
y: 0.4314027428627014
z: -0.010314425453543663
, x: 0.6745133399963379
y: 0.3608814775943756
z: -0.02846618741750717
, x: 0.6699366569519043
y: 0.2948886752128601
z: -0.0432758592069149
, x: 0.7157342433929443
y: 0.5501964688301086
z: -0.009655662812292576
, x: 0.7191872596740723
y: 0.4471084475517273
z: -0.025056298822164536
, x: 0.7178238034248352
y: 0.38056278228759766
z: -0.04080676659941673
, x: 0.7126951217651367
y: 0.3185584247112274
z: -0.05308236554265022
, x: 0.750154972076416
y: 0.5803735852241516
z: -0.023917287588119507
, x: 0.755752444267273
y: 0.499677449464798
z: -0.039935968816280365
, x: 0.7551062703132629
y: 0.44385313987731934
z: -0.049675632268190384
, x: 0.7511246204376221
y: 0.3890838027000427
z: -0.05735418573021889
]",
7,25,2023-08-01T15:51:33.643120,"[x: 0.6924856901168823
y: 0.8080384135246277
z: 2.5032267103597405e-07
, x: 0.6277979612350464
y: 0.7475321888923645
z: -0.018001582473516464
, x: 0.5939281582832336
y: 0.6430413126945496
z: -0.020675750449299812
, x: 0.5871794819831848
y: 0.5569725036621094
z: -0.023989662528038025
, x: 0.573903501033783
y: 0.48962217569351196
z: -0.02665325067937374
, x: 0.643683910369873
y: 0.5394803285598755
z: 0.010328027419745922
, x: 0.6396867632865906
y: 0.4489990472793579
z: -0.0032549756579101086
, x: 0.6371581554412842
y: 0.39354777336120605
z: -0.020296316593885422
, x: 0.6368632316589355
y: 0.3389620780944824
z: -0.03502785786986351
, x: 0.682453989982605
y: 0.5282154679298401
z: 0.0033604654017835855
, x: 0.6813284754753113
y: 0.4218367338180542
z: -0.008076428435742855
, x: 0.6791155338287354
y: 0.35244840383529663
z: -0.02673407457768917
, x: 0.676001250743866
y: 0.28546565771102905
z: -0.04228847846388817
, x: 0.7168004512786865
y: 0.5404253602027893
z: -0.008820747956633568
, x: 0.7208321690559387
y: 0.43776121735572815
z: -0.023736361414194107
, x: 0.7205262184143066
y: 0.37003272771835327
z: -0.04036245867609978
, x: 0.7164238095283508
y: 0.30569177865982056
z: -0.053719982504844666
, x: 0.7511227130889893
y: 0.5709359645843506
z: -0.023700464516878128
, x: 0.7568797469139099
y: 0.4915858805179596
z: -0.039392296224832535
, x: 0.7563430666923523
y: 0.4359390139579773
z: -0.04960780590772629
, x: 0.7522585391998291
y: 0.38034334778785706
z: -0.05805867537856102
]",
8,26,2023-08-01T15:51:33.707370,"[x: 0.6909649968147278
y: 0.7935854196548462
z: 3.283200271653186e-07
, x: 0.6246776580810547
y: 0.7324761152267456
z: -0.01853216253221035
, x: 0.589873731136322
y: 0.6296803951263428
z: -0.021557321771979332
, x: 0.5795474052429199
y: 0.5434487462043762
z: -0.02536247856914997
, x: 0.5595877170562744
y: 0.47936904430389404
z: -0.028364360332489014
, x: 0.638028085231781
y: 0.519715428352356
z: 0.012474684044718742
, x: 0.6364476084709167
y: 0.4268021285533905
z: -0.0007320403237827122
, x: 0.6338415145874023
y: 0.36891621351242065
z: -0.017933441326022148
, x: 0.6318705677986145
y: 0.313968688249588
z: -0.03262767940759659
, x: 0.6779323220252991
y: 0.5078719854354858
z: 0.005948562175035477
, x: 0.6793280243873596
y: 0.40014833211898804
z: -0.004933251533657312
, x: 0.6768695712089539
y: 0.3294820189476013
z: -0.022521676495671272
, x: 0.672160804271698
y: 0.26393231749534607
z: -0.036857329308986664
, x: 0.7130295634269714
y: 0.5203747153282166
z: -0.006123610306531191
, x: 0.7182170152664185
y: 0.41537296772003174
z: -0.02027168869972229
, x: 0.7174704074859619
y: 0.34862300753593445
z: -0.03485864773392677
, x: 0.7133173942565918
y: 0.28673887252807617
z: -0.04640154540538788
, x: 0.7476790547370911
y: 0.5511822700500488
z: -0.02111746370792389
, x: 0.7544053792953491
y: 0.4699060022830963
z: -0.036210037767887115
, x: 0.7541154026985168
y: 0.41419363021850586
z: -0.04498286917805672
, x: 0.7509466409683228
y: 0.3594282269477844
z: -0.05188348889350891
]",
9,27,2023-08-01T15:51:33.772374,"[x: 0.6888775825500488
y: 0.7909507751464844
z: 2.6090435767400777e-07
, x: 0.6218959093093872
y: 0.732487678527832
z: -0.017526647076010704
, x: 0.5856721997261047
y: 0.6256722807884216
z: -0.019299570471048355
, x: 0.5745704174041748
y: 0.5360590815544128
z: -0.022083764895796776
, x: 0.551101565361023
y: 0.4773178696632385
z: -0.024670099839568138
, x: 0.637543797492981
y: 0.5152269601821899
z: 0.012132666073739529
, x: 0.6353605389595032
y: 0.4215623736381531
z: -0.001551806810311973
, x: 0.6348904371261597
y: 0.3631620705127716
z: -0.019230319187045097
, x: 0.6359535455703735
y: 0.30696195363998413
z: -0.034524962306022644
, x: 0.6773722171783447
y: 0.503572404384613
z: 0.004942778497934341
, x: 0.6776856780052185
y: 0.3960683047771454
z: -0.006356540601700544
, x: 0.676870584487915
y: 0.3271123766899109
z: -0.02458885684609413
, x: 0.6743186712265015
y: 0.26236432790756226
z: -0.03981102630496025
, x: 0.7123923301696777
y: 0.515475869178772
z: -0.007626935839653015
, x: 0.7171323299407959
y: 0.4131231904029846
z: -0.021958617493510246
, x: 0.7167922854423523
y: 0.34674736857414246
z: -0.037142638117074966
, x: 0.7127243876457214
y: 0.2851128578186035
z: -0.04966522753238678
, x: 0.7471891045570374
y: 0.5461062788963318
z: -0.023115472868084908
, x: 0.7527310848236084
y: 0.4672214686870575
z: -0.038121260702610016
, x: 0.752845048904419
y: 0.412883996963501
z: -0.0473039448261261
, x: 0.75005042552948
y: 0.35940828919410706
z: -0.055089641362428665
]",
