,Frame ID,Timestamp,Hand 1 Landmarks,Hand 2 Landmarks
0,0,2023-08-01T16:27:42.114462,"[x: 0.7550535202026367
y: 0.8636884689331055
z: -8.965949405137508e-07
, x: 0.677574872970581
y: 0.7523425817489624
z: 0.018106471747159958
, x: 0.6429767608642578
y: 0.6500036716461182
z: 0.017140112817287445
, x: 0.6082033514976501
y: 0.5799828171730042
z: 0.0029509677551686764
, x: 0.5711974501609802
y: 0.5267344117164612
z: -0.012211083434522152
, x: 0.7309908270835876
y: 0.5432220101356506
z: 0.052319999784231186
, x: 0.6653192639350891
y: 0.4750569760799408
z: 0.02255294844508171
, x: 0.6065118908882141
y: 0.4726727306842804
z: -0.012304587289690971
, x: 0.5557758808135986
y: 0.48663485050201416
z: -0.033821139484643936
, x: 0.754600465297699
y: 0.5471735000610352
z: 0.024575423449277878
, x: 0.6693127155303955
y: 0.45976752042770386
z: -0.0021869579795747995
, x: 0.602508544921875
y: 0.4705159068107605
z: -0.034478455781936646
, x: 0.5523083806037903
y: 0.4951234459877014
z: -0.055356498807668686
, x: 0.7694178223609924
y: 0.5659235715866089
z: -0.007797239813953638
, x: 0.6905897259712219
y: 0.47098132967948914
z: -0.032475002110004425
, x: 0.6208109855651855
y: 0.48283907771110535
z: -0.05110940337181091
, x: 0.5697336792945862
y: 0.51385498046875
z: -0.0604439415037632
, x: 0.7682124972343445
y: 0.5978096723556519
z: -0.04006565734744072
, x: 0.6997140645980835
y: 0.5278536081314087
z: -0.05621400848031044
, x: 0.6484147906303406
y: 0.5227333307266235
z: -0.06318742781877518
, x: 0.6070972681045532
y: 0.5356153845787048
z: -0.0659780278801918
]",
1,1,2023-08-01T16:27:42.227123,"[x: 0.7481688261032104
y: 0.8567929863929749
z: -7.375277846222161e-07
, x: 0.6754111051559448
y: 0.7565066814422607
z: 0.012100430205464363
, x: 0.6403530836105347
y: 0.6504653692245483
z: 0.00938482116907835
, x: 0.6061564683914185
y: 0.5800676345825195
z: -0.0052013942040503025
, x: 0.5677870512008667
y: 0.5248259902000427
z: -0.019665386527776718
, x: 0.7284657955169678
y: 0.5469474196434021
z: 0.045291390269994736
, x: 0.6696376204490662
y: 0.4743192195892334
z: 0.013055143877863884
, x: 0.6125458478927612
y: 0.4695650339126587
z: -0.02123594656586647
, x: 0.56269770860672
y: 0.48518431186676025
z: -0.041992925107479095
, x: 0.7528741359710693
y: 0.5481428503990173
z: 0.019798358902335167
, x: 0.6755374073982239
y: 0.460349977016449
z: -0.009752058424055576
, x: 0.6105324029922485
y: 0.4677512049674988
z: -0.04037423059344292
, x: 0.5616751909255981
y: 0.49107304215431213
z: -0.05942186713218689
, x: 0.7689467668533325
y: 0.5675252676010132
z: -0.011044804006814957
, x: 0.6970362663269043
y: 0.4751185178756714
z: -0.04039549082517624
, x: 0.6283596754074097
y: 0.48785269260406494
z: -0.05718943849205971
, x: 0.5781990885734558
y: 0.5175032019615173
z: -0.06407742202281952
, x: 0.7691806554794312
y: 0.6023019552230835
z: -0.042131438851356506
, x: 0.7051512598991394
y: 0.538332462310791
z: -0.06352823227643967
, x: 0.6540504097938538
y: 0.5328159332275391
z: -0.07173758745193481
, x: 0.6126300096511841
y: 0.541174590587616
z: -0.0746636763215065
]",
2,2,2023-08-01T16:27:42.300138,"[x: 0.748362123966217
y: 0.8542418479919434
z: -7.845309824006108e-07
, x: 0.6742618680000305
y: 0.7590205669403076
z: 0.0144682377576828
, x: 0.6405001878738403
y: 0.6517248749732971
z: 0.014852912165224552
, x: 0.609216034412384
y: 0.5806136131286621
z: 0.0029279119335114956
, x: 0.5726824998855591
y: 0.5270613431930542
z: -0.00934858713299036
, x: 0.7217504382133484
y: 0.5473281741142273
z: 0.04730331897735596
, x: 0.6641647815704346
y: 0.4766373336315155
z: 0.01608099415898323
, x: 0.6068680286407471
y: 0.47377151250839233
z: -0.01725425198674202
, x: 0.5570478439331055
y: 0.490434467792511
z: -0.03744370862841606
, x: 0.7477278709411621
y: 0.5462305545806885
z: 0.020554721355438232
, x: 0.6723847389221191
y: 0.4590371251106262
z: -0.00797827634960413
, x: 0.6059791445732117
y: 0.4672726094722748
z: -0.03796450048685074
, x: 0.5565751791000366
y: 0.4909142851829529
z: -0.0562976710498333
, x: 0.7661663293838501
y: 0.5641582012176514
z: -0.011343870311975479
, x: 0.6949562430381775
y: 0.4722849726676941
z: -0.04130884259939194
, x: 0.6257182359695435
y: 0.4892616868019104
z: -0.058808546513319016
, x: 0.5767370462417603
y: 0.5205380916595459
z: -0.06569540500640869
, x: 0.768919050693512
y: 0.5986374616622925
z: -0.04315594583749771
, x: 0.7026304602622986
y: 0.5329853296279907
z: -0.06596547365188599
, x: 0.6493871808052063
y: 0.532133936882019
z: -0.07428647577762604
, x: 0.607647180557251
y: 0.5451189875602722
z: -0.07681266218423843
]",
3,3,2023-08-01T16:27:42.384312,"[x: 0.7503175735473633
y: 0.8531067371368408
z: -7.544318805230432e-07
, x: 0.6757811307907104
y: 0.7545294761657715
z: 0.015393514186143875
, x: 0.6407313346862793
y: 0.646399974822998
z: 0.014612223953008652
, x: 0.6051823496818542
y: 0.5756930708885193
z: 0.001217132550664246
, x: 0.56455397605896
y: 0.5210056900978088
z: -0.01222466304898262
, x: 0.7294278144836426
y: 0.545168936252594
z: 0.04999176040291786
, x: 0.6699013710021973
y: 0.47192829847335815
z: 0.019654374569654465
, x: 0.6126795411109924
y: 0.4669798016548157
z: -0.013210090808570385
, x: 0.5635384321212769
y: 0.48304396867752075
z: -0.03320366516709328
, x: 0.7536205053329468
y: 0.5451826453208923
z: 0.022719480097293854
, x: 0.6762176156044006
y: 0.45705002546310425
z: -0.005366858560591936
, x: 0.6109378337860107
y: 0.46613967418670654
z: -0.035037215799093246
, x: 0.5626860857009888
y: 0.49080660939216614
z: -0.053316470235586166
, x: 0.7689800262451172
y: 0.5635119080543518
z: -0.009774941951036453
, x: 0.697871208190918
y: 0.46930092573165894
z: -0.03886992856860161
, x: 0.6298093199729919
y: 0.48642322421073914
z: -0.05496092885732651
, x: 0.5812411904335022
y: 0.5184022784233093
z: -0.06106659397482872
, x: 0.7680999040603638
y: 0.5975466966629028
z: -0.04219968989491463
, x: 0.7032837867736816
y: 0.5315115451812744
z: -0.06413550674915314
, x: 0.6509984135627747
y: 0.5280963182449341
z: -0.07199499756097794
, x: 0.6095259189605713
y: 0.537837564945221
z: -0.07437606900930405
]",
4,4,2023-08-01T16:27:42.463082,"[x: 0.7505558133125305
y: 0.8513473868370056
z: -7.76302442773158e-07
, x: 0.6757696866989136
y: 0.7553750872612
z: 0.01560569554567337
, x: 0.6413307785987854
y: 0.6473298072814941
z: 0.015918636694550514
, x: 0.6087311506271362
y: 0.5757657885551453
z: 0.0037899676244705915
, x: 0.570127010345459
y: 0.5225223898887634
z: -0.008567791432142258
, x: 0.7265933156013489
y: 0.5432186722755432
z: 0.04995664581656456
, x: 0.6675339341163635
y: 0.4737953245639801
z: 0.020186349749565125
, x: 0.6108542680740356
y: 0.47058790922164917
z: -0.012638485990464687
, x: 0.5617440938949585
y: 0.4868479371070862
z: -0.032595694065093994
, x: 0.7515836954116821
y: 0.5427428483963013
z: 0.023049544543027878
, x: 0.6741349101066589
y: 0.45746666193008423
z: -0.004012996796518564
, x: 0.6093570590019226
y: 0.466484010219574
z: -0.033716440200805664
, x: 0.5608313679695129
y: 0.4912484884262085
z: -0.052032992243766785
, x: 0.7678210735321045
y: 0.5608500838279724
z: -0.0089317811653018
, x: 0.6954385638237
y: 0.4702243506908417
z: -0.036910779774188995
, x: 0.62711101770401
y: 0.4848816990852356
z: -0.05376987159252167
, x: 0.5777058005332947
y: 0.5149351358413696
z: -0.0606786273419857
, x: 0.7678852081298828
y: 0.5951751470565796
z: -0.04087592661380768
, x: 0.7033661603927612
y: 0.5299932360649109
z: -0.06206909567117691
, x: 0.6513975262641907
y: 0.526042640209198
z: -0.07017296552658081
, x: 0.6093453764915466
y: 0.5356564521789551
z: -0.07284590601921082
]",
5,5,2023-08-01T16:27:42.547203,"[x: 0.7496667504310608
y: 0.8499305248260498
z: -7.54860366214416e-07
, x: 0.674653947353363
y: 0.7502244710922241
z: 0.014598420821130276
, x: 0.6408239006996155
y: 0.644370436668396
z: 0.013797384686768055
, x: 0.605682373046875
y: 0.5731229186058044
z: 0.0004976255004294217
, x: 0.5654528141021729
y: 0.5192447900772095
z: -0.01291400846093893
, x: 0.7273180484771729
y: 0.5452485084533691
z: 0.050029002130031586
, x: 0.668513298034668
y: 0.47319987416267395
z: 0.019905192777514458
, x: 0.6120237708091736
y: 0.4681119918823242
z: -0.013307647779583931
, x: 0.5627068877220154
y: 0.4833403527736664
z: -0.033714812248945236
, x: 0.7515962719917297
y: 0.5442808866500854
z: 0.02329321950674057
, x: 0.6754316091537476
y: 0.4574100375175476
z: -0.004608182702213526
, x: 0.611104428768158
y: 0.4656294584274292
z: -0.03510604053735733
, x: 0.5622344017028809
y: 0.48923176527023315
z: -0.05416099354624748
, x: 0.767447829246521
y: 0.5617725849151611
z: -0.008662725798785686
, x: 0.6973046660423279
y: 0.4686553478240967
z: -0.037398144602775574
, x: 0.6298762559890747
y: 0.4837397336959839
z: -0.054448626935482025
, x: 0.5804697871208191
y: 0.5143117308616638
z: -0.06136935576796532
, x: 0.7672842144966125
y: 0.5956555604934692
z: -0.04066428169608116
, x: 0.7032294869422913
y: 0.5303433537483215
z: -0.062282584607601166
, x: 0.6515151262283325
y: 0.5242128968238831
z: -0.07080449908971786
, x: 0.6095818877220154
y: 0.531879186630249
z: -0.07384436577558517
]",
6,6,2023-08-01T16:27:42.643177,"[x: 0.7485366463661194
y: 0.8457598090171814
z: -7.431147537317884e-07
, x: 0.673173725605011
y: 0.7503566145896912
z: 0.014177854172885418
, x: 0.6369256973266602
y: 0.6464832425117493
z: 0.013295612297952175
, x: 0.6012636423110962
y: 0.5773389339447021
z: 8.575484389439225e-05
, x: 0.5633578300476074
y: 0.5229339599609375
z: -0.01302719209343195
, x: 0.7233342528343201
y: 0.5450578927993774
z: 0.04976200312376022
, x: 0.6660960912704468
y: 0.4732348918914795
z: 0.02016533724963665
, x: 0.6105707883834839
y: 0.46848663687705994
z: -0.012562474235892296
, x: 0.5631580948829651
y: 0.48533201217651367
z: -0.0325925275683403
, x: 0.7469799518585205
y: 0.5434578657150269
z: 0.023507649078965187
, x: 0.6726715564727783
y: 0.4563043713569641
z: -0.0036135728005319834
, x: 0.6094318628311157
y: 0.46514320373535156
z: -0.03359584882855415
, x: 0.5626364946365356
y: 0.49016520380973816
z: -0.052391331642866135
, x: 0.7626383900642395
y: 0.5598030090332031
z: -0.007973473519086838
, x: 0.6949409246444702
y: 0.46530067920684814
z: -0.03572283685207367
, x: 0.6273592114448547
y: 0.48014402389526367
z: -0.05245763808488846
, x: 0.5787749290466309
y: 0.512056827545166
z: -0.05945192649960518
, x: 0.7625976204872131
y: 0.5920282602310181
z: -0.03953060507774353
, x: 0.6992101669311523
y: 0.5262000560760498
z: -0.06027403101325035
, x: 0.646658182144165
y: 0.5206959843635559
z: -0.0685049518942833
, x: 0.604625940322876
y: 0.5297743082046509
z: -0.07149910181760788
]",
7,7,2023-08-01T16:27:42.727341,"[x: 0.7473475933074951
y: 0.8412507772445679
z: -6.878585736558307e-07
, x: 0.6749018430709839
y: 0.7541565299034119
z: 0.007715805433690548
, x: 0.6343618631362915
y: 0.6525936722755432
z: 0.0022782450541853905
, x: 0.5936930179595947
y: 0.5830720663070679
z: -0.013599688187241554
, x: 0.5534917712211609
y: 0.5270805358886719
z: -0.028707746416330338
, x: 0.7255311608314514
y: 0.5444414615631104
z: 0.0385139063000679
, x: 0.669248640537262
y: 0.4677428603172302
z: 0.007033525966107845
, x: 0.6127729415893555
y: 0.46219533681869507
z: -0.025719255208969116
, x: 0.5642349123954773
y: 0.47879594564437866
z: -0.04549565538764
, x: 0.7484921813011169
y: 0.5432748198509216
z: 0.01500718668103218
, x: 0.6758209466934204
y: 0.4510965049266815
z: -0.014067399315536022
, x: 0.6106195449829102
y: 0.4566531777381897
z: -0.04259904474020004
, x: 0.5622544884681702
y: 0.48186418414115906
z: -0.06013736501336098
, x: 0.7628635168075562
y: 0.56257164478302
z: -0.013902938924729824
, x: 0.698669970035553
y: 0.45981499552726746
z: -0.04405546188354492
, x: 0.6289265751838684
y: 0.47167181968688965
z: -0.05956778675317764
, x: 0.5786087512969971
y: 0.5032829642295837
z: -0.06508511304855347
, x: 0.7608188390731812
y: 0.5982520580291748
z: -0.04309966787695885
, x: 0.700005292892456
y: 0.5257704854011536
z: -0.06701339036226273
, x: 0.6465664505958557
y: 0.5143977403640747
z: -0.07601616531610489
, x: 0.6039633750915527
y: 0.518385112285614
z: -0.07873962074518204
]",
8,8,2023-08-01T16:27:42.798054,"[x: 0.7445328235626221
y: 0.8361103534698486
z: -6.33759327683947e-07
, x: 0.6764937043190002
y: 0.7567891478538513
z: -0.0007136429194360971
, x: 0.6333520412445068
y: 0.6532546281814575
z: -0.007952309213578701
, x: 0.5923628211021423
y: 0.577730655670166
z: -0.022789156064391136
, x: 0.5540027618408203
y: 0.5157753229141235
z: -0.035521991550922394
, x: 0.7182849049568176
y: 0.5424591898918152
z: 0.031205693259835243
, x: 0.6672449707984924
y: 0.4645037353038788
z: 0.0007280830177478492
, x: 0.61136394739151
y: 0.45579349994659424
z: -0.029487529769539833
, x: 0.5646921396255493
y: 0.4688040614128113
z: -0.04728319123387337
, x: 0.7416607141494751
y: 0.5401564836502075
z: 0.0142399612814188
, x: 0.6759656071662903
y: 0.44738972187042236
z: -0.01324139442294836
, x: 0.6134196519851685
y: 0.4513447880744934
z: -0.03733287751674652
, x: 0.5683362483978271
y: 0.47632458806037903
z: -0.05124781280755997
, x: 0.7572985887527466
y: 0.5580905675888062
z: -0.00868905708193779
, x: 0.6994287371635437
y: 0.45621585845947266
z: -0.03618021681904793
, x: 0.6331906914710999
y: 0.4598504304885864
z: -0.04868868738412857
, x: 0.5850127339363098
y: 0.48531433939933777
z: -0.052547745406627655
, x: 0.7585527896881104
y: 0.5910563468933105
z: -0.0327385738492012
, x: 0.7018148303031921
y: 0.5188129544258118
z: -0.05392861366271973
, x: 0.6520270705223083
y: 0.5053255558013916
z: -0.06166066229343414
, x: 0.6126556396484375
y: 0.5082216858863831
z: -0.06368458271026611
]",
9,9,2023-08-01T16:27:42.875121,"[x: 0.7464258074760437
y: 0.8348493576049805
z: -6.593533043997013e-07
, x: 0.6774545907974243
y: 0.7552253603935242
z: 0.0038041884545236826
, x: 0.6350977420806885
y: 0.6548944711685181
z: -0.0012160760816186666
, x: 0.5945753455162048
y: 0.5816329121589661
z: -0.014805071987211704
, x: 0.5566858053207397
y: 0.5199061036109924
z: -0.026414768770337105
, x: 0.720512330532074
y: 0.5435671210289001
z: 0.037204332649707794
, x: 0.6686892509460449
y: 0.46749383211135864
z: 0.008238017559051514
, x: 0.6103309988975525
y: 0.46075963973999023
z: -0.02122700773179531
, x: 0.5622844099998474
y: 0.47603392601013184
z: -0.03831006586551666
, x: 0.7426929473876953
y: 0.540584921836853
z: 0.01833164691925049
, x: 0.6754028797149658
y: 0.44843053817749023
z: -0.006178551819175482
, x: 0.6121582984924316
y: 0.45261096954345703
z: -0.028719674795866013
, x: 0.5676464438438416
y: 0.4794393479824066
z: -0.041845377534627914
, x: 0.756862998008728
y: 0.5567440390586853
z: -0.006387556437402964
, x: 0.6967600584030151
y: 0.456084668636322
z: -0.030715854838490486
, x: 0.6300987601280212
y: 0.4575672745704651
z: -0.041888341307640076
, x: 0.5821598768234253
y: 0.48218873143196106
z: -0.04544319584965706
, x: 0.7571116089820862
y: 0.5875645875930786
z: -0.03205909579992294
, x: 0.6982532143592834
y: 0.5159355401992798
z: -0.05020758509635925
, x: 0.6479634046554565
y: 0.5030298233032227
z: -0.05600999295711517
, x: 0.6086412668228149
y: 0.5072875022888184
z: -0.057047370821237564
]",
