,Frame ID,Timestamp,Hand 1 Landmarks,Hand 2 Landmarks
0,0,2023-08-01T17:31:57.845860,"[x: 0.5166298747062683
y: 0.7703032493591309
z: 1.5505838746321388e-07
, x: 0.46264219284057617
y: 0.7317090034484863
z: 0.018664885312318802
, x: 0.4040297865867615
y: 0.7342182397842407
z: 0.02599562518298626
, x: 0.3623967170715332
y: 0.7523480653762817
z: 0.029237870126962662
, x: 0.3349069654941559
y: 0.7742788195610046
z: 0.029972506687045097
, x: 0.3776891827583313
y: 0.7365643382072449
z: -0.00372907193377614
, x: 0.30534827709198
y: 0.7626373171806335
z: -0.015854017809033394
, x: 0.2577129304409027
y: 0.7822948098182678
z: -0.021345915272831917
, x: 0.22054395079612732
y: 0.7999438047409058
z: -0.024367962032556534
, x: 0.3762684762477875
y: 0.7669357657432556
z: -0.02044025808572769
, x: 0.2928371727466583
y: 0.7904415726661682
z: -0.03580325096845627
, x: 0.23825468122959137
y: 0.8075757026672363
z: -0.04330923408269882
, x: 0.19438910484313965
y: 0.8201934099197388
z: -0.047132618725299835
, x: 0.3805748522281647
y: 0.8040898442268372
z: -0.03531724587082863
, x: 0.2998363971710205
y: 0.8221930861473083
z: -0.04867439717054367
, x: 0.245761901140213
y: 0.8346341252326965
z: -0.05790663883090019
, x: 0.2020605504512787
y: 0.8433247804641724
z: -0.0630725547671318
, x: 0.3901081085205078
y: 0.8474303483963013
z: -0.04772244766354561
, x: 0.3231167495250702
y: 0.860412061214447
z: -0.061591409146785736
, x: 0.2792595326900482
y: 0.8685629963874817
z: -0.06919986009597778
, x: 0.24204178154468536
y: 0.874048113822937
z: -0.07318375259637833
]",
1,1,2023-08-01T17:31:57.949120,"[x: 0.5200406908988953
y: 0.7677483558654785
z: 1.3176537549952627e-07
, x: 0.4660816192626953
y: 0.726860761642456
z: 0.023221351206302643
, x: 0.40863215923309326
y: 0.7321388721466064
z: 0.03276129812002182
, x: 0.3682306408882141
y: 0.7538214921951294
z: 0.038155268877744675
, x: 0.3427719473838806
y: 0.7765913605690002
z: 0.04098546877503395
, x: 0.37970736622810364
y: 0.7410011291503906
z: -0.0005802675150334835
, x: 0.30436331033706665
y: 0.7667251825332642
z: -0.010146953165531158
, x: 0.2565317153930664
y: 0.7842404842376709
z: -0.012723223306238651
, x: 0.22035625576972961
y: 0.7974041104316711
z: -0.013454053550958633
, x: 0.3788686692714691
y: 0.7716864347457886
z: -0.017330266535282135
, x: 0.29126113653182983
y: 0.7958812117576599
z: -0.030530327931046486
, x: 0.23647069931030273
y: 0.8127119541168213
z: -0.03522813320159912
, x: 0.19399374723434448
y: 0.8230488300323486
z: -0.03709525987505913
, x: 0.3834208846092224
y: 0.8096989393234253
z: -0.0315217599272728
, x: 0.2995733916759491
y: 0.8273322582244873
z: -0.04307801276445389
, x: 0.2474336326122284
y: 0.8373590707778931
z: -0.049978792667388916
, x: 0.2069469541311264
y: 0.8426437377929688
z: -0.0534130334854126
, x: 0.393653929233551
y: 0.8531146049499512
z: -0.042592428624629974
, x: 0.32532957196235657
y: 0.8639786243438721
z: -0.05616156756877899
, x: 0.2820209860801697
y: 0.8692188262939453
z: -0.06313316524028778
, x: 0.24530309438705444
y: 0.8734645247459412
z: -0.06637263298034668
]",
2,2,2023-08-01T17:31:58.016938,"[x: 0.5215545296669006
y: 0.7682141065597534
z: 8.86957778334363e-08
, x: 0.4664369225502014
y: 0.7267617583274841
z: 0.030186573043465614
, x: 0.4107857942581177
y: 0.7310447692871094
z: 0.04250112548470497
, x: 0.37137317657470703
y: 0.7520296573638916
z: 0.04971993342041969
, x: 0.3471497893333435
y: 0.7755188941955566
z: 0.05414796993136406
, x: 0.3799050450325012
y: 0.743354320526123
z: 0.005346138495951891
, x: 0.30531856417655945
y: 0.7666818499565125
z: -0.0021576520521193743
, x: 0.2574503421783447
y: 0.7854661345481873
z: -0.0031564508099108934
, x: 0.2219551056623459
y: 0.7998902797698975
z: -0.003009610343724489
, x: 0.37856966257095337
y: 0.7732031941413879
z: -0.014266837388277054
, x: 0.29006674885749817
y: 0.7968586087226868
z: -0.026849908754229546
, x: 0.23549503087997437
y: 0.8128326535224915
z: -0.02999156154692173
, x: 0.19374220073223114
y: 0.8224122524261475
z: -0.030592385679483414
, x: 0.3829032778739929
y: 0.8091631531715393
z: -0.030683880671858788
, x: 0.29707056283950806
y: 0.8248197436332703
z: -0.04145998880267143
, x: 0.2449815720319748
y: 0.8341512680053711
z: -0.04631025716662407
, x: 0.20481881499290466
y: 0.8397923707962036
z: -0.048485297709703445
, x: 0.3931727111339569
y: 0.847650408744812
z: -0.043316666036844254
, x: 0.32417193055152893
y: 0.8558915853500366
z: -0.05550907552242279
, x: 0.28063997626304626
y: 0.8593975901603699
z: -0.06064343824982643
, x: 0.24393829703330994
y: 0.8616648316383362
z: -0.06275538355112076
]",
3,3,2023-08-01T17:31:58.108217,"[x: 0.5242462754249573
y: 0.7699946165084839
z: 8.451059585468101e-08
, x: 0.46826571226119995
y: 0.7276182174682617
z: 0.02887779287993908
, x: 0.4124491810798645
y: 0.7293115258216858
z: 0.0418909415602684
, x: 0.3714856207370758
y: 0.7472667098045349
z: 0.05013057589530945
, x: 0.34523364901542664
y: 0.7686153650283813
z: 0.055565670132637024
, x: 0.38005369901657104
y: 0.7409454584121704
z: 0.004577270243316889
, x: 0.3041636347770691
y: 0.7658615708351135
z: -0.00353051396086812
, x: 0.2564440965652466
y: 0.7837499380111694
z: -0.004732806235551834
, x: 0.22067290544509888
y: 0.7972337007522583
z: -0.004376986995339394
, x: 0.3786097764968872
y: 0.7695595622062683
z: -0.013860659673810005
, x: 0.2899036109447479
y: 0.7955451607704163
z: -0.025452179834246635
, x: 0.23536750674247742
y: 0.8126875162124634
z: -0.028342824429273605
, x: 0.19275760650634766
y: 0.8225423097610474
z: -0.028926178812980652
, x: 0.3832760751247406
y: 0.8067529201507568
z: -0.029471352696418762
, x: 0.29865485429763794
y: 0.8254703879356384
z: -0.03999307006597519
, x: 0.24733589589595795
y: 0.83515465259552
z: -0.04621603339910507
, x: 0.206828773021698
y: 0.8399451375007629
z: -0.049327392131090164
, x: 0.3941187858581543
y: 0.8495307564735413
z: -0.04144633188843727
, x: 0.32524430751800537
y: 0.8631274700164795
z: -0.05447074770927429
, x: 0.28333917260169983
y: 0.8692179322242737
z: -0.061145149171352386
, x: 0.24748417735099792
y: 0.8735971450805664
z: -0.0642787292599678
]",
4,4,2023-08-01T17:31:58.178549,"[x: 0.5291761159896851
y: 0.7670065760612488
z: 7.3270619793675e-08
, x: 0.47171640396118164
y: 0.7276095151901245
z: 0.029680760577321053
, x: 0.41306638717651367
y: 0.7328409552574158
z: 0.042848244309425354
, x: 0.37321409583091736
y: 0.7545690536499023
z: 0.050515010952949524
, x: 0.3482232391834259
y: 0.7776856422424316
z: 0.05545926094055176
, x: 0.38251161575317383
y: 0.7441134452819824
z: 0.010453320108354092
, x: 0.3068784475326538
y: 0.7674559950828552
z: 0.004046246875077486
, x: 0.25870153307914734
y: 0.7852266430854797
z: 0.0030094655230641365
, x: 0.2227686494588852
y: 0.8003876209259033
z: 0.003021435346454382
, x: 0.3813178241252899
y: 0.7741523385047913
z: -0.009161177091300488
, x: 0.2924691438674927
y: 0.7971718311309814
z: -0.01871657185256481
, x: 0.2378356158733368
y: 0.8137570023536682
z: -0.021422218531370163
, x: 0.19566883146762848
y: 0.8253360390663147
z: -0.022158633917570114
, x: 0.3851020932197571
y: 0.8104296922683716
z: -0.02625524252653122
, x: 0.29907792806625366
y: 0.8257155418395996
z: -0.034596409648656845
, x: 0.2473708540201187
y: 0.8350008726119995
z: -0.03985927626490593
, x: 0.20734411478042603
y: 0.8411833643913269
z: -0.04287409782409668
, x: 0.394212007522583
y: 0.850575864315033
z: -0.03996443748474121
, x: 0.3255803883075714
y: 0.8592621684074402
z: -0.05062805861234665
, x: 0.28245577216148376
y: 0.863860011100769
z: -0.05590490996837616
, x: 0.2459537535905838
y: 0.8665492534637451
z: -0.058422185480594635
]",
5,5,2023-08-01T17:31:58.246887,"[x: 0.5275866985321045
y: 0.7637905478477478
z: 8.252519023699278e-08
, x: 0.4694700837135315
y: 0.7255131006240845
z: 0.03204852342605591
, x: 0.41171708703041077
y: 0.7292004823684692
z: 0.04529890790581703
, x: 0.37156355381011963
y: 0.7467510104179382
z: 0.05271286144852638
, x: 0.34591180086135864
y: 0.7659492492675781
z: 0.05708818510174751
, x: 0.3794248104095459
y: 0.7442353963851929
z: 0.009130275808274746
, x: 0.3018549084663391
y: 0.7690713405609131
z: 0.002324537141248584
, x: 0.25396841764450073
y: 0.7858603596687317
z: 0.0015458721900358796
, x: 0.2181001901626587
y: 0.7984192371368408
z: 0.0018722444074228406
, x: 0.3788641393184662
y: 0.7709934711456299
z: -0.012010492384433746
, x: 0.2888045012950897
y: 0.7962475419044495
z: -0.021757926791906357
, x: 0.23467153310775757
y: 0.8124640583992004
z: -0.024057360365986824
, x: 0.19254834949970245
y: 0.8219599723815918
z: -0.02466149814426899
, x: 0.38431423902511597
y: 0.8060107231140137
z: -0.030309967696666718
, x: 0.2964090406894684
y: 0.8243013024330139
z: -0.038300611078739166
, x: 0.24447381496429443
y: 0.8341805338859558
z: -0.04309490695595741
, x: 0.20358803868293762
y: 0.8392925262451172
z: -0.046241167932748795
, x: 0.39563119411468506
y: 0.8464450240135193
z: -0.04500271752476692
, x: 0.32593315839767456
y: 0.8592172265052795
z: -0.05574331060051918
, x: 0.28247958421707153
y: 0.8652285933494568
z: -0.06097788363695145
, x: 0.245591938495636
y: 0.8690967559814453
z: -0.06374632567167282
]",
6,6,2023-08-01T17:31:58.304731,"[x: 0.5292143821716309
y: 0.7638840675354004
z: 1.302156960036882e-07
, x: 0.4686037302017212
y: 0.7262640595436096
z: 0.024400627240538597
, x: 0.4111119210720062
y: 0.7303870916366577
z: 0.033645518124103546
, x: 0.3728853464126587
y: 0.7495746612548828
z: 0.03787371143698692
, x: 0.3481597304344177
y: 0.770104706287384
z: 0.03916441649198532
, x: 0.3810240924358368
y: 0.7425580024719238
z: 0.004094685893505812
, x: 0.3053974509239197
y: 0.7668919563293457
z: -0.006124419625848532
, x: 0.25723087787628174
y: 0.7836199998855591
z: -0.01035355031490326
, x: 0.22039520740509033
y: 0.7980205416679382
z: -0.012312942184507847
, x: 0.3806174397468567
y: 0.7704797387123108
z: -0.014472405426204205
, x: 0.2922675609588623
y: 0.7938842177391052
z: -0.02655891142785549
, x: 0.23772522807121277
y: 0.8099146485328674
z: -0.03190338984131813
, x: 0.19418451189994812
y: 0.8212648034095764
z: -0.034789301455020905
, x: 0.3862396776676178
y: 0.8064401149749756
z: -0.030989989638328552
, x: 0.30004459619522095
y: 0.8244388103485107
z: -0.041434988379478455
, x: 0.24774223566055298
y: 0.8348168730735779
z: -0.04883703589439392
, x: 0.20664283633232117
y: 0.8413134813308716
z: -0.05329695716500282
, x: 0.3976643681526184
y: 0.848468005657196
z: -0.04461304098367691
, x: 0.32831671833992004
y: 0.8608792424201965
z: -0.05646427720785141
, x: 0.28469452261924744
y: 0.8665347099304199
z: -0.0626991018652916
, x: 0.24763748049736023
y: 0.8702108263969421
z: -0.06606058031320572
]",
7,7,2023-08-01T17:31:58.370084,"[x: 0.5293493270874023
y: 0.7631740570068359
z: 1.4703259409998282e-07
, x: 0.4708305299282074
y: 0.723310112953186
z: 0.02415590174496174
, x: 0.41188159584999084
y: 0.7284411787986755
z: 0.033467523753643036
, x: 0.37136363983154297
y: 0.7472589612007141
z: 0.03783145174384117
, x: 0.3456096053123474
y: 0.7675766348838806
z: 0.03941315412521362
, x: 0.38271382451057434
y: 0.7423990368843079
z: 0.003908114042133093
, x: 0.3048897981643677
y: 0.7666711807250977
z: -0.005628713872283697
, x: 0.2557674050331116
y: 0.7832241058349609
z: -0.00963754765689373
, x: 0.21827656030654907
y: 0.7976652383804321
z: -0.011475485749542713
, x: 0.3817352056503296
y: 0.7703455686569214
z: -0.014272156171500683
, x: 0.29185137152671814
y: 0.7935168147087097
z: -0.0251318346709013
, x: 0.23674309253692627
y: 0.8097432255744934
z: -0.030110565945506096
, x: 0.193083718419075
y: 0.821116030216217
z: -0.03282814845442772
, x: 0.38618701696395874
y: 0.8063172698020935
z: -0.030244987457990646
, x: 0.29855066537857056
y: 0.8231571316719055
z: -0.03909580036997795
, x: 0.2458021491765976
y: 0.8331670761108398
z: -0.045707255601882935
, x: 0.2042446881532669
y: 0.8397731781005859
z: -0.049989812076091766
, x: 0.39645156264305115
y: 0.8481847047805786
z: -0.043401408940553665
, x: 0.3267507553100586
y: 0.8594805002212524
z: -0.05340276658535004
, x: 0.28306522965431213
y: 0.8650714755058289
z: -0.058196842670440674
, x: 0.24591970443725586
y: 0.8693751096725464
z: -0.06071457266807556
]",
8,8,2023-08-01T17:31:58.438421,"[x: 0.527247965335846
y: 0.7654123306274414
z: 1.6040218042689958e-07
, x: 0.4692128300666809
y: 0.7277306318283081
z: 0.022684704512357712
, x: 0.4100853502750397
y: 0.7311851978302002
z: 0.030630776658654213
, x: 0.36936524510383606
y: 0.749028205871582
z: 0.03373473510146141
, x: 0.3432714343070984
y: 0.7703907489776611
z: 0.0341709703207016
, x: 0.38120460510253906
y: 0.7422263622283936
z: 0.0024146796204149723
, x: 0.30425408482551575
y: 0.7659740447998047
z: -0.007478017825633287
, x: 0.2558029890060425
y: 0.7832701206207275
z: -0.011894293129444122
, x: 0.21874754130840302
y: 0.7979108095169067
z: -0.014097288250923157
, x: 0.38025858998298645
y: 0.7700963020324707
z: -0.015463927760720253
, x: 0.2912999391555786
y: 0.7939938902854919
z: -0.026525814086198807
, x: 0.2363034039735794
y: 0.8110273480415344
z: -0.03186919912695885
, x: 0.19262921810150146
y: 0.8226810097694397
z: -0.03503100201487541
, x: 0.38512319326400757
y: 0.8057379126548767
z: -0.031250398606061935
, x: 0.2981290817260742
y: 0.823043704032898
z: -0.04033868387341499
, x: 0.24544353783130646
y: 0.8337229490280151
z: -0.04708884656429291
, x: 0.20421220362186432
y: 0.8405887484550476
z: -0.051535870879888535
, x: 0.395450621843338
y: 0.8473080396652222
z: -0.044354528188705444
, x: 0.32658851146698
y: 0.8586604595184326
z: -0.05422337353229523
, x: 0.2828187644481659
y: 0.8647799491882324
z: -0.05904232710599899
, x: 0.24562078714370728
y: 0.8696519732475281
z: -0.06171119213104248
]",
9,9,2023-08-01T17:31:58.527188,"[x: 0.5251047015190125
y: 0.7640702724456787
z: 1.000264191475253e-07
, x: 0.46648910641670227
y: 0.7247020602226257
z: 0.029487615451216698
, x: 0.4109889566898346
y: 0.7300369739532471
z: 0.04152665287256241
, x: 0.3737916052341461
y: 0.7505163550376892
z: 0.0480194166302681
, x: 0.35000112652778625
y: 0.7714869976043701
z: 0.05166724696755409
, x: 0.38038694858551025
y: 0.7419177293777466
z: 0.008452564477920532
, x: 0.3041995167732239
y: 0.7665660381317139
z: 0.0012321315007284284
, x: 0.25669634342193604
y: 0.7838638424873352
z: -7.398834713967517e-05
, x: 0.22107765078544617
y: 0.7972539067268372
z: 4.1243059968110174e-05
, x: 0.3792082965373993
y: 0.7712610960006714
z: -0.011166839860379696
, x: 0.28997763991355896
y: 0.7958100438117981
z: -0.02147790789604187
, x: 0.23597440123558044
y: 0.812678873538971
z: -0.02444089762866497
, x: 0.19404961168766022
y: 0.8233826160430908
z: -0.025269607082009315
, x: 0.38317549228668213
y: 0.8072120547294617
z: -0.02813437581062317
, x: 0.29705488681793213
y: 0.8244324922561646
z: -0.036450352519750595
, x: 0.246028333902359
y: 0.8348839282989502
z: -0.04154590889811516
, x: 0.2064594030380249
y: 0.8410069346427917
z: -0.04439791664481163
, x: 0.3928050696849823
y: 0.846868097782135
z: -0.04171735420823097
, x: 0.3234277665615082
y: 0.8580356240272522
z: -0.05180121958255768
, x: 0.28063535690307617
y: 0.8633357286453247
z: -0.0563485324382782
, x: 0.24460449814796448
y: 0.8666747212409973
z: -0.058339085429906845
]",
