,Frame ID,Timestamp,Hand 1 Landmarks,Hand 2 Landmarks
0,0,2023-08-01T17:18:22.111032,"[x: 0.5900155901908875
y: 0.8977148532867432
z: -2.2849891934129118e-07
, x: 0.5614159107208252
y: 0.8501572608947754
z: -0.018771206960082054
, x: 0.5657020807266235
y: 0.7710580825805664
z: -0.025226673111319542
, x: 0.5889578461647034
y: 0.7114244699478149
z: -0.033626724034547806
, x: 0.5974783301353455
y: 0.6589294075965881
z: -0.04109625518321991
, x: 0.6258290410041809
y: 0.7175053358078003
z: 0.005709701217710972
, x: 0.6361038684844971
y: 0.6481493711471558
z: -0.014138145372271538
, x: 0.6298196315765381
y: 0.6131780743598938
z: -0.033689700067043304
, x: 0.6187795996665955
y: 0.5888233780860901
z: -0.04715222120285034
, x: 0.6587122678756714
y: 0.7380632162094116
z: 0.0008818612550385296
, x: 0.666976809501648
y: 0.6605017781257629
z: -0.02216709591448307
, x: 0.6463398337364197
y: 0.6291279196739197
z: -0.0451192669570446
, x: 0.6258465051651001
y: 0.6086112856864929
z: -0.05956614390015602
, x: 0.6855447292327881
y: 0.7736719846725464
z: -0.008452720940113068
, x: 0.7083110809326172
y: 0.6983151435852051
z: -0.04047761857509613
, x: 0.6685630679130554
y: 0.7139298319816589
z: -0.05393313989043236
, x: 0.6349105834960938
y: 0.7423927783966064
z: -0.05581844970583916
, x: 0.7081539034843445
y: 0.8226144909858704
z: -0.019204657524824142
, x: 0.7187504172325134
y: 0.7625300884246826
z: -0.048200637102127075
, x: 0.6868332028388977
y: 0.757811963558197
z: -0.05764821171760559
, x: 0.6566259264945984
y: 0.7734308242797852
z: -0.05895709991455078
]",
1,1,2023-08-01T17:18:22.206419,"[x: 0.5810269713401794
y: 0.9488489031791687
z: -1.7015173625622992e-07
, x: 0.546941876411438
y: 0.8979823589324951
z: -0.014865534380078316
, x: 0.5599170923233032
y: 0.7906776070594788
z: -0.016145681962370872
, x: 0.5888264775276184
y: 0.7190266251564026
z: -0.020311400294303894
, x: 0.6001102924346924
y: 0.6575976610183716
z: -0.023871343582868576
, x: 0.6160414218902588
y: 0.7430447340011597
z: 0.015972765162587166
, x: 0.6308889985084534
y: 0.6724931597709656
z: 0.0022499726619571447
, x: 0.6292811632156372
y: 0.6288147568702698
z: -0.013232250697910786
, x: 0.6210641860961914
y: 0.5935292840003967
z: -0.025280216708779335
, x: 0.6497070789337158
y: 0.7597671747207642
z: 0.010499486699700356
, x: 0.6623499989509583
y: 0.6769724488258362
z: -0.006800931878387928
, x: 0.6464813351631165
y: 0.6325031518936157
z: -0.025965919718146324
, x: 0.6255261301994324
y: 0.6005612015724182
z: -0.03846289590001106
, x: 0.6778874397277832
y: 0.7923158407211304
z: 0.0003173516597598791
, x: 0.7039079666137695
y: 0.7042255401611328
z: -0.02764047682285309
, x: 0.6686737537384033
y: 0.7149285674095154
z: -0.041216906160116196
, x: 0.6344966888427734
y: 0.7422215938568115
z: -0.04449594393372536
, x: 0.7039716243743896
y: 0.8344119787216187
z: -0.011147532612085342
, x: 0.7119574546813965
y: 0.7639394998550415
z: -0.03960765525698662
, x: 0.6797017455101013
y: 0.7573259472846985
z: -0.05055634677410126
, x: 0.6478861570358276
y: 0.7757213711738586
z: -0.053743381053209305
]",
2,2,2023-08-01T17:18:22.288554,"[x: 0.5752000212669373
y: 0.960057258605957
z: -1.28852093439491e-07
, x: 0.5462707281112671
y: 0.8901897668838501
z: -0.014148910529911518
, x: 0.5610194802284241
y: 0.7884947657585144
z: -0.017555981874465942
, x: 0.5892049670219421
y: 0.7211179137229919
z: -0.024728065356612206
, x: 0.6009640693664551
y: 0.6588243842124939
z: -0.03143461048603058
, x: 0.6197059154510498
y: 0.7400985360145569
z: 0.019259246066212654
, x: 0.632641077041626
y: 0.6707378625869751
z: 0.0023781834170222282
, x: 0.6304154396057129
y: 0.6287779808044434
z: -0.01637406274676323
, x: 0.6219242215156555
y: 0.5962066054344177
z: -0.029878493398427963
, x: 0.6533817052841187
y: 0.759077250957489
z: 0.01206809189170599
, x: 0.6664096117019653
y: 0.6768815517425537
z: -0.009032403118908405
, x: 0.6466814875602722
y: 0.6370438933372498
z: -0.03043786995112896
, x: 0.6236494183540344
y: 0.6095466017723083
z: -0.04331878945231438
, x: 0.6809942126274109
y: 0.7925397753715515
z: -0.00022484970395453274
, x: 0.7051110863685608
y: 0.7054285407066345
z: -0.030590083450078964
, x: 0.6676501035690308
y: 0.7146044373512268
z: -0.044114820659160614
, x: 0.6323925256729126
y: 0.7399461269378662
z: -0.046324484050273895
, x: 0.7045679688453674
y: 0.8354766368865967
z: -0.013829514384269714
, x: 0.7106902599334717
y: 0.7643670439720154
z: -0.041681744158267975
, x: 0.678255558013916
y: 0.761145293712616
z: -0.050338100641965866
, x: 0.6481384038925171
y: 0.7807023525238037
z: -0.05128169804811478
]",
3,3,2023-08-01T17:18:22.362937,"[x: 0.5704839825630188
y: 0.9659101366996765
z: -1.5214907023164415e-07
, x: 0.5449756979942322
y: 0.8891505599021912
z: -0.014229262247681618
, x: 0.5596581101417542
y: 0.7890412211418152
z: -0.018010005354881287
, x: 0.5873003005981445
y: 0.7232991456985474
z: -0.025617051869630814
, x: 0.604128360748291
y: 0.6626471281051636
z: -0.03242968022823334
, x: 0.6199972629547119
y: 0.7381281852722168
z: 0.020876340568065643
, x: 0.6341931819915771
y: 0.669272243976593
z: 0.003977655433118343
, x: 0.6333155632019043
y: 0.629361629486084
z: -0.015298563987016678
, x: 0.6269859075546265
y: 0.596284806728363
z: -0.029446782544255257
, x: 0.6534446477890015
y: 0.7590579986572266
z: 0.01363597996532917
, x: 0.667186439037323
y: 0.677990198135376
z: -0.007790809962898493
, x: 0.6492809653282166
y: 0.6411060094833374
z: -0.03004475310444832
, x: 0.6283860206604004
y: 0.6158631443977356
z: -0.04382956400513649
, x: 0.6812890768051147
y: 0.7936758995056152
z: 0.0011633734684437513
, x: 0.7053728103637695
y: 0.7071676254272461
z: -0.029639462009072304
, x: 0.668748676776886
y: 0.7131941318511963
z: -0.044306498020887375
, x: 0.6336157917976379
y: 0.7362980246543884
z: -0.04759328067302704
, x: 0.7063126564025879
y: 0.8383228778839111
z: -0.012610545381903648
, x: 0.7118123769760132
y: 0.7658472657203674
z: -0.04120810702443123
, x: 0.6791157126426697
y: 0.7615062594413757
z: -0.05065273120999336
, x: 0.6480909585952759
y: 0.7803047895431519
z: -0.05224691703915596
]",
4,4,2023-08-01T17:18:22.431650,"[x: 0.5727680325508118
y: 0.9679530262947083
z: -1.5942873687890824e-07
, x: 0.5475981831550598
y: 0.88711017370224
z: -0.013922399841248989
, x: 0.5604934096336365
y: 0.7891060709953308
z: -0.018044406548142433
, x: 0.5863013863563538
y: 0.7247598171234131
z: -0.026489214971661568
, x: 0.6042513251304626
y: 0.665763258934021
z: -0.03406687080860138
, x: 0.6203674674034119
y: 0.7369577884674072
z: 0.0232643261551857
, x: 0.6344468593597412
y: 0.6673378944396973
z: 0.004857650026679039
, x: 0.6327010989189148
y: 0.6280232667922974
z: -0.01572955586016178
, x: 0.6248489022254944
y: 0.5970944166183472
z: -0.03011190891265869
, x: 0.6533222198486328
y: 0.7584831714630127
z: 0.015535905957221985
, x: 0.6682697534561157
y: 0.6769489049911499
z: -0.007662463467568159
, x: 0.6493275761604309
y: 0.6404009461402893
z: -0.031245173886418343
, x: 0.6264075040817261
y: 0.6171446442604065
z: -0.04514303058385849
, x: 0.6810862421989441
y: 0.7930347919464111
z: 0.0023490635212510824
, x: 0.7055802345275879
y: 0.7068668007850647
z: -0.02980245091021061
, x: 0.6685947179794312
y: 0.7125493884086609
z: -0.04523138329386711
, x: 0.6329654455184937
y: 0.7362993359565735
z: -0.04833808168768883
, x: 0.7061537504196167
y: 0.8368353843688965
z: -0.012119763530790806
, x: 0.7110750079154968
y: 0.7635971903800964
z: -0.04104204848408699
, x: 0.6774508357048035
y: 0.7599711418151855
z: -0.05019020289182663
, x: 0.6455680727958679
y: 0.780136227607727
z: -0.051194928586483
]",
5,5,2023-08-01T17:18:22.492435,"[x: 0.5700592398643494
y: 0.9686222672462463
z: -1.5267693243004032e-07
, x: 0.5461382865905762
y: 0.8885429501533508
z: -0.014390618540346622
, x: 0.5601180791854858
y: 0.7897301316261292
z: -0.01853836141526699
, x: 0.5862945914268494
y: 0.7238636612892151
z: -0.026894070208072662
, x: 0.6024417281150818
y: 0.6629859209060669
z: -0.0343867652118206
, x: 0.6195292472839355
y: 0.7363138198852539
z: 0.0228298157453537
, x: 0.6338252425193787
y: 0.6663099527359009
z: 0.004665704444050789
, x: 0.6319435834884644
y: 0.6273807287216187
z: -0.015781238675117493
, x: 0.624241828918457
y: 0.5963948965072632
z: -0.03025168739259243
, x: 0.6526007056236267
y: 0.7570865154266357
z: 0.015365136787295341
, x: 0.6666879653930664
y: 0.6742480993270874
z: -0.007109663914889097
, x: 0.6490256786346436
y: 0.63844895362854
z: -0.030360594391822815
, x: 0.6276121139526367
y: 0.6156886219978333
z: -0.04450872540473938
, x: 0.6804212331771851
y: 0.7919839024543762
z: 0.0023538616951555014
, x: 0.7046823501586914
y: 0.7042009830474854
z: -0.029616331681609154
, x: 0.6681440472602844
y: 0.7115212082862854
z: -0.04502240940928459
, x: 0.6326388716697693
y: 0.7368801832199097
z: -0.04835124313831329
, x: 0.7056830525398254
y: 0.8371754884719849
z: -0.011992748826742172
, x: 0.7120282649993896
y: 0.7635657787322998
z: -0.04110846295952797
, x: 0.679161548614502
y: 0.7607576847076416
z: -0.05065004900097847
, x: 0.6473299264907837
y: 0.7816722989082336
z: -0.052124299108982086
]",
6,6,2023-08-01T17:18:22.554732,"[x: 0.5720519423484802
y: 0.9697743654251099
z: -1.4863422848065966e-07
, x: 0.5473672747612
y: 0.8884274363517761
z: -0.013927964493632317
, x: 0.5604159832000732
y: 0.7890163064002991
z: -0.017762409523129463
, x: 0.5849667191505432
y: 0.7238723039627075
z: -0.0257922001183033
, x: 0.6029725670814514
y: 0.6641214489936829
z: -0.03288819640874863
, x: 0.6191999316215515
y: 0.73445063829422
z: 0.02312963455915451
, x: 0.634766697883606
y: 0.6648458242416382
z: 0.005053084343671799
, x: 0.6333869695663452
y: 0.6265256404876709
z: -0.01532742753624916
, x: 0.6256980299949646
y: 0.5955968499183655
z: -0.02961357869207859
, x: 0.6520061492919922
y: 0.7556001543998718
z: 0.015587186440825462
, x: 0.668053150177002
y: 0.6727491021156311
z: -0.006848352961242199
, x: 0.6503629088401794
y: 0.6377977132797241
z: -0.029932482168078423
, x: 0.6285102963447571
y: 0.6160504221916199
z: -0.0437479242682457
, x: 0.6798802614212036
y: 0.7903438210487366
z: 0.0026079006493091583
, x: 0.7056741118431091
y: 0.703088641166687
z: -0.028785767033696175
, x: 0.6699365973472595
y: 0.7101757526397705
z: -0.04387613758444786
, x: 0.635157585144043
y: 0.7347120046615601
z: -0.0470820851624012
, x: 0.705498456954956
y: 0.8353066444396973
z: -0.011678418144583702
, x: 0.7115768194198608
y: 0.7621921300888062
z: -0.039880864322185516
, x: 0.6787194013595581
y: 0.7594183683395386
z: -0.0487532764673233
, x: 0.647479236125946
y: 0.7796527147293091
z: -0.04983929172158241
]",
7,7,2023-08-01T17:18:22.617272,"[x: 0.56397545337677
y: 0.9623785018920898
z: -1.3314887326032476e-07
, x: 0.5404151678085327
y: 0.8769961595535278
z: -0.012737689539790154
, x: 0.5533907413482666
y: 0.7809741497039795
z: -0.01584297977387905
, x: 0.579781711101532
y: 0.7162045836448669
z: -0.02370246686041355
, x: 0.5973454713821411
y: 0.6548396348953247
z: -0.030782613903284073
, x: 0.6124621629714966
y: 0.7261285781860352
z: 0.024223696440458298
, x: 0.6276254653930664
y: 0.6580328941345215
z: 0.006850004196166992
, x: 0.6268512606620789
y: 0.6177698373794556
z: -0.012974091805517673
, x: 0.620672345161438
y: 0.5851188898086548
z: -0.027064239606261253
, x: 0.6449729800224304
y: 0.7453423738479614
z: 0.015856316313147545
, x: 0.6601459980010986
y: 0.6625495553016663
z: -0.006128418259322643
, x: 0.6424672603607178
y: 0.626133918762207
z: -0.028734633699059486
, x: 0.6213470697402954
y: 0.6047612428665161
z: -0.042236506938934326
, x: 0.6728183627128601
y: 0.7792786359786987
z: 0.0020795403979718685
, x: 0.6985174417495728
y: 0.693419337272644
z: -0.029095908626914024
, x: 0.6620792746543884
y: 0.7018834352493286
z: -0.04379163682460785
, x: 0.6268872022628784
y: 0.7295660972595215
z: -0.046381738036870956
, x: 0.6983959674835205
y: 0.8241409063339233
z: -0.0130558917298913
, x: 0.7072800397872925
y: 0.7502936124801636
z: -0.04055143520236015
, x: 0.6747717261314392
y: 0.7467465996742249
z: -0.048849865794181824
, x: 0.6424283981323242
y: 0.7681921720504761
z: -0.04934011399745941
]",
8,8,2023-08-01T17:18:22.671590,"[x: 0.561510443687439
y: 0.9615828990936279
z: -1.5094012439931248e-07
, x: 0.5356597900390625
y: 0.8756197094917297
z: -0.011071800254285336
, x: 0.5492401719093323
y: 0.7756388187408447
z: -0.01243628654628992
, x: 0.5766730904579163
y: 0.7097790241241455
z: -0.01863749325275421
, x: 0.5927313566207886
y: 0.6494381427764893
z: -0.024182608351111412
, x: 0.6078385710716248
y: 0.7203003764152527
z: 0.025674905627965927
, x: 0.6210859417915344
y: 0.6520493626594543
z: 0.009961563162505627
, x: 0.6201350092887878
y: 0.611108124256134
z: -0.008785161189734936
, x: 0.6143798232078552
y: 0.5763490200042725
z: -0.022584635764360428
, x: 0.6410691142082214
y: 0.7389653325080872
z: 0.0166886318475008
, x: 0.6556918025016785
y: 0.6549801826477051
z: -0.004198199603706598
, x: 0.6372935771942139
y: 0.6173079609870911
z: -0.026141254231333733
, x: 0.6156966686248779
y: 0.5953484773635864
z: -0.03927329555153847
, x: 0.6692820191383362
y: 0.7719616889953613
z: 0.0025299733970314264
, x: 0.6944027543067932
y: 0.6856554746627808
z: -0.027706054970622063
, x: 0.6571286916732788
y: 0.6922116875648499
z: -0.04240138456225395
, x: 0.6215075254440308
y: 0.7187618017196655
z: -0.04522043094038963
, x: 0.694607138633728
y: 0.815761148929596
z: -0.012850581668317318
, x: 0.7026894092559814
y: 0.7421119213104248
z: -0.03926254063844681
, x: 0.6700887680053711
y: 0.7379846572875977
z: -0.04713232442736626
, x: 0.638444185256958
y: 0.7592300772666931
z: -0.047566067427396774
]",
9,9,2023-08-01T17:18:22.735207,"[x: 0.558250904083252
y: 0.9611327648162842
z: -1.2854467001943704e-07
, x: 0.5318856835365295
y: 0.8711890578269958
z: -0.010087124072015285
, x: 0.5440513491630554
y: 0.7702242136001587
z: -0.010791719891130924
, x: 0.5702347755432129
y: 0.702617883682251
z: -0.016856325790286064
, x: 0.5852510333061218
y: 0.6393951177597046
z: -0.02203805185854435
, x: 0.6022371649742126
y: 0.7105451822280884
z: 0.03089256025850773
, x: 0.6144754886627197
y: 0.6424458026885986
z: 0.01603163778781891
, x: 0.6132082939147949
y: 0.6014763116836548
z: -0.002942214719951153
, x: 0.6078508496284485
y: 0.5663350820541382
z: -0.017154201865196228
, x: 0.6355729699134827
y: 0.7292264103889465
z: 0.02147734723985195
, x: 0.6481808423995972
y: 0.645371675491333
z: 0.0007857602904550731
, x: 0.6310373544692993
y: 0.608316957950592
z: -0.02260354533791542
, x: 0.6115089654922485
y: 0.5853098630905151
z: -0.03687088564038277
, x: 0.6643161177635193
y: 0.7629655003547668
z: 0.006706061773002148
, x: 0.6883026957511902
y: 0.6775871515274048
z: -0.023840514943003654
, x: 0.6516432166099548
y: 0.6857971549034119
z: -0.039768118411302567
, x: 0.6164939403533936
y: 0.7130528688430786
z: -0.04315808042883873
, x: 0.6905910968780518
y: 0.8077014088630676
z: -0.009222488850355148
, x: 0.6982229351997375
y: 0.733398973941803
z: -0.03577980026602745
, x: 0.6655892133712769
y: 0.7295167446136475
z: -0.04426520690321922
, x: 0.6338158249855042
y: 0.7509118914604187
z: -0.04495518282055855
]",
