,Frame ID,Timestamp,Hand 1 Landmarks,Hand 2 Landmarks
0,0,2023-08-01T16:24:32.141300,"[x: 0.5582993626594543
y: 0.7782224416732788
z: -2.547966744259611e-07
, x: 0.5239927172660828
y: 0.7150610685348511
z: 0.0033758387435227633
, x: 0.5168877243995667
y: 0.6281452178955078
z: 0.008341319859027863
, x: 0.5136746168136597
y: 0.5616368055343628
z: 0.0068458495661616325
, x: 0.5225307941436768
y: 0.5072381496429443
z: 0.0063323816284537315
, x: 0.5803754925727844
y: 0.5941261053085327
z: 0.045326583087444305
, x: 0.5889259576797485
y: 0.5349301099777222
z: 0.039582815021276474
, x: 0.5763557553291321
y: 0.5057728886604309
z: 0.02753083035349846
, x: 0.5618303418159485
y: 0.49283233284950256
z: 0.018949106335639954
, x: 0.6087766289710999
y: 0.6017112731933594
z: 0.03286093845963478
, x: 0.6235942840576172
y: 0.5303676128387451
z: 0.024804702028632164
, x: 0.604174017906189
y: 0.4981410503387451
z: 0.008726428262889385
, x: 0.5761337876319885
y: 0.4918118119239807
z: -0.0008479718235321343
, x: 0.6333191394805908
y: 0.6184945106506348
z: 0.015764975920319557
, x: 0.6583665013313293
y: 0.5376488566398621
z: 0.004006498027592897
, x: 0.6336341500282288
y: 0.5014397501945496
z: -0.009324939921498299
, x: 0.6028321385383606
y: 0.49406832456588745
z: -0.015690399333834648
, x: 0.6509589552879333
y: 0.6400203108787537
z: -0.0020284659694880247
, x: 0.6465798020362854
y: 0.5664152503013611
z: -0.016874469816684723
, x: 0.6194279789924622
y: 0.5280610918998718
z: -0.027654482051730156
, x: 0.5916048288345337
y: 0.5124495625495911
z: -0.03292592987418175
]",
1,1,2023-08-01T16:24:32.246069,"[x: 0.5564355254173279
y: 0.7878314852714539
z: -3.1709450354355795e-07
, x: 0.5239991545677185
y: 0.7188032865524292
z: 0.002260947600007057
, x: 0.518330454826355
y: 0.631058931350708
z: 0.005097890272736549
, x: 0.5157262682914734
y: 0.5649375319480896
z: 0.0017587736947461963
, x: 0.524116039276123
y: 0.5105820894241333
z: -0.0005464534624479711
, x: 0.5855050683021545
y: 0.59310382604599
z: 0.03831194341182709
, x: 0.5924009084701538
y: 0.5282342433929443
z: 0.02773740328848362
, x: 0.5769749879837036
y: 0.5001677870750427
z: 0.013177348300814629
, x: 0.5601620674133301
y: 0.49293604493141174
z: 0.003993122838437557
, x: 0.6125156879425049
y: 0.601288378238678
z: 0.02651095576584339
, x: 0.6268423199653625
y: 0.5243349671363831
z: 0.014635372906923294
, x: 0.6039742827415466
y: 0.4956669509410858
z: -0.002363458974286914
, x: 0.5745916962623596
y: 0.4944772720336914
z: -0.011909432709217072
, x: 0.6359139084815979
y: 0.6187528967857361
z: 0.010462616570293903
, x: 0.662898063659668
y: 0.5334647297859192
z: -0.0034280377440154552
, x: 0.6345475912094116
y: 0.49933111667633057
z: -0.015101366676390171
, x: 0.6013318300247192
y: 0.4948297142982483
z: -0.019889483228325844
, x: 0.6513487100601196
y: 0.6417973637580872
z: -0.006162981502711773
, x: 0.6494407653808594
y: 0.5670239925384521
z: -0.02045617625117302
, x: 0.6232476234436035
y: 0.5283806324005127
z: -0.02862222120165825
, x: 0.5965360403060913
y: 0.5109993815422058
z: -0.03163381665945053
]",
2,2,2023-08-01T16:24:32.318239,"[x: 0.5571122765541077
y: 0.7955477237701416
z: -3.8053107687119336e-07
, x: 0.5238169431686401
y: 0.7248130440711975
z: 0.0045211161486804485
, x: 0.5179723501205444
y: 0.6332862377166748
z: 0.010389456525444984
, x: 0.5161172151565552
y: 0.5641791820526123
z: 0.009575030766427517
, x: 0.5236493349075317
y: 0.5092466473579407
z: 0.009655952453613281
, x: 0.5826593637466431
y: 0.5971304178237915
z: 0.04555066302418709
, x: 0.5922365784645081
y: 0.5336054563522339
z: 0.03838132694363594
, x: 0.5756772756576538
y: 0.5059915781021118
z: 0.0253912340849638
, x: 0.5571640133857727
y: 0.49663493037223816
z: 0.01681186817586422
, x: 0.6083806753158569
y: 0.6034446358680725
z: 0.0339263379573822
, x: 0.6223464608192444
y: 0.5267761945724487
z: 0.02488405629992485
, x: 0.5989944934844971
y: 0.4984380006790161
z: 0.00840739905834198
, x: 0.5695383548736572
y: 0.4932750165462494
z: -0.0013386892387643456
, x: 0.6326177716255188
y: 0.6182253360748291
z: 0.018003132194280624
, x: 0.6584264039993286
y: 0.5316097736358643
z: 0.005693611688911915
, x: 0.6304944753646851
y: 0.5023994445800781
z: -0.006218844559043646
, x: 0.5975481271743774
y: 0.499330073595047
z: -0.011638958007097244
, x: 0.6521152257919312
y: 0.6378805637359619
z: 0.0016921279020607471
, x: 0.645314633846283
y: 0.5629327893257141
z: -0.010774603113532066
, x: 0.617496132850647
y: 0.5289842486381531
z: -0.01843152940273285
, x: 0.5900888442993164
y: 0.5134066343307495
z: -0.021749835461378098
]",
3,3,2023-08-01T16:24:32.385378,"[x: 0.553656816482544
y: 0.8013667464256287
z: -3.525024681039213e-07
, x: 0.5230789184570312
y: 0.7255293130874634
z: 0.0033411718904972076
, x: 0.5184400081634521
y: 0.6331057548522949
z: 0.007359739392995834
, x: 0.5160937309265137
y: 0.565405547618866
z: 0.004644773900508881
, x: 0.5229791402816772
y: 0.5088924169540405
z: 0.0032166189048439264
, x: 0.5839381814002991
y: 0.5945098996162415
z: 0.04251924157142639
, x: 0.5934537649154663
y: 0.528375506401062
z: 0.0314011387526989
, x: 0.5753306746482849
y: 0.5012251734733582
z: 0.016092894598841667
, x: 0.554731011390686
y: 0.4933665692806244
z: 0.00665315194055438
, x: 0.6096974611282349
y: 0.6017264723777771
z: 0.03049173764884472
, x: 0.6255702376365662
y: 0.5215870141983032
z: 0.017747653648257256
, x: 0.6001660823822021
y: 0.49494674801826477
z: 0.0003515279677230865
, x: 0.5686101913452148
y: 0.4945780634880066
z: -0.008981242775917053
, x: 0.6331915855407715
y: 0.6179804801940918
z: 0.01394282653927803
, x: 0.6612666249275208
y: 0.5306621193885803
z: 0.0005041075055487454
, x: 0.6313364505767822
y: 0.49915826320648193
z: -0.010856088250875473
, x: 0.5960546731948853
y: 0.4959368407726288
z: -0.015392160974442959
, x: 0.6503539681434631
y: 0.6402685642242432
z: -0.0033469179179519415
, x: 0.6477625370025635
y: 0.5672787427902222
z: -0.01545525249093771
, x: 0.6204573512077332
y: 0.5310444235801697
z: -0.02272764965891838
, x: 0.592074453830719
y: 0.5141310691833496
z: -0.025414306670427322
]",
4,4,2023-08-01T16:24:32.458180,"[x: 0.5553848147392273
y: 0.8083584904670715
z: -3.825606427199091e-07
, x: 0.5233609676361084
y: 0.7316803336143494
z: 0.005965624935925007
, x: 0.5183569192886353
y: 0.6358389258384705
z: 0.012886473909020424
, x: 0.5163998603820801
y: 0.5663028955459595
z: 0.012443349696695805
, x: 0.5225831866264343
y: 0.5108159780502319
z: 0.013390296138823032
, x: 0.5829579830169678
y: 0.5981991291046143
z: 0.05008980259299278
, x: 0.5917090773582458
y: 0.5310842394828796
z: 0.042104870080947876
, x: 0.5733445286750793
y: 0.5034043192863464
z: 0.028102010488510132
, x: 0.552452802658081
y: 0.4945034980773926
z: 0.019313817843794823
, x: 0.6073242425918579
y: 0.6035301685333252
z: 0.03767138347029686
, x: 0.6215177774429321
y: 0.5231917500495911
z: 0.028094539418816566
, x: 0.5966082215309143
y: 0.4956468641757965
z: 0.011691084131598473
, x: 0.5653179287910461
y: 0.49320363998413086
z: 0.0027118846774101257
, x: 0.6310938000679016
y: 0.6171243786811829
z: 0.020664595067501068
, x: 0.6553241014480591
y: 0.5292339324951172
z: 0.009824920445680618
, x: 0.626981258392334
y: 0.4990575611591339
z: -0.00045283001963980496
, x: 0.5931890606880188
y: 0.49642491340637207
z: -0.0045961360447108746
, x: 0.6513394117355347
y: 0.6366276741027832
z: 0.0029165400192141533
, x: 0.6490619778633118
y: 0.5619823932647705
z: -0.006173265632241964
, x: 0.6226760149002075
y: 0.5276600122451782
z: -0.011244961991906166
, x: 0.5945574641227722
y: 0.5126702189445496
z: -0.012826157733798027
]",
5,5,2023-08-01T16:24:32.517147,"[x: 0.5525805354118347
y: 0.8103159070014954
z: -3.448086829394015e-07
, x: 0.5227510929107666
y: 0.7311601042747498
z: 0.006225943099707365
, x: 0.5172092318534851
y: 0.6370483636856079
z: 0.012697773054242134
, x: 0.5152320861816406
y: 0.5690813660621643
z: 0.011880027130246162
, x: 0.5227436423301697
y: 0.5147706866264343
z: 0.012190662324428558
, x: 0.5818901062011719
y: 0.596839189529419
z: 0.049978140741586685
, x: 0.5920743942260742
y: 0.5317543745040894
z: 0.04193595424294472
, x: 0.5752527117729187
y: 0.504306435585022
z: 0.027672331780195236
, x: 0.5547939538955688
y: 0.494891881942749
z: 0.01878570206463337
, x: 0.6072021722793579
y: 0.6033281087875366
z: 0.0374947264790535
, x: 0.6247060894966125
y: 0.5249273180961609
z: 0.02794203907251358
, x: 0.6026281118392944
y: 0.4967419505119324
z: 0.01088722888380289
, x: 0.5721517205238342
y: 0.4940495491027832
z: 0.00146451685577631
, x: 0.6310961842536926
y: 0.6186208128929138
z: 0.020506367087364197
, x: 0.6582866311073303
y: 0.5350229144096375
z: 0.010402290150523186
, x: 0.6327152252197266
y: 0.5023579597473145
z: -0.0007722620503045619
, x: 0.5991792678833008
y: 0.4968867599964142
z: -0.005789289250969887
, x: 0.6503445506095886
y: 0.6403907537460327
z: 0.002849068958312273
, x: 0.6488796472549438
y: 0.5696320533752441
z: -0.005425766576081514
, x: 0.6246131658554077
y: 0.5340625047683716
z: -0.010941865853965282
, x: 0.5970351696014404
y: 0.5162091255187988
z: -0.012992867268621922
]",
6,6,2023-08-01T16:24:32.577209,"[x: 0.5522384643554688
y: 0.8081151247024536
z: -3.416024298985576e-07
, x: 0.5228145718574524
y: 0.7287768721580505
z: 0.0023739561438560486
, x: 0.5173721313476562
y: 0.6357609033584595
z: 0.005767893046140671
, x: 0.5152527689933777
y: 0.5676417350769043
z: 0.002944907173514366
, x: 0.5230162739753723
y: 0.5121719241142273
z: 0.0014144559390842915
, x: 0.5814900398254395
y: 0.5949020385742188
z: 0.040984153747558594
, x: 0.5917855501174927
y: 0.5278005599975586
z: 0.029559601098299026
, x: 0.5735908150672913
y: 0.500713586807251
z: 0.013995415531098843
, x: 0.5520586371421814
y: 0.4924296736717224
z: 0.004605553112924099
, x: 0.6073896288871765
y: 0.6020150780677795
z: 0.03019615449011326
, x: 0.622712254524231
y: 0.5223361253738403
z: 0.018608534708619118
, x: 0.5987874865531921
y: 0.4952749013900757
z: 0.001600911607965827
, x: 0.5680789947509766
y: 0.4923931360244751
z: -0.008013180457055569
, x: 0.6314327120780945
y: 0.6187031269073486
z: 0.014908981509506702
, x: 0.6578854322433472
y: 0.5342018604278564
z: 0.0030460781417787075
, x: 0.6300245523452759
y: 0.5023446083068848
z: -0.007777387276291847
, x: 0.5955331325531006
y: 0.49626585841178894
z: -0.012681392952799797
, x: 0.6495247483253479
y: 0.6427091360092163
z: -0.0011934346985071898
, x: 0.6452986001968384
y: 0.5727876424789429
z: -0.011023573577404022
, x: 0.6199526786804199
y: 0.5392120480537415
z: -0.016839412972331047
, x: 0.5926644206047058
y: 0.5218877196311951
z: -0.018991298973560333
]",
7,7,2023-08-01T16:24:32.642994,"[x: 0.5532236695289612
y: 0.8074567914009094
z: -3.660735501398449e-07
, x: 0.5228912234306335
y: 0.7282279133796692
z: 0.00537470169365406
, x: 0.5173624157905579
y: 0.6349868774414062
z: 0.010487676598131657
, x: 0.5154654383659363
y: 0.566749095916748
z: 0.008475499227643013
, x: 0.5224769711494446
y: 0.5119274854660034
z: 0.007589971646666527
, x: 0.5825055241584778
y: 0.5954727530479431
z: 0.04561789706349373
, x: 0.5925214290618896
y: 0.5298729538917542
z: 0.035261236131191254
, x: 0.5741515755653381
y: 0.5026419758796692
z: 0.020252496004104614
, x: 0.552629828453064
y: 0.4944222569465637
z: 0.011119728907942772
, x: 0.6082014441490173
y: 0.6021126508712769
z: 0.03310451656579971
, x: 0.6236312389373779
y: 0.5225424766540527
z: 0.022173495963215828
, x: 0.5988157987594604
y: 0.4964592456817627
z: 0.005836422089487314
, x: 0.5679250359535217
y: 0.49483999609947205
z: -0.0031630038283765316
, x: 0.6320394277572632
y: 0.6178281903266907
z: 0.01608363538980484
, x: 0.6594393253326416
y: 0.5311617255210876
z: 0.004135100170969963
, x: 0.6302521228790283
y: 0.4999479651451111
z: -0.005985458847135305
, x: 0.595507800579071
y: 0.4959624409675598
z: -0.010089073330163956
, x: 0.6498568654060364
y: 0.6402416229248047
z: -0.00160387868527323
, x: 0.6461603045463562
y: 0.5671999454498291
z: -0.012090935371816158
, x: 0.619585394859314
y: 0.5328986048698425
z: -0.01779383234679699
, x: 0.5919371247291565
y: 0.5163640379905701
z: -0.019601600244641304
]",
8,8,2023-08-01T16:24:32.704561,"[x: 0.5536129474639893
y: 0.8082318305969238
z: -3.690323922000971e-07
, x: 0.5230911374092102
y: 0.7301095128059387
z: 0.006591975223273039
, x: 0.5177924633026123
y: 0.6367750763893127
z: 0.013043789193034172
, x: 0.516093909740448
y: 0.568305492401123
z: 0.011934018693864346
, x: 0.522729754447937
y: 0.5139371752738953
z: 0.012058231979608536
, x: 0.5824977159500122
y: 0.5956488847732544
z: 0.04933314770460129
, x: 0.5923692584037781
y: 0.5281581878662109
z: 0.040023498237133026
, x: 0.5740570425987244
y: 0.5007612109184265
z: 0.025243164971470833
, x: 0.5521911978721619
y: 0.4935021996498108
z: 0.016356252133846283
, x: 0.6076196432113647
y: 0.6013000011444092
z: 0.036537837237119675
, x: 0.6241431832313538
y: 0.5203101634979248
z: 0.025790873914957047
, x: 0.5997350811958313
y: 0.4935671091079712
z: 0.008608730509877205
, x: 0.5678755640983582
y: 0.4934327006340027
z: -0.0005006070132367313
, x: 0.6314634084701538
y: 0.6161345839500427
z: 0.01928333193063736
, x: 0.6594275236129761
y: 0.5301117897033691
z: 0.00838727317750454
, x: 0.6322304606437683
y: 0.498782753944397
z: -0.002311525633558631
, x: 0.5980052947998047
y: 0.49584484100341797
z: -0.006611939985305071
, x: 0.6506911516189575
y: 0.6377474069595337
z: 0.0013420486357063055
, x: 0.6511214971542358
y: 0.5658443570137024
z: -0.007727269548922777
, x: 0.6266267895698547
y: 0.5299458503723145
z: -0.013330773450434208
, x: 0.599102258682251
y: 0.5131785869598389
z: -0.015093511901795864
]",
9,9,2023-08-01T16:24:32.773213,"[x: 0.5543832182884216
y: 0.8097144365310669
z: -3.61378141633395e-07
, x: 0.5240436792373657
y: 0.7309849858283997
z: 0.005931182764470577
, x: 0.5179259181022644
y: 0.6366832852363586
z: 0.012263801880180836
, x: 0.5157016515731812
y: 0.5673424005508423
z: 0.011074426583945751
, x: 0.5233684778213501
y: 0.5139744877815247
z: 0.011087107472121716
, x: 0.5820683240890503
y: 0.5964260101318359
z: 0.04994499310851097
, x: 0.5917118787765503
y: 0.5301499366760254
z: 0.040580011904239655
, x: 0.5746455788612366
y: 0.5028165578842163
z: 0.025416944175958633
, x: 0.5536535978317261
y: 0.494811475276947
z: 0.016238229349255562
, x: 0.6070624589920044
y: 0.6013082265853882
z: 0.03750520572066307
, x: 0.6234949231147766
y: 0.5217047929763794
z: 0.026683492586016655
, x: 0.6002064943313599
y: 0.49439284205436707
z: 0.009175600484013557
, x: 0.568930983543396
y: 0.49294355511665344
z: -0.00016918143955990672
, x: 0.6311102509498596
y: 0.6156863570213318
z: 0.020448528230190277
, x: 0.6582850813865662
y: 0.5315407514572144
z: 0.009738324210047722
, x: 0.6327944397926331
y: 0.49982112646102905
z: -0.001092471182346344
, x: 0.5996828079223633
y: 0.49601149559020996
z: -0.005462311673909426
, x: 0.6508486270904541
y: 0.6373509764671326
z: 0.0025767944753170013
, x: 0.6532678008079529
y: 0.5656827688217163
z: -0.005652233958244324
, x: 0.6304162740707397
y: 0.5289121270179749
z: -0.010810659267008305
, x: 0.603624165058136
y: 0.5112811923027039
z: -0.012382018379867077
]",
