,Frame ID,Timestamp,Hand 1 Landmarks,Hand 2 Landmarks
0,18,2023-08-01T16:05:21.039156,"[x: 0.7519374489784241
y: 0.9921988248825073
z: -9.240008580491121e-07
, x: 0.7083709239959717
y: 0.9661088585853577
z: -0.03231240063905716
, x: 0.6608815789222717
y: 0.9271954298019409
z: -0.06353755295276642
, x: 0.623925507068634
y: 0.9082154631614685
z: -0.09179974347352982
, x: 0.6157494783401489
y: 0.8827933669090271
z: -0.11938662081956863
, x: 0.7887125611305237
y: 0.8000966310501099
z: -0.06229597330093384
, x: 0.7198832035064697
y: 0.8234056830406189
z: -0.09850200265645981
, x: 0.6768587827682495
y: 0.8562477231025696
z: -0.12351204454898834
, x: 0.6601088047027588
y: 0.8706530332565308
z: -0.14105701446533203
, x: 0.8248365521430969
y: 0.8267704844474792
z: -0.0693231150507927
, x: 0.7395318150520325
y: 0.8440560698509216
z: -0.10147339850664139
, x: 0.691038966178894
y: 0.8770954012870789
z: -0.11483678221702576
, x: 0.6712682843208313
y: 0.8984721899032593
z: -0.12515123188495636
, x: 0.8421860933303833
y: 0.8701675534248352
z: -0.07860615849494934
, x: 0.7534297704696655
y: 0.8854655623435974
z: -0.1149345338344574
, x: 0.7030741572380066
y: 0.9109201431274414
z: -0.11658728867769241
, x: 0.6802968382835388
y: 0.9224323034286499
z: -0.11568935215473175
, x: 0.8442357778549194
y: 0.9239301681518555
z: -0.08995768427848816
, x: 0.7673051953315735
y: 0.9337993860244751
z: -0.12317579984664917
, x: 0.7206584215164185
y: 0.9490328431129456
z: -0.12393924593925476
, x: 0.6947079300880432
y: 0.9538847208023071
z: -0.12004482001066208
]",
1,19,2023-08-01T16:05:21.120741,"[x: 0.7975212335586548
y: 0.9809824228286743
z: -9.689516673461185e-07
, x: 0.7275335788726807
y: 0.9224081039428711
z: -0.036548592150211334
, x: 0.6706545352935791
y: 0.8667951822280884
z: -0.07268066704273224
, x: 0.6299448013305664
y: 0.8350890278816223
z: -0.10491303354501724
, x: 0.6262154579162598
y: 0.8043163418769836
z: -0.1370672583580017
, x: 0.8051986694335938
y: 0.7323150038719177
z: -0.07830920070409775
, x: 0.7157642841339111
y: 0.7487329840660095
z: -0.12380402535200119
, x: 0.6628477573394775
y: 0.7876147627830505
z: -0.1553574502468109
, x: 0.6359254717826843
y: 0.8113417625427246
z: -0.17636072635650635
, x: 0.8449339866638184
y: 0.7825899720191956
z: -0.08623378723859787
, x: 0.7431075572967529
y: 0.7776607871055603
z: -0.1279674619436264
, x: 0.6788248419761658
y: 0.8123566508293152
z: -0.14638440310955048
, x: 0.6443445086479187
y: 0.8438419699668884
z: -0.16056954860687256
, x: 0.8631329536437988
y: 0.8511014580726624
z: -0.09646876901388168
, x: 0.769985020160675
y: 0.8469522595405579
z: -0.14289212226867676
, x: 0.702313244342804
y: 0.874512255191803
z: -0.14947867393493652
, x: 0.6643809676170349
y: 0.8997550010681152
z: -0.15090835094451904
, x: 0.8609057664871216
y: 0.9270790815353394
z: -0.10830214619636536
, x: 0.7756824493408203
y: 0.9268149733543396
z: -0.15026028454303741
, x: 0.7176815867424011
y: 0.9355656504631042
z: -0.1564808040857315
, x: 0.680299699306488
y: 0.940367579460144
z: -0.15637080371379852
]","[x: 0.8001695275306702
y: 1.024026870727539
z: -5.73166573758499e-07
, x: 0.7366501688957214
y: 0.9632415771484375
z: -0.0388515405356884
, x: 0.6812264323234558
y: 0.8983091711997986
z: -0.0703926533460617
, x: 0.641109824180603
y: 0.8484326601028442
z: -0.09700939804315567
, x: 0.6247490048408508
y: 0.8000789880752563
z: -0.12141181528568268
, x: 0.8169330358505249
y: 0.760915994644165
z: -0.06581476330757141
, x: 0.7218922972679138
y: 0.7443482279777527
z: -0.10683205723762512
, x: 0.6731429100036621
y: 0.7842104434967041
z: -0.13317586481571198
, x: 0.6550800800323486
y: 0.8231572508811951
z: -0.14810656011104584
, x: 0.8485773801803589
y: 0.8039902448654175
z: -0.0673288106918335
, x: 0.745634913444519
y: 0.7775924205780029
z: -0.09901121258735657
, x: 0.688079297542572
y: 0.8118423223495483
z: -0.1116909459233284
, x: 0.6625913977622986
y: 0.8457818627357483
z: -0.11936139315366745
, x: 0.8565189242362976
y: 0.8660925030708313
z: -0.07204087823629379
, x: 0.7575576305389404
y: 0.8462764024734497
z: -0.10438120365142822
, x: 0.6974310278892517
y: 0.8685315847396851
z: -0.10582325607538223
, x: 0.6690318584442139
y: 0.8919063806533813
z: -0.10401827096939087
, x: 0.8456048369407654
y: 0.9375534653663635
z: -0.079600028693676
, x: 0.7618042826652527
y: 0.9241520762443542
z: -0.10762660205364227
, x: 0.7136656045913696
y: 0.9278520941734314
z: -0.10862559825181961
, x: 0.6882869601249695
y: 0.9372513294219971
z: -0.1041407361626625
]"
2,20,2023-08-01T16:05:21.154797,"[x: 0.8084902167320251
y: 0.9816604852676392
z: -4.302346781059896e-07
, x: 0.7344361543655396
y: 0.879304826259613
z: -0.0020005975384265184
, x: 0.6872177720069885
y: 0.8003175258636475
z: -0.015732213854789734
, x: 0.6451596021652222
y: 0.7491592168807983
z: -0.034108392894268036
, x: 0.6123542189598083
y: 0.7062786817550659
z: -0.05392640084028244
, x: 0.8060181736946106
y: 0.6800019145011902
z: -0.008603223599493504
, x: 0.7327874898910522
y: 0.6500809788703918
z: -0.03900137543678284
, x: 0.679008960723877
y: 0.6441770195960999
z: -0.06906899064779282
, x: 0.6325581669807434
y: 0.6490241885185242
z: -0.08938783407211304
, x: 0.8257843852043152
y: 0.7031807899475098
z: -0.02611568383872509
, x: 0.7422959804534912
y: 0.6607879400253296
z: -0.052187442779541016
, x: 0.6815332770347595
y: 0.6616787910461426
z: -0.07661860436201096
, x: 0.6328280568122864
y: 0.6732513904571533
z: -0.09454209357500076
, x: 0.8297621011734009
y: 0.74615478515625
z: -0.04550163075327873
, x: 0.7455770373344421
y: 0.7154489755630493
z: -0.07410486787557602
, x: 0.6827901005744934
y: 0.7239810824394226
z: -0.08950012177228928
, x: 0.6341890096664429
y: 0.7398231029510498
z: -0.09814511239528656
, x: 0.8168550729751587
y: 0.8061908483505249
z: -0.06494944542646408
, x: 0.7369226813316345
y: 0.7808111310005188
z: -0.09178879112005234
, x: 0.6830724477767944
y: 0.7752775549888611
z: -0.10183033347129822
, x: 0.6389153599739075
y: 0.7792037129402161
z: -0.10552309453487396
]",
3,21,2023-08-01T16:05:21.229049,"[x: 0.8066335916519165
y: 0.9369704723358154
z: -5.784813197351468e-07
, x: 0.7323412895202637
y: 0.8417813181877136
z: -0.007215222809463739
, x: 0.680782675743103
y: 0.7635701298713684
z: -0.024325301870703697
, x: 0.6339802742004395
y: 0.7147826552391052
z: -0.044926196336746216
, x: 0.6111563444137573
y: 0.668993353843689
z: -0.06614629924297333
, x: 0.807013750076294
y: 0.6266734004020691
z: -0.02011696994304657
, x: 0.7225269675254822
y: 0.597322940826416
z: -0.054925307631492615
, x: 0.6631869077682495
y: 0.6117547750473022
z: -0.0852222815155983
, x: 0.6219139099121094
y: 0.637718915939331
z: -0.10523934662342072
, x: 0.829871416091919
y: 0.6577459573745728
z: -0.03601374477148056
, x: 0.7321632504463196
y: 0.6150804162025452
z: -0.0670548528432846
, x: 0.6664449572563171
y: 0.6320033073425293
z: -0.09141296148300171
, x: 0.6230077147483826
y: 0.6560397148132324
z: -0.10910186916589737
, x: 0.8352194428443909
y: 0.711647629737854
z: -0.05404878780245781
, x: 0.7376411557197571
y: 0.6806055307388306
z: -0.08845962584018707
, x: 0.6718778610229492
y: 0.6987746357917786
z: -0.10367303341627121
, x: 0.6284927725791931
y: 0.722547173500061
z: -0.11146564781665802
, x: 0.8213782906532288
y: 0.7786710858345032
z: -0.07191977649927139
, x: 0.731332004070282
y: 0.7568153738975525
z: -0.1037043035030365
, x: 0.674964189529419
y: 0.7574117183685303
z: -0.11547993868589401
, x: 0.6347246170043945
y: 0.7627138495445251
z: -0.11997581273317337
]",
4,22,2023-08-01T16:05:21.296533,"[x: 0.8038107752799988
y: 0.8898177146911621
z: -6.357439588100533e-07
, x: 0.7205755710601807
y: 0.7921075820922852
z: -0.013654857873916626
, x: 0.6689194440841675
y: 0.7096335291862488
z: -0.03545186296105385
, x: 0.6215019226074219
y: 0.6561995148658752
z: -0.059152089059352875
, x: 0.5968732833862305
y: 0.606931746006012
z: -0.08399759232997894
, x: 0.7974472045898438
y: 0.572738528251648
z: -0.034321729093790054
, x: 0.7032314538955688
y: 0.5477713942527771
z: -0.07576081156730652
, x: 0.64096599817276
y: 0.5667634010314941
z: -0.10945598781108856
, x: 0.5962106585502625
y: 0.5953289866447449
z: -0.13073515892028809
, x: 0.821612536907196
y: 0.605162501335144
z: -0.04902992025017738
, x: 0.7162393927574158
y: 0.5585572123527527
z: -0.08937464654445648
, x: 0.6458145380020142
y: 0.5860344767570496
z: -0.1162513941526413
, x: 0.6001682281494141
y: 0.6212849617004395
z: -0.1335541307926178
, x: 0.8286924362182617
y: 0.660149097442627
z: -0.06601530313491821
, x: 0.7299593687057495
y: 0.626327395439148
z: -0.10703092813491821
, x: 0.6599795818328857
y: 0.6469137072563171
z: -0.12355121970176697
, x: 0.615156888961792
y: 0.6735851764678955
z: -0.13052740693092346
, x: 0.8171192407608032
y: 0.7280734777450562
z: -0.08297742158174515
, x: 0.7269601821899414
y: 0.7012423872947693
z: -0.117489755153656
, x: 0.6685335636138916
y: 0.7011677026748657
z: -0.12930239737033844
, x: 0.6278715133666992
y: 0.7053842544555664
z: -0.13334593176841736
]",
5,23,2023-08-01T16:05:21.355567,"[x: 0.8001497983932495
y: 0.8726770281791687
z: -6.761111990272184e-07
, x: 0.7176505327224731
y: 0.7760826945304871
z: -0.011618419550359249
, x: 0.6653346419334412
y: 0.6965175271034241
z: -0.035578709095716476
, x: 0.6164352893829346
y: 0.6485529541969299
z: -0.06178237497806549
, x: 0.5907316207885742
y: 0.6071226000785828
z: -0.0891042947769165
, x: 0.7964935898780823
y: 0.5574454665184021
z: -0.0374826043844223
, x: 0.7025708556175232
y: 0.5379838347434998
z: -0.08136127889156342
, x: 0.6416531205177307
y: 0.5519176721572876
z: -0.11603944003582001
, x: 0.592969536781311
y: 0.5754758715629578
z: -0.1377580314874649
, x: 0.8214682936668396
y: 0.5890321135520935
z: -0.05540471524000168
, x: 0.7150129079818726
y: 0.5442191362380981
z: -0.09828068315982819
, x: 0.6435620188713074
y: 0.5673868656158447
z: -0.1260974258184433
, x: 0.5924458503723145
y: 0.5969455242156982
z: -0.14413736760616302
, x: 0.8283789753913879
y: 0.6448646783828735
z: -0.07511358708143234
, x: 0.729190468788147
y: 0.6103062629699707
z: -0.11853375285863876
, x: 0.6601418256759644
y: 0.6329518556594849
z: -0.13480539619922638
, x: 0.6124515533447266
y: 0.6586982011795044
z: -0.14133518934249878
, x: 0.8150584101676941
y: 0.7140688896179199
z: -0.09456241875886917
, x: 0.7259645462036133
y: 0.6907466650009155
z: -0.1305547058582306
, x: 0.6676803231239319
y: 0.6905842423439026
z: -0.14198312163352966
, x: 0.6242579221725464
y: 0.6928616166114807
z: -0.1456785649061203
]",
6,24,2023-08-01T16:05:21.420694,"[x: 0.7964582443237305
y: 0.8487439155578613
z: -6.670744596704026e-07
, x: 0.7124738693237305
y: 0.7512800693511963
z: -0.011107955127954483
, x: 0.6617353558540344
y: 0.667573094367981
z: -0.03375614434480667
, x: 0.6157243251800537
y: 0.6146910786628723
z: -0.05879903957247734
, x: 0.5876022577285767
y: 0.5710803270339966
z: -0.08501065522432327
, x: 0.7920278310775757
y: 0.5325548648834229
z: -0.035455889999866486
, x: 0.6956759095191956
y: 0.5056464672088623
z: -0.0801323726773262
, x: 0.6322226524353027
y: 0.5207604169845581
z: -0.11580315232276917
, x: 0.5840471982955933
y: 0.546506404876709
z: -0.13783539831638336
, x: 0.8155561685562134
y: 0.5664037466049194
z: -0.052873093634843826
, x: 0.7040619850158691
y: 0.5177703499794006
z: -0.09684281796216965
, x: 0.632800281047821
y: 0.5483439564704895
z: -0.12382492423057556
, x: 0.5868872404098511
y: 0.5843068361282349
z: -0.1400676667690277
, x: 0.821064829826355
y: 0.62299644947052
z: -0.07241794466972351
, x: 0.715420663356781
y: 0.5855810046195984
z: -0.11656956374645233
, x: 0.6435889601707458
y: 0.6113002896308899
z: -0.1321534961462021
, x: 0.5972380042076111
y: 0.6395248770713806
z: -0.1370438188314438
, x: 0.8068174719810486
y: 0.6918578743934631
z: -0.09165770560503006
, x: 0.7106466889381409
y: 0.6652547717094421
z: -0.12823274731636047
, x: 0.6517443656921387
y: 0.6650688648223877
z: -0.13983316719532013
, x: 0.6110897064208984
y: 0.6682174801826477
z: -0.14281758666038513
]",
7,25,2023-08-01T16:05:21.488010,"[x: 0.798031210899353
y: 0.8489223122596741
z: -7.492931786146073e-07
, x: 0.7093163728713989
y: 0.7520266175270081
z: -0.012547456659376621
, x: 0.6579598784446716
y: 0.6727195978164673
z: -0.035100266337394714
, x: 0.6106128692626953
y: 0.6247358322143555
z: -0.059429608285427094
, x: 0.5822774767875671
y: 0.5824145674705505
z: -0.08500239253044128
, x: 0.789900004863739
y: 0.5285911560058594
z: -0.03879981487989426
, x: 0.6920344829559326
y: 0.5046206116676331
z: -0.08222148567438126
, x: 0.6295345425605774
y: 0.5195870995521545
z: -0.1151181012392044
, x: 0.5830021500587463
y: 0.5460140705108643
z: -0.13495390117168427
, x: 0.8160145282745361
y: 0.5609548091888428
z: -0.05534905940294266
, x: 0.7046847343444824
y: 0.5177902579307556
z: -0.0970688909292221
, x: 0.6313306093215942
y: 0.5468575954437256
z: -0.12241818010807037
, x: 0.583230197429657
y: 0.5803229808807373
z: -0.13822507858276367
, x: 0.823752224445343
y: 0.6169065237045288
z: -0.07388871908187866
, x: 0.7162721157073975
y: 0.5849893093109131
z: -0.11682586371898651
, x: 0.6442766189575195
y: 0.6126543879508972
z: -0.13124042749404907
, x: 0.5991183519363403
y: 0.6414269208908081
z: -0.1361217498779297
, x: 0.8116797208786011
y: 0.6855786442756653
z: -0.09225781261920929
, x: 0.7144900560379028
y: 0.6635156869888306
z: -0.1281762570142746
, x: 0.6551016569137573
y: 0.6663140058517456
z: -0.13863368332386017
, x: 0.6140017509460449
y: 0.6708106994628906
z: -0.1409798115491867
]",
8,26,2023-08-01T16:05:21.543986,"[x: 0.7928234338760376
y: 0.8243521451950073
z: -7.20306388757308e-07
, x: 0.6999756693840027
y: 0.7219075560569763
z: -0.0073513756506145
, x: 0.6517964005470276
y: 0.6359531283378601
z: -0.02752002887427807
, x: 0.6075541377067566
y: 0.5838379263877869
z: -0.05054283142089844
, x: 0.5763531923294067
y: 0.5432590246200562
z: -0.07509145885705948
, x: 0.7882134914398193
y: 0.5001865029335022
z: -0.03455666825175285
, x: 0.6820854544639587
y: 0.47661134600639343
z: -0.07626129686832428
, x: 0.6150663495063782
y: 0.49857279658317566
z: -0.10773573815822601
, x: 0.568203866481781
y: 0.5274650454521179
z: -0.12754684686660767
, x: 0.8093212842941284
y: 0.533859133720398
z: -0.053645212203264236
, x: 0.6904796361923218
y: 0.4840773642063141
z: -0.09749697148799896
, x: 0.6158013939857483
y: 0.5160976052284241
z: -0.12325530499219894
, x: 0.5691756010055542
y: 0.551734983921051
z: -0.13919340074062347
, x: 0.8113933801651001
y: 0.5896512866020203
z: -0.074220672249794
, x: 0.6998741626739502
y: 0.5521171689033508
z: -0.11916322261095047
, x: 0.6275632977485657
y: 0.5800288915634155
z: -0.13520756363868713
, x: 0.5828866958618164
y: 0.6074883341789246
z: -0.14086787402629852
, x: 0.7952365279197693
y: 0.6574906706809998
z: -0.0940093919634819
, x: 0.6961522698402405
y: 0.6307533979415894
z: -0.1304839700460434
, x: 0.6369081735610962
y: 0.6317580938339233
z: -0.14276963472366333
, x: 0.5972630977630615
y: 0.6330313086509705
z: -0.14706023037433624
]",
9,27,2023-08-01T16:05:21.607687,"[x: 0.7864651679992676
y: 0.8110309839248657
z: -7.148574354687298e-07
, x: 0.6949753761291504
y: 0.7081819176673889
z: -0.009677683934569359
, x: 0.6454231142997742
y: 0.6246432662010193
z: -0.03340746462345123
, x: 0.5997267961502075
y: 0.573354959487915
z: -0.05909287557005882
, x: 0.5691434144973755
y: 0.5312671065330505
z: -0.08615300059318542
, x: 0.7820366024971008
y: 0.49063974618911743
z: -0.04433160275220871
, x: 0.6777551174163818
y: 0.4639275074005127
z: -0.08893533051013947
, x: 0.6127958297729492
y: 0.4795963168144226
z: -0.12120910733938217
, x: 0.5648090839385986
y: 0.5045089721679688
z: -0.1412651240825653
, x: 0.8033895492553711
y: 0.525151789188385
z: -0.06353700160980225
, x: 0.6865133047103882
y: 0.472300261259079
z: -0.10988567024469376
, x: 0.6118818521499634
y: 0.5007247924804688
z: -0.1355234682559967
, x: 0.5622442960739136
y: 0.5347833633422852
z: -0.1515263468027115
, x: 0.8064634203910828
y: 0.5824018716812134
z: -0.08390407264232635
, x: 0.6958998441696167
y: 0.5382946729660034
z: -0.12964700162410736
, x: 0.6250020861625671
y: 0.5629739761352539
z: -0.1439148336648941
, x: 0.5793033838272095
y: 0.5890892148017883
z: -0.14913088083267212
, x: 0.7907803058624268
y: 0.6516517996788025
z: -0.10359884053468704
, x: 0.6910990476608276
y: 0.6247959136962891
z: -0.14156408607959747
, x: 0.6315037608146667
y: 0.6242039799690247
z: -0.15320388972759247
, x: 0.5903935432434082
y: 0.6243500709533691
z: -0.15715187788009644
]",
