,Frame ID,Hand 1 Landmarks,Hand 2 Landmarks
0,51,"[x: 0.5866092443466187
y: 0.9879332780838013
z: -1.2110405123166856e-07
, x: 0.5354729890823364
y: 0.9609822034835815
z: -0.0172136053442955
, x: 0.48950493335723877
y: 0.8865299820899963
z: -0.02744838036596775
, x: 0.4700368046760559
y: 0.8203305006027222
z: -0.03798775002360344
, x: 0.46397650241851807
y: 0.7650356292724609
z: -0.04741388186812401
, x: 0.539669394493103
y: 0.7860748171806335
z: -0.00658939965069294
, x: 0.5305830240249634
y: 0.7132151126861572
z: -0.03103960119187832
, x: 0.5046777725219727
y: 0.6877742409706116
z: -0.05359864979982376
, x: 0.48131150007247925
y: 0.6875762343406677
z: -0.06684514135122299
, x: 0.5730298757553101
y: 0.7842196226119995
z: -0.011605481617152691
, x: 0.5657284259796143
y: 0.7060980796813965
z: -0.03226204589009285
, x: 0.5393291115760803
y: 0.6847798824310303
z: -0.05006181821227074
, x: 0.5147456526756287
y: 0.691753625869751
z: -0.06000330299139023
, x: 0.6071386933326721
y: 0.7975969314575195
z: -0.020557966083288193
, x: 0.6049981713294983
y: 0.7203999161720276
z: -0.04055211320519447
, x: 0.5820953845977783
y: 0.708693265914917
z: -0.048058073967695236
, x: 0.5606006979942322
y: 0.7206848859786987
z: -0.05034245178103447
, x: 0.6410834193229675
y: 0.8266428112983704
z: -0.0314064584672451
, x: 0.6391822099685669
y: 0.7712656855583191
z: -0.049178093671798706
, x: 0.628924548625946
y: 0.7645614147186279
z: -0.05160734802484512
, x: 0.6180901527404785
y: 0.7762157320976257
z: -0.050025083124637604
]",
1,52,"[x: 0.5964076519012451
y: 0.9518219828605652
z: 1.5680251408412005e-07
, x: 0.540543794631958
y: 0.918791651725769
z: -0.01538871880620718
, x: 0.4989551305770874
y: 0.8414866328239441
z: -0.021641137078404427
, x: 0.4763932228088379
y: 0.7777689099311829
z: -0.028116516768932343
, x: 0.4571447968482971
y: 0.7236341238021851
z: -0.03279371187090874
, x: 0.5459001660346985
y: 0.7341403961181641
z: 0.002736012451350689
, x: 0.5366158485412598
y: 0.6612821817398071
z: -0.014454398304224014
, x: 0.5223126411437988
y: 0.6277830600738525
z: -0.032374363392591476
, x: 0.5051203966140747
y: 0.6094714403152466
z: -0.04340026155114174
, x: 0.5815379619598389
y: 0.728935182094574
z: -0.0010506273247301579
, x: 0.579194962978363
y: 0.6480616331100464
z: -0.01088812667876482
, x: 0.5681092143058777
y: 0.6051794290542603
z: -0.022831255570054054
, x: 0.5532330274581909
y: 0.577226459980011
z: -0.031096462160348892
, x: 0.6169776916503906
y: 0.7410212159156799
z: -0.009332937188446522
, x: 0.6188656687736511
y: 0.664456844329834
z: -0.019416773691773415
, x: 0.6098499298095703
y: 0.627699613571167
z: -0.02524169161915779
, x: 0.5958470106124878
y: 0.6010439395904541
z: -0.028744833543896675
, x: 0.6519948244094849
y: 0.7682903409004211
z: -0.02000943012535572
, x: 0.6631783246994019
y: 0.7027426362037659
z: -0.02886982448399067
, x: 0.6590657234191895
y: 0.6680248379707336
z: -0.03047642856836319
, x: 0.6473262310028076
y: 0.6436102390289307
z: -0.030382901430130005
]",
2,53,"[x: 0.6032891869544983
y: 0.9160393476486206
z: 3.3978298574766086e-07
, x: 0.5440641045570374
y: 0.882144033908844
z: -0.021869320422410965
, x: 0.4993882477283478
y: 0.7997007369995117
z: -0.03355662524700165
, x: 0.47158682346343994
y: 0.7296940088272095
z: -0.04425433278083801
, x: 0.44221219420433044
y: 0.6783101558685303
z: -0.05378510057926178
, x: 0.5483986139297485
y: 0.6775359511375427
z: -0.00886352825909853
, x: 0.5289700627326965
y: 0.5961474180221558
z: -0.029345735907554626
, x: 0.5090700387954712
y: 0.5491820573806763
z: -0.049458231776952744
, x: 0.48884105682373047
y: 0.5152466297149658
z: -0.06329227238893509
, x: 0.588814377784729
y: 0.6653034090995789
z: -0.01374258566647768
, x: 0.5832571387290955
y: 0.5701189041137695
z: -0.029089845716953278
, x: 0.5713461637496948
y: 0.5081075429916382
z: -0.04587291181087494
, x: 0.5561907887458801
y: 0.46114563941955566
z: -0.057664282619953156
, x: 0.6270488500595093
y: 0.6764020919799805
z: -0.023093314841389656
, x: 0.6344517469406128
y: 0.5824748277664185
z: -0.0405060313642025
, x: 0.6293888092041016
y: 0.5213668346405029
z: -0.05419212207198143
, x: 0.6180205941200256
y: 0.4710635542869568
z: -0.06354627013206482
, x: 0.6627916693687439
y: 0.7093059420585632
z: -0.03455459699034691
, x: 0.6842429637908936
y: 0.6356897354125977
z: -0.05103093385696411
, x: 0.6864717602729797
y: 0.5845403075218201
z: -0.05802951008081436
, x: 0.6796655058860779
y: 0.5394810438156128
z: -0.062049251049757004
]",
3,54,"[x: 0.6092170476913452
y: 0.8824419379234314
z: 7.656218485863064e-07
, x: 0.5415242910385132
y: 0.8469433188438416
z: -0.02752608060836792
, x: 0.49201062321662903
y: 0.7575721740722656
z: -0.042378850281238556
, x: 0.45822465419769287
y: 0.6845349669456482
z: -0.05494661629199982
, x: 0.4158598780632019
y: 0.6451006531715393
z: -0.06710962951183319
, x: 0.5486522912979126
y: 0.603105366230011
z: -0.01922588422894478
, x: 0.5433903932571411
y: 0.5006793737411499
z: -0.03638266772031784
, x: 0.5430856943130493
y: 0.43251436948776245
z: -0.054313089698553085
, x: 0.5445218086242676
y: 0.3759573996067047
z: -0.06847132742404938
, x: 0.5954446792602539
y: 0.5965723395347595
z: -0.024231230840086937
, x: 0.6052363514900208
y: 0.4839387536048889
z: -0.03669371083378792
, x: 0.6125491857528687
y: 0.4065025746822357
z: -0.05179648846387863
, x: 0.6161478757858276
y: 0.34497034549713135
z: -0.06343117356300354
, x: 0.6384469270706177
y: 0.6167486906051636
z: -0.03356369584798813
, x: 0.6585796475410461
y: 0.5093724727630615
z: -0.05040597915649414
, x: 0.6685363054275513
y: 0.441207617521286
z: -0.0648847296833992
, x: 0.6728792786598206
y: 0.38248559832572937
z: -0.07549063861370087
, x: 0.6756963133811951
y: 0.6601523756980896
z: -0.045532431453466415
, x: 0.705775260925293
y: 0.5802428722381592
z: -0.0631118044257164
, x: 0.7209444642066956
y: 0.5249589681625366
z: -0.0709943100810051
, x: 0.729812502861023
y: 0.47370854020118713
z: -0.07595577090978622
]",
4,55,"[x: 0.6134496927261353
y: 0.8965418338775635
z: 5.92943649735389e-07
, x: 0.5438665151596069
y: 0.8536478281021118
z: -0.02875508740544319
, x: 0.48962563276290894
y: 0.7646622061729431
z: -0.04381981119513512
, x: 0.45246732234954834
y: 0.6934805512428284
z: -0.05721957981586456
, x: 0.4116430878639221
y: 0.6477496027946472
z: -0.07006771862506866
, x: 0.5507084131240845
y: 0.6020296812057495
z: -0.014562887139618397
, x: 0.5453618764877319
y: 0.4991574287414551
z: -0.03298342600464821
, x: 0.5458744168281555
y: 0.4340447783470154
z: -0.051811326295137405
, x: 0.5491349697113037
y: 0.3798238933086395
z: -0.06671558320522308
, x: 0.5979710817337036
y: 0.5943137407302856
z: -0.020262891426682472
, x: 0.6094279885292053
y: 0.47544097900390625
z: -0.03368698060512543
, x: 0.615966796875
y: 0.39972567558288574
z: -0.04914720356464386
, x: 0.6199217438697815
y: 0.3404254615306854
z: -0.061688270419836044
, x: 0.6405978202819824
y: 0.6131758093833923
z: -0.03141248598694801
, x: 0.6619455218315125
y: 0.5050390958786011
z: -0.04824499785900116
, x: 0.6710256338119507
y: 0.4369035065174103
z: -0.06133292615413666
, x: 0.6757710576057434
y: 0.3783784806728363
z: -0.07182154804468155
, x: 0.67769855260849
y: 0.6546748876571655
z: -0.04599097743630409
, x: 0.7086172103881836
y: 0.5773239135742188
z: -0.06181669980287552
, x: 0.7263509035110474
y: 0.5259016752243042
z: -0.06853275001049042
, x: 0.738579511642456
y: 0.4784986078739166
z: -0.07381589710712433
]",
5,56,"[x: 0.6176415681838989
y: 0.9033737182617188
z: 5.921328352087585e-07
, x: 0.5443156957626343
y: 0.8574036359786987
z: -0.03041994385421276
, x: 0.4877013862133026
y: 0.7697415947914124
z: -0.047210562974214554
, x: 0.4486720561981201
y: 0.7000536322593689
z: -0.06248416379094124
, x: 0.40676313638687134
y: 0.6513281464576721
z: -0.0770614743232727
, x: 0.548766016960144
y: 0.6023557782173157
z: -0.014987476170063019
, x: 0.5438123941421509
y: 0.4983839988708496
z: -0.03510473296046257
, x: 0.5443139672279358
y: 0.4326101541519165
z: -0.05494416877627373
, x: 0.5481969118118286
y: 0.3771793246269226
z: -0.0704420730471611
, x: 0.596287190914154
y: 0.5930725336074829
z: -0.02064366266131401
, x: 0.6070818901062012
y: 0.4719097316265106
z: -0.03556828200817108
, x: 0.6132305264472961
y: 0.395883709192276
z: -0.0512264221906662
, x: 0.6176239252090454
y: 0.3354526460170746
z: -0.06385286897420883
, x: 0.638649582862854
y: 0.6116348505020142
z: -0.032251328229904175
, x: 0.660504162311554
y: 0.5008722543716431
z: -0.0502796396613121
, x: 0.669839084148407
y: 0.43198588490486145
z: -0.0627487450838089
, x: 0.6749535202980042
y: 0.3722463548183441
z: -0.072742760181427
, x: 0.6763769388198853
y: 0.653502881526947
z: -0.04755464941263199
, x: 0.7085182666778564
y: 0.5740517973899841
z: -0.06377904117107391
, x: 0.7261605858802795
y: 0.5208523869514465
z: -0.0701742172241211
, x: 0.738201916217804
y: 0.4709444046020508
z: -0.07530593872070312
]",
6,57,"[x: 0.6161262392997742
y: 0.908880889415741
z: 5.861961085429357e-07
, x: 0.542366623878479
y: 0.862798810005188
z: -0.02819724753499031
, x: 0.4851732850074768
y: 0.7712264060974121
z: -0.04270753264427185
, x: 0.4466587007045746
y: 0.7010037899017334
z: -0.05616214498877525
, x: 0.4054420292377472
y: 0.651947557926178
z: -0.06924910843372345
, x: 0.5464833378791809
y: 0.6032180786132812
z: -0.012769141234457493
, x: 0.5417851209640503
y: 0.4966881275177002
z: -0.03281280770897865
, x: 0.5428939461708069
y: 0.42999833822250366
z: -0.052745521068573
, x: 0.5475240349769592
y: 0.37405192852020264
z: -0.06819871813058853
, x: 0.5945344567298889
y: 0.5941829681396484
z: -0.019423846155405045
, x: 0.6050657033920288
y: 0.4696047902107239
z: -0.033958256244659424
, x: 0.6110862493515015
y: 0.39178428053855896
z: -0.05012695863842964
, x: 0.6155375242233276
y: 0.33032000064849854
z: -0.06314641982316971
, x: 0.6374638676643372
y: 0.6129624843597412
z: -0.031840208917856216
, x: 0.6589045524597168
y: 0.49892714619636536
z: -0.049211468547582626
, x: 0.6687971949577332
y: 0.42804792523384094
z: -0.061721667647361755
, x: 0.6745712161064148
y: 0.366540789604187
z: -0.07194363325834274
, x: 0.6756234765052795
y: 0.6556138396263123
z: -0.04782460629940033
, x: 0.7077780961990356
y: 0.5749906301498413
z: -0.06313472241163254
, x: 0.7264034152030945
y: 0.5215620994567871
z: -0.06883455812931061
, x: 0.7399107813835144
y: 0.4718857407569885
z: -0.07360406219959259
]",
7,58,"[x: 0.6160712242126465
y: 0.9114680290222168
z: 5.579210551331926e-07
, x: 0.540535569190979
y: 0.8655129671096802
z: -0.028886619955301285
, x: 0.4822407364845276
y: 0.7753428816795349
z: -0.044065289199352264
, x: 0.44303932785987854
y: 0.7041481137275696
z: -0.05808405205607414
, x: 0.4010355472564697
y: 0.6537005305290222
z: -0.07167167961597443
, x: 0.5434906482696533
y: 0.6068086624145508
z: -0.01280240435153246
, x: 0.5386213064193726
y: 0.4986916780471802
z: -0.03243573382496834
, x: 0.5376318693161011
y: 0.43163150548934937
z: -0.051838405430316925
, x: 0.5400325655937195
y: 0.37574511766433716
z: -0.06708073616027832
, x: 0.5912756323814392
y: 0.5976613163948059
z: -0.019120190292596817
, x: 0.6011454463005066
y: 0.47254398465156555
z: -0.03391580656170845
, x: 0.6063584685325623
y: 0.3950146436691284
z: -0.050030667334795
, x: 0.6098029613494873
y: 0.33382707834243774
z: -0.06310418993234634
, x: 0.6336009502410889
y: 0.6160066723823547
z: -0.03134309872984886
, x: 0.6541448831558228
y: 0.5019140243530273
z: -0.04927249252796173
, x: 0.6632386445999146
y: 0.43073779344558716
z: -0.062320269644260406
, x: 0.667776346206665
y: 0.36882689595222473
z: -0.07300259917974472
, x: 0.67158043384552
y: 0.6576775908470154
z: -0.047118496149778366
, x: 0.7030908465385437
y: 0.5775817632675171
z: -0.06299296766519547
, x: 0.7203946709632874
y: 0.5239091515541077
z: -0.06954415142536163
, x: 0.7321140766143799
y: 0.473874568939209
z: -0.07509741932153702
]",
8,59,"[x: 0.6157767176628113
y: 0.9128965735435486
z: 5.66966946280445e-07
, x: 0.5396904945373535
y: 0.8654069900512695
z: -0.026724714785814285
, x: 0.481509268283844
y: 0.7742927074432373
z: -0.04082545265555382
, x: 0.44150835275650024
y: 0.7045636773109436
z: -0.05430562421679497
, x: 0.39894986152648926
y: 0.6564275622367859
z: -0.06767406314611435
, x: 0.5377891659736633
y: 0.6099374890327454
z: -0.01203877106308937
, x: 0.5298628211021423
y: 0.5027347803115845
z: -0.03306956589221954
, x: 0.5279881954193115
y: 0.43527716398239136
z: -0.05352182686328888
, x: 0.530056893825531
y: 0.37778669595718384
z: -0.06922902911901474
, x: 0.5854687094688416
y: 0.5992616415023804
z: -0.01964670978486538
, x: 0.5944677591323853
y: 0.4734839200973511
z: -0.03531477600336075
, x: 0.5987697839736938
y: 0.39415207505226135
z: -0.05209863558411598
, x: 0.6015941500663757
y: 0.3297603130340576
z: -0.06546100229024887
, x: 0.6282967925071716
y: 0.6162995100021362
z: -0.032920047640800476
, x: 0.6482670307159424
y: 0.5017967224121094
z: -0.05094846338033676
, x: 0.6563040614128113
y: 0.4304509162902832
z: -0.06373786181211472
, x: 0.6598944067955017
y: 0.3681246340274811
z: -0.07414862513542175
, x: 0.6668874025344849
y: 0.6578189134597778
z: -0.049622543156147
, x: 0.698153555393219
y: 0.5775777697563171
z: -0.06481253355741501
, x: 0.7154778242111206
y: 0.5237177610397339
z: -0.07032332569360733
, x: 0.7273203134536743
y: 0.47325557470321655
z: -0.07512300461530685
]",
9,60,"[x: 0.6163802742958069
y: 0.9084538221359253
z: 5.926336257289222e-07
, x: 0.5398809313774109
y: 0.8626231551170349
z: -0.028175845742225647
, x: 0.4811834692955017
y: 0.7725536823272705
z: -0.04197372496128082
, x: 0.4419408440589905
y: 0.7020629048347473
z: -0.054789572954177856
, x: 0.39993688464164734
y: 0.6510327458381653
z: -0.06739091128110886
, x: 0.5370051860809326
y: 0.6065179109573364
z: -0.01082867756485939
, x: 0.5303640365600586
y: 0.5009011030197144
z: -0.030702421441674232
, x: 0.5287463665008545
y: 0.4328424334526062
z: -0.05065128579735756
, x: 0.5306085348129272
y: 0.3744519352912903
z: -0.0662398412823677
, x: 0.5853639841079712
y: 0.5942888259887695
z: -0.01743936538696289
, x: 0.5943647623062134
y: 0.4689266085624695
z: -0.03191152587532997
, x: 0.5984108448028564
y: 0.38915392756462097
z: -0.04844358563423157
, x: 0.6011583209037781
y: 0.3241879642009735
z: -0.06182371824979782
, x: 0.6287469863891602
y: 0.6111369729042053
z: -0.02995772287249565
, x: 0.6484962701797485
y: 0.49680617451667786
z: -0.047876857221126556
, x: 0.6562846899032593
y: 0.42644253373146057
z: -0.06075919419527054
, x: 0.6597039699554443
y: 0.3641977310180664
z: -0.07118863612413406
, x: 0.6681394577026367
y: 0.6524215340614319
z: -0.046010807156562805
, x: 0.699370265007019
y: 0.5728696584701538
z: -0.061779677867889404
, x: 0.7168828845024109
y: 0.5201460719108582
z: -0.06756962835788727
, x: 0.7290046811103821
y: 0.4698970317840576
z: -0.07245795428752899
]",
