,Frame ID,Timestamp,Hand 1 Landmarks,Hand 2 Landmarks
0,0,2023-07-29T21:35:23.807987,"[x: 0.24331769347190857
y: 0.6631597280502319
z: 4.665525636937673e-07
, x: 0.2853100299835205
y: 0.6000213027000427
z: -0.01995621994137764
, x: 0.31686344742774963
y: 0.5297411680221558
z: -0.03791826590895653
, x: 0.3427569270133972
y: 0.47751134634017944
z: -0.05373380333185196
, x: 0.3584369122982025
y: 0.4338268041610718
z: -0.06841139495372772
, x: 0.2559952139854431
y: 0.506873369216919
z: -0.05990077555179596
, x: 0.2770664095878601
y: 0.4504931569099426
z: -0.09951470047235489
, x: 0.32315176725387573
y: 0.4556709825992584
z: -0.1200074851512909
, x: 0.36229151487350464
y: 0.4701392352581024
z: -0.1309603601694107
, x: 0.23784181475639343
y: 0.5388531684875488
z: -0.06752165406942368
, x: 0.26994040608406067
y: 0.4936768412590027
z: -0.11042895168066025
, x: 0.33123666048049927
y: 0.5082274675369263
z: -0.12487521022558212
, x: 0.37833863496780396
y: 0.5240910053253174
z: -0.1314997375011444
, x: 0.23206844925880432
y: 0.5841286778450012
z: -0.07604184001684189
, x: 0.2655222713947296
y: 0.5602570176124573
z: -0.1201094314455986
, x: 0.32647740840911865
y: 0.5692148804664612
z: -0.12625861167907715
, x: 0.37530845403671265
y: 0.5770483016967773
z: -0.12491238117218018
, x: 0.23813724517822266
y: 0.6379984021186829
z: -0.08491719514131546
, x: 0.2675378918647766
y: 0.6320135593414307
z: -0.1214495599269867
, x: 0.3130296766757965
y: 0.6317965388298035
z: -0.128238707780838
, x: 0.3541198968887329
y: 0.6284387707710266
z: -0.12853948771953583
]",
1,1,2023-07-29T21:35:23.924748,"[x: 0.24491912126541138
y: 0.6841641664505005
z: 5.783822984994913e-07
, x: 0.2884436845779419
y: 0.6159268617630005
z: -0.010628662072122097
, x: 0.31470873951911926
y: 0.5503973960876465
z: -0.02854599431157112
, x: 0.33762359619140625
y: 0.5073750019073486
z: -0.04665027931332588
, x: 0.3569890260696411
y: 0.4780629277229309
z: -0.06548453122377396
, x: 0.24499662220478058
y: 0.5152216553688049
z: -0.05907275527715683
, x: 0.2818390429019928
y: 0.4704435467720032
z: -0.1015627384185791
, x: 0.3335357904434204
y: 0.47625911235809326
z: -0.1255706399679184
, x: 0.37349843978881836
y: 0.4921272099018097
z: -0.13892927765846252
, x: 0.22356456518173218
y: 0.5557780861854553
z: -0.07360183447599411
, x: 0.2715475559234619
y: 0.5134257078170776
z: -0.12182088941335678
, x: 0.33855295181274414
y: 0.518717348575592
z: -0.1403118520975113
, x: 0.38651496171951294
y: 0.5302359461784363
z: -0.149206280708313
, x: 0.21835049986839294
y: 0.6090553402900696
z: -0.08780322223901749
, x: 0.26587745547294617
y: 0.5802121162414551
z: -0.13527382910251617
, x: 0.32982757687568665
y: 0.5817067623138428
z: -0.1430523842573166
, x: 0.37479302287101746
y: 0.5878403186798096
z: -0.14213290810585022
, x: 0.22470198571681976
y: 0.6660633087158203
z: -0.10133256763219833
, x: 0.26612159609794617
y: 0.6515281200408936
z: -0.13854047656059265
, x: 0.31480294466018677
y: 0.6413193941116333
z: -0.1454801857471466
, x: 0.3550165891647339
y: 0.634950578212738
z: -0.14592722058296204
]",
2,2,2023-07-29T21:35:24.029930,"[x: 0.2576482892036438
y: 0.7058743238449097
z: 5.850909587934439e-07
, x: 0.29645484685897827
y: 0.6372820138931274
z: -0.012742101214826107
, x: 0.31409522891044617
y: 0.5721263289451599
z: -0.034095700830221176
, x: 0.33199384808540344
y: 0.5265926122665405
z: -0.05567606911063194
, x: 0.3499799072742462
y: 0.4876033067703247
z: -0.07902971655130386
, x: 0.2399066537618637
y: 0.5282924771308899
z: -0.06849035620689392
, x: 0.2812367081642151
y: 0.4748064875602722
z: -0.11477840691804886
, x: 0.3342236280441284
y: 0.47350621223449707
z: -0.13850075006484985
, x: 0.3751434087753296
y: 0.48186877369880676
z: -0.15123708546161652
, x: 0.2182522863149643
y: 0.5647056698799133
z: -0.08305276185274124
, x: 0.2717418670654297
y: 0.5115509033203125
z: -0.13586708903312683
, x: 0.3384435176849365
y: 0.5142117738723755
z: -0.15425170958042145
, x: 0.38390594720840454
y: 0.5239500403404236
z: -0.16250169277191162
, x: 0.21385319530963898
y: 0.6146265864372253
z: -0.09742257744073868
, x: 0.26745569705963135
y: 0.5746627449989319
z: -0.1502259075641632
, x: 0.33318158984184265
y: 0.5788494348526001
z: -0.15963894128799438
, x: 0.37787091732025146
y: 0.5884527564048767
z: -0.15880697965621948
, x: 0.22018764913082123
y: 0.67117840051651
z: -0.11087748408317566
, x: 0.26221147179603577
y: 0.6458002328872681
z: -0.15437665581703186
, x: 0.3128320276737213
y: 0.631641149520874
z: -0.16542460024356842
, x: 0.35425853729248047
y: 0.6235136985778809
z: -0.16796495020389557
]",
3,3,2023-07-29T21:35:24.148977,"[x: 0.25194329023361206
y: 0.7320446372032166
z: 4.958453132530849e-07
, x: 0.2978413701057434
y: 0.6646226644515991
z: -0.011523466557264328
, x: 0.3154250383377075
y: 0.5957205891609192
z: -0.0310672577470541
, x: 0.33207955956459045
y: 0.5468171834945679
z: -0.05220774561166763
, x: 0.3490482568740845
y: 0.504483163356781
z: -0.0749664232134819
, x: 0.22231699526309967
y: 0.5394443273544312
z: -0.05325563997030258
, x: 0.27216923236846924
y: 0.48003023862838745
z: -0.09877732396125793
, x: 0.3281964063644409
y: 0.47567635774612427
z: -0.12547779083251953
, x: 0.3725168704986572
y: 0.4814232587814331
z: -0.14055760204792023
, x: 0.20087990164756775
y: 0.5701814293861389
z: -0.06883883476257324
, x: 0.2656615674495697
y: 0.5111315846443176
z: -0.11787313967943192
, x: 0.333397775888443
y: 0.5122928023338318
z: -0.13942471146583557
, x: 0.37943848967552185
y: 0.5197122097015381
z: -0.15023286640644073
, x: 0.19856935739517212
y: 0.6165788173675537
z: -0.0851568654179573
, x: 0.26312392950057983
y: 0.5719550251960754
z: -0.13637365400791168
, x: 0.33110320568084717
y: 0.5777790546417236
z: -0.14962568879127502
, x: 0.37675702571868896
y: 0.587984561920166
z: -0.15135511755943298
, x: 0.2094126045703888
y: 0.6702659130096436
z: -0.10075946897268295
, x: 0.26593491435050964
y: 0.6424592733383179
z: -0.1429985910654068
, x: 0.3186459541320801
y: 0.6321986317634583
z: -0.15501846373081207
, x: 0.3589938282966614
y: 0.6262965798377991
z: -0.15802118182182312
]",
4,4,2023-07-29T21:35:24.240419,"[x: 0.24759644269943237
y: 0.7477462291717529
z: 4.963941933056049e-07
, x: 0.2942873537540436
y: 0.6677848696708679
z: -0.013523687608540058
, x: 0.3098604679107666
y: 0.5921285152435303
z: -0.0352780781686306
, x: 0.3235054910182953
y: 0.5375406742095947
z: -0.05821675807237625
, x: 0.33920854330062866
y: 0.4916495382785797
z: -0.08204758912324905
, x: 0.2115250527858734
y: 0.5292697548866272
z: -0.058367349207401276
, x: 0.26711639761924744
y: 0.46936506032943726
z: -0.10786198079586029
, x: 0.32455259561538696
y: 0.47010648250579834
z: -0.13520845770835876
, x: 0.36726444959640503
y: 0.48233428597450256
z: -0.14903460443019867
, x: 0.18899115920066833
y: 0.566895067691803
z: -0.07406669110059738
, x: 0.2636871635913849
y: 0.5063028931617737
z: -0.1287647783756256
, x: 0.33332541584968567
y: 0.509943962097168
z: -0.15063564479351044
, x: 0.37991827726364136
y: 0.5200560688972473
z: -0.1594034880399704
, x: 0.18717513978481293
y: 0.6210938692092896
z: -0.0907219797372818
, x: 0.26195719838142395
y: 0.5741627812385559
z: -0.14730772376060486
, x: 0.33134573698043823
y: 0.5799806714057922
z: -0.1603587418794632
, x: 0.37642955780029297
y: 0.5889064073562622
z: -0.15959316492080688
, x: 0.199010968208313
y: 0.6805372834205627
z: -0.10660304129123688
, x: 0.2607305645942688
y: 0.6455625891685486
z: -0.14999155700206757
, x: 0.31339746713638306
y: 0.6326501965522766
z: -0.1601630300283432
, x: 0.35228079557418823
y: 0.6235370635986328
z: -0.16055937111377716
]",
5,5,2023-07-29T21:35:24.324431,"[x: 0.24024516344070435
y: 0.7664644122123718
z: 3.2566467211836425e-07
, x: 0.29343467950820923
y: 0.6784124970436096
z: -0.010471072047948837
, x: 0.3136215806007385
y: 0.6015229821205139
z: -0.03241860494017601
, x: 0.33315107226371765
y: 0.5462731719017029
z: -0.05727566033601761
, x: 0.3536629378795624
y: 0.502347469329834
z: -0.08278676122426987
, x: 0.21621458232402802
y: 0.5224044322967529
z: -0.04995143413543701
, x: 0.2749731242656708
y: 0.46435075998306274
z: -0.10041672736406326
, x: 0.3334452211856842
y: 0.4771031439304352
z: -0.13113875687122345
, x: 0.37350985407829285
y: 0.5027168989181519
z: -0.14692844450473785
, x: 0.19385719299316406
y: 0.558601438999176
z: -0.06842909008264542
, x: 0.2681390345096588
y: 0.49814513325691223
z: -0.121485635638237
, x: 0.33471816778182983
y: 0.5092999935150146
z: -0.1454491913318634
, x: 0.37880241870880127
y: 0.528032124042511
z: -0.1557423174381256
, x: 0.19042415916919708
y: 0.6130934357643127
z: -0.08827592432498932
, x: 0.2609891891479492
y: 0.5670775771141052
z: -0.14198105037212372
, x: 0.32921791076660156
y: 0.5763914585113525
z: -0.15611086785793304
, x: 0.37430834770202637
y: 0.5900910496711731
z: -0.15655387938022614
, x: 0.20067831873893738
y: 0.6749463081359863
z: -0.1075441762804985
, x: 0.2618084251880646
y: 0.6393439769744873
z: -0.14799579977989197
, x: 0.31376662850379944
y: 0.6292725801467896
z: -0.15733566880226135
, x: 0.35284289717674255
y: 0.6236394047737122
z: -0.1575063019990921
]",
6,6,2023-07-29T21:35:24.393357,"[x: 0.23401103913784027
y: 0.7760555148124695
z: 3.269586557053117e-07
, x: 0.2903690040111542
y: 0.6841733455657959
z: -0.006029827985912561
, x: 0.31965917348861694
y: 0.6006918549537659
z: -0.025798596441745758
, x: 0.34730201959609985
y: 0.5426220297813416
z: -0.04936495050787926
, x: 0.3659277558326721
y: 0.4955138862133026
z: -0.07343533635139465
, x: 0.21021027863025665
y: 0.5327310562133789
z: -0.04302637279033661
, x: 0.2668018937110901
y: 0.47378218173980713
z: -0.08925094455480576
, x: 0.32476967573165894
y: 0.48247531056404114
z: -0.11876188963651657
, x: 0.3642914295196533
y: 0.5012559294700623
z: -0.13459914922714233
, x: 0.19000563025474548
y: 0.5715289115905762
z: -0.06279747933149338
, x: 0.26431041955947876
y: 0.5046029090881348
z: -0.10991986840963364
, x: 0.3293692469596863
y: 0.5122955441474915
z: -0.13020291924476624
, x: 0.3710896968841553
y: 0.5306200981140137
z: -0.13954849541187286
, x: 0.1880224198102951
y: 0.6253759264945984
z: -0.08397719264030457
, x: 0.26675742864608765
y: 0.5739675760269165
z: -0.1304534375667572
, x: 0.3348102271556854
y: 0.5814034938812256
z: -0.13997822999954224
, x: 0.37812554836273193
y: 0.5940412878990173
z: -0.13891348242759705
, x: 0.19998666644096375
y: 0.684768795967102
z: -0.10484302043914795
, x: 0.2565043270587921
y: 0.6412566900253296
z: -0.13781937956809998
, x: 0.3056080639362335
y: 0.6302016973495483
z: -0.14326828718185425
, x: 0.34370115399360657
y: 0.6255139708518982
z: -0.142312154173851
]",
7,7,2023-07-29T21:35:24.458042,"[x: 0.23157629370689392
y: 0.7804147601127625
z: 3.7742427139164647e-07
, x: 0.28834477066993713
y: 0.6907155513763428
z: -0.010845191776752472
, x: 0.3121594786643982
y: 0.6115276217460632
z: -0.03213784471154213
, x: 0.3343602120876312
y: 0.5560147762298584
z: -0.0563468411564827
, x: 0.354910671710968
y: 0.5066603422164917
z: -0.080731101334095
, x: 0.20815333724021912
y: 0.5339230298995972
z: -0.04698764160275459
, x: 0.2674434185028076
y: 0.4762393534183502
z: -0.09468434751033783
, x: 0.32365185022354126
y: 0.48504167795181274
z: -0.1249590665102005
, x: 0.36180049180984497
y: 0.5026039481163025
z: -0.14119206368923187
, x: 0.18750062584877014
y: 0.5701178312301636
z: -0.06425871700048447
, x: 0.26434388756752014
y: 0.508377194404602
z: -0.11368787288665771
, x: 0.32886239886283875
y: 0.5164991021156311
z: -0.1350143402814865
, x: 0.37049388885498047
y: 0.5324022769927979
z: -0.1444934904575348
, x: 0.18527448177337646
y: 0.622175931930542
z: -0.0833311527967453
, x: 0.26649388670921326
y: 0.5785828828811646
z: -0.13252684473991394
, x: 0.33366864919662476
y: 0.5870167016983032
z: -0.1438324898481369
, x: 0.3768436312675476
y: 0.5981983542442322
z: -0.1432138979434967
, x: 0.19641843438148499
y: 0.6796544194221497
z: -0.10240811109542847
, x: 0.25706514716148376
y: 0.6441819667816162
z: -0.1382959634065628
, x: 0.30625924468040466
y: 0.6361479163169861
z: -0.14604556560516357
, x: 0.3438551425933838
y: 0.6311213970184326
z: -0.1458652764558792
]",
8,8,2023-07-29T21:35:24.536568,"[x: 0.22817587852478027
y: 0.7787190675735474
z: 3.625253555128438e-07
, x: 0.2872794270515442
y: 0.6825748682022095
z: -0.007237737998366356
, x: 0.31359395384788513
y: 0.6013375520706177
z: -0.02757997065782547
, x: 0.33731937408447266
y: 0.545691728591919
z: -0.051552798599004745
, x: 0.35832303762435913
y: 0.4977855682373047
z: -0.07613953948020935
, x: 0.20617897808551788
y: 0.5317395925521851
z: -0.04666704311966896
, x: 0.2652030289173126
y: 0.46959370374679565
z: -0.09404051303863525
, x: 0.32280978560447693
y: 0.47898757457733154
z: -0.1242130845785141
, x: 0.3615569472312927
y: 0.4986177086830139
z: -0.14061374962329865
, x: 0.18682068586349487
y: 0.572824239730835
z: -0.06616002321243286
, x: 0.2643429636955261
y: 0.5076772570610046
z: -0.11656571179628372
, x: 0.33050352334976196
y: 0.5178133845329285
z: -0.1392393708229065
, x: 0.37178096175193787
y: 0.5362625122070312
z: -0.1499597132205963
, x: 0.18662497401237488
y: 0.6286560297012329
z: -0.08694896847009659
, x: 0.26430603861808777
y: 0.5792440176010132
z: -0.1353381872177124
, x: 0.3310583531856537
y: 0.5859066247940063
z: -0.14779798686504364
, x: 0.37339144945144653
y: 0.5977592468261719
z: -0.1488887220621109
, x: 0.1995534747838974
y: 0.6893681287765503
z: -0.10738636553287506
, x: 0.25655463337898254
y: 0.6491090655326843
z: -0.1421087235212326
, x: 0.303768515586853
y: 0.6371511220932007
z: -0.1506347805261612
, x: 0.3403353691101074
y: 0.6306822896003723
z: -0.15207210183143616
]",
9,9,2023-07-29T21:35:24.608892,"[x: 0.22592732310295105
y: 0.7811407446861267
z: 3.722638268754963e-07
, x: 0.28550857305526733
y: 0.6855321526527405
z: -0.007138652727007866
, x: 0.3120860159397125
y: 0.6047495007514954
z: -0.02798386476933956
, x: 0.33743757009506226
y: 0.5497201085090637
z: -0.05264931917190552
, x: 0.35741907358169556
y: 0.5007307529449463
z: -0.07781851291656494
, x: 0.20344650745391846
y: 0.5340770483016968
z: -0.047712791711091995
, x: 0.2631804943084717
y: 0.4706963300704956
z: -0.09686768054962158
, x: 0.3217507600784302
y: 0.47945770621299744
z: -0.12801653146743774
, x: 0.36152181029319763
y: 0.4982549250125885
z: -0.14481033384799957
, x: 0.1852615624666214
y: 0.5745026469230652
z: -0.067782461643219
, x: 0.26241347193717957
y: 0.5068793892860413
z: -0.11945511400699615
, x: 0.3284401297569275
y: 0.5146712064743042
z: -0.14282603561878204
, x: 0.3706534802913666
y: 0.5307743549346924
z: -0.1540382206439972
, x: 0.18575388193130493
y: 0.629673421382904
z: -0.08924434334039688
, x: 0.2648225724697113
y: 0.5783654451370239
z: -0.13905198872089386
, x: 0.33206337690353394
y: 0.5839139223098755
z: -0.15234440565109253
, x: 0.37472519278526306
y: 0.5940254926681519
z: -0.1538202166557312
, x: 0.19964799284934998
y: 0.6896445751190186
z: -0.11028222739696503
, x: 0.25710949301719666
y: 0.647467851638794
z: -0.14632508158683777
, x: 0.30518603324890137
y: 0.6341742277145386
z: -0.15565478801727295
, x: 0.34288227558135986
y: 0.6259862184524536
z: -0.1575348675251007
]",
