Time,Quaternions, Accelaration 
[2023-07-28 13:41:47.993364],[1.000,0.000,0.000,0.000], [0.127,0.125,1.027]
[2023-07-28 13:41:48.102599],[1.000,0.014,-0.007,-0.000], [0.257,0.358,0.915]
[2023-07-28 13:41:48.210826],[0.995,-0.082,-0.009,-0.053], [0.365,0.017,1.540]
[2023-07-28 13:41:48.318052],[0.971,-0.158,0.018,-0.181], [-0.222,-0.491,0.836]
[2023-07-28 13:41:48.429270],[0.956,-0.199,-0.073,-0.204], [-0.051,-0.236,0.821]
[2023-07-28 13:41:48.536011],[0.826,-0.416,-0.207,-0.320], [0.646,-0.370,0.860]
[2023-07-28 13:41:48.645251],[0.621,-0.632,-0.321,-0.336], [0.783,-0.345,0.264]
[2023-07-28 13:41:48.755477],[0.239,-0.757,-0.567,-0.219], [0.809,0.075,-0.388]
[2023-07-28 13:41:48.863702],[0.053,0.628,0.729,0.269], [0.749,0.303,-0.598]
[2023-07-28 13:41:48.972931],[0.164,-0.353,-0.824,-0.412], [0.396,0.627,-0.547]
[2023-07-28 13:41:49.083149],[0.474,0.190,-0.718,-0.473], [0.262,0.910,-0.169]
[2023-07-28 13:41:49.194369],[0.652,0.240,-0.549,-0.465], [0.318,0.837,-0.146]
[2023-07-28 13:41:49.304598],[0.723,-0.322,-0.128,-0.598], [0.505,0.104,0.225]
[2023-07-28 13:41:49.413821],[0.324,-0.698,0.268,-0.580], [0.371,-0.918,0.149]
[2023-07-28 13:41:49.525041],[0.020,-0.842,0.361,-0.400], [0.603,-0.794,-0.672]
[2023-07-28 13:41:49.635261],[0.123,0.896,-0.427,0.017], [0.193,-0.269,-0.969]
[2023-07-28 13:41:49.745993],[0.269,0.833,-0.483,0.003], [0.152,0.057,-1.067]
[2023-07-28 13:41:49.855214],[0.744,0.550,-0.379,0.004], [0.747,0.896,-0.298]
[2023-07-28 13:41:49.964436],[0.968,-0.032,-0.231,0.090], [0.596,-0.001,1.148]
[2023-07-28 13:41:50.072663],[0.950,-0.052,-0.289,0.106], [0.751,0.087,0.767]
[2023-07-28 13:41:50.181885],[0.929,-0.017,-0.317,0.188], [0.998,0.057,0.784]
[2023-07-28 13:41:50.291106],[0.609,-0.093,-0.663,0.425], [0.743,-0.382,0.321]
[2023-07-28 13:41:50.399331],[0.483,-0.049,-0.787,0.381], [1.353,-0.714,-0.177]
[2023-07-28 13:41:50.507556],[0.151,0.033,0.968,-0.198], [0.096,-0.188,-0.647]
[2023-07-28 13:41:50.617804],[0.300,-0.064,0.938,-0.164], [-0.378,-0.288,-0.872]
[2023-07-28 13:41:50.728024],[0.371,-0.142,0.912,-0.100], [-0.625,-0.438,-0.478]
[2023-07-28 13:41:50.837244],[0.627,-0.167,0.760,-0.024], [-1.132,-0.062,-0.035]
[2023-07-28 13:41:50.947988],[0.719,-0.181,0.670,0.035], [-0.768,-0.874,-1.976]
[2023-07-28 13:41:51.058195],[0.886,-0.126,0.433,0.106], [-1.051,-0.042,0.291]
[2023-07-28 13:41:51.165427],[0.962,0.001,0.050,0.269], [0.046,-0.167,0.869]
[2023-07-28 13:41:51.275713],[0.850,0.110,-0.130,0.498], [0.582,0.122,0.884]
[2023-07-28 13:41:51.386930],[0.816,0.151,-0.054,0.556], [0.541,0.168,0.938]
[2023-07-28 13:41:51.497149],[0.755,0.306,0.433,0.386], [-0.093,0.932,0.399]
[2023-07-28 13:41:51.608368],[0.632,0.378,0.671,0.086], [-0.472,0.866,-0.291]
[2023-07-28 13:41:51.717589],[0.541,0.308,0.713,-0.323], [-1.184,-0.005,-0.297]
[2023-07-28 13:41:51.828805],[0.517,0.236,0.609,-0.554], [-1.037,-0.529,-0.196]
[2023-07-28 13:41:51.938025],[0.523,0.230,0.504,-0.648], [-0.717,-0.563,0.515]
[2023-07-28 13:41:52.046761],[0.579,0.280,0.365,-0.673], [-0.997,-0.184,0.349]
[2023-07-28 13:41:52.154988],[0.576,0.285,0.235,-0.730], [-0.604,-0.083,0.705]
[2023-07-28 13:41:52.262215],[0.521,0.252,0.045,-0.814], [-0.528,0.225,0.914]
[2023-07-28 13:41:52.372435],[0.497,0.271,0.002,-0.824], [-0.584,0.228,0.766]
[2023-07-28 13:41:52.483651],[0.559,0.299,-0.028,-0.773], [-0.504,-0.071,0.815]
[2023-07-28 13:41:52.594866],[0.530,0.404,-0.309,-0.678], [-0.607,0.827,0.387]
[2023-07-28 13:41:52.705088],[0.361,0.641,-0.584,-0.343], [-0.218,0.479,-0.810]
[2023-07-28 13:41:52.816305],[0.240,0.768,-0.589,-0.077], [0.104,0.454,-1.001]
[2023-07-28 13:41:52.927521],[0.013,-0.855,0.513,0.070], [-0.482,0.114,-0.805]
[2023-07-28 13:41:53.037744],[0.056,-0.919,0.281,0.272], [-0.546,-0.310,-0.863]
[2023-07-28 13:41:53.148481],[0.097,-0.899,0.351,0.244], [-0.597,-0.076,-0.906]
[2023-07-28 13:41:53.259700],[0.098,-0.976,0.092,-0.174], [0.193,-0.348,-0.609]
[2023-07-28 13:41:53.370919],[0.167,-0.778,-0.187,-0.576], [0.923,-0.172,-0.452]
[2023-07-28 13:41:53.479141],[0.241,-0.629,-0.205,-0.710], [0.660,-0.237,-0.065]
[2023-07-28 13:41:53.586596],[0.033,-0.725,0.053,-0.686], [0.688,-0.591,-1.000]
[2023-07-28 13:41:53.697325],[0.065,0.697,-0.035,0.713], [1.007,0.000,0.146]
[2023-07-28 13:41:53.807546],[0.101,0.612,0.038,0.783], [0.830,-0.072,0.508]
[2023-07-28 13:41:53.915770],[0.167,0.571,0.125,0.794], [0.570,-0.128,0.537]
[2023-07-28 13:41:54.026021],[0.295,0.343,0.317,0.833], [0.577,0.383,0.889]
[2023-07-28 13:41:54.137213],[0.340,0.465,0.467,0.671], [0.443,0.747,0.236]
[2023-07-28 13:41:54.246466],[0.150,0.784,0.574,0.180], [-0.366,0.087,-1.420]
[2023-07-28 13:41:54.356199],[0.140,0.898,0.415,0.052], [0.198,0.251,-0.887]
[2023-07-28 13:41:54.465421],[0.128,0.834,0.535,-0.040], [-0.093,0.060,-1.063]
[2023-07-28 13:41:54.573681],[0.029,-0.866,-0.499,0.023], [0.174,-0.225,-0.715]
[2023-07-28 13:41:54.683453],[0.540,-0.673,-0.505,-0.034], [0.669,-0.648,-0.337]
[2023-07-28 13:41:54.792697],[0.786,-0.427,-0.445,-0.053], [0.920,-0.817,0.272]
[2023-07-28 13:41:54.903913],[0.802,-0.202,-0.557,0.083], [0.964,-0.350,0.073]
[2023-07-28 13:41:55.011171],[0.423,0.011,-0.894,0.145], [0.718,-0.144,-0.529]
[2023-07-28 13:41:55.119365],[0.039,-0.239,0.967,0.073], [-0.421,0.453,-1.213]
[2023-07-28 13:41:55.228589],[0.117,-0.381,0.917,0.012], [-0.091,0.006,-0.973]
[2023-07-28 13:41:55.339806],[0.106,0.471,-0.863,0.150], [0.333,-0.218,-0.826]
[2023-07-28 13:41:55.450536],[0.242,0.488,-0.831,0.114], [0.514,0.093,-0.730]
[2023-07-28 13:41:55.559758],[0.567,0.336,-0.751,-0.044], [0.668,0.233,-0.385]
[2023-07-28 13:41:55.670977],[0.699,0.169,-0.664,-0.206], [1.408,1.286,-0.047]
[2023-07-28 13:41:55.780198],[0.854,-0.357,-0.191,-0.328], [0.392,0.058,0.991]
[2023-07-28 13:41:55.891414],[0.575,-0.657,0.168,-0.458], [0.293,-0.716,0.264]
[2023-07-28 13:41:56.001667],[0.046,-0.914,0.331,-0.229], [0.104,-0.513,-0.997]
[2023-07-28 13:41:56.109892],[0.258,0.886,-0.382,0.041], [0.159,0.407,-1.241]
[2023-07-28 13:41:56.219114],[0.337,0.863,-0.340,0.163], [0.132,0.488,-0.855]
[2023-07-28 13:41:56.328336],[0.324,0.851,-0.220,0.351], [0.617,0.943,-0.900]
[2023-07-28 13:41:56.437654],[0.222,0.752,-0.028,0.620], [0.915,-0.140,0.130]
[2023-07-28 13:41:56.548875],[0.197,0.668,0.108,0.709], [0.949,0.155,-0.091]
[2023-07-28 13:41:56.656616],[0.141,0.635,0.137,0.747], [0.834,0.229,0.332]
[2023-07-28 13:41:56.763845],[0.269,0.379,0.311,0.829], [1.018,0.321,0.103]
[2023-07-28 13:41:56.875060],[0.189,0.089,0.361,0.909], [0.082,0.516,0.590]
[2023-07-28 13:41:56.984284],[0.213,0.215,-0.509,-0.806], [-0.077,0.627,0.671]
[2023-07-28 13:41:57.093533],[0.224,0.434,-0.532,-0.692], [-0.625,0.965,0.476]
[2023-07-28 13:41:57.204725],[0.167,0.397,-0.528,-0.732], [-0.771,0.610,0.445]
[2023-07-28 13:41:57.315950],[0.226,0.626,-0.495,-0.558], [-0.591,0.850,0.047]
[2023-07-28 13:41:57.424175],[0.270,0.704,-0.467,-0.462], [-0.423,0.836,-0.235]
[2023-07-28 13:41:57.533397],[0.292,0.772,-0.552,-0.119], [-0.247,0.810,-0.778]
[2023-07-28 13:41:57.641625],[0.095,0.902,-0.415,0.076], [0.010,0.092,-1.037]
[2023-07-28 13:41:57.749882],[0.042,-0.912,0.373,-0.164], [0.158,-0.293,-1.006]
[2023-07-28 13:41:57.860615],[0.267,-0.892,0.355,-0.081], [-0.346,-0.719,-0.887]
[2023-07-28 13:41:57.970863],[0.875,-0.443,0.192,-0.013], [0.114,-0.174,0.047]
[2023-07-28 13:41:58.080086],[0.973,-0.148,0.175,0.002], [-0.454,0.110,0.188]
[2023-07-28 13:41:58.191337],[0.909,-0.412,-0.007,0.063], [0.270,-0.346,0.889]
[2023-07-28 13:41:58.300568],[0.895,-0.411,-0.063,0.160], [-0.237,-0.878,1.135]
[2023-07-28 13:41:58.410787],[0.879,-0.400,-0.116,0.231], [-0.189,-0.374,0.663]
[2023-07-28 13:41:58.522004],[0.877,-0.407,-0.110,0.230], [-0.263,-0.827,0.588]
[2023-07-28 13:41:58.631227],[0.877,-0.407,-0.110,0.230], [-0.252,-0.811,0.622]
[2023-07-28 13:41:58.741447],[0.833,-0.503,-0.098,0.208], [0.235,-1.980,-0.801]
[2023-07-28 13:41:58.848678],[0.752,-0.575,-0.132,0.294], [-0.465,-1.167,0.438]
