Time,Quaternions, Accelaration 
[2023-07-28 13:42:22.750976],[0.999,-0.026,0.040,-0.008], [-0.791,-0.592,0.030]
[2023-07-28 13:42:22.862190],[0.988,-0.109,0.110,-0.006], [-0.773,-0.527,-0.117]
[2023-07-28 13:42:22.969420],[0.967,-0.204,0.154,-0.023], [-0.745,-0.509,-0.117]
[2023-07-28 13:42:23.078672],[0.983,-0.072,-0.049,-0.164], [-0.424,-0.811,-0.304]
[2023-07-28 13:42:23.186667],[0.896,0.113,-0.341,-0.262], [-0.259,-0.863,0.544]
[2023-07-28 13:42:23.296888],[0.660,0.312,-0.560,-0.393], [0.551,0.284,0.907]
[2023-07-28 13:42:23.407111],[0.325,0.523,-0.619,-0.487], [0.885,0.440,0.604]
[2023-07-28 13:42:23.515336],[0.057,-0.615,0.631,0.470], [0.660,0.674,-0.011]
[2023-07-28 13:42:23.624069],[0.653,-0.298,0.564,0.408], [0.915,1.470,-0.049]
[2023-07-28 13:42:23.732373],[0.755,-0.132,0.477,0.430], [-0.257,0.556,-0.972]
[2023-07-28 13:42:23.841594],[0.752,-0.152,0.483,0.422], [-0.524,0.381,-0.770]
[2023-07-28 13:42:23.950826],[0.521,-0.372,0.577,0.507], [-0.109,0.472,-0.641]
[2023-07-28 13:42:24.061046],[0.431,-0.456,0.621,0.470], [0.300,0.851,-0.317]
[2023-07-28 13:42:24.169299],[0.285,-0.558,0.638,0.448], [0.335,0.804,-0.257]
[2023-07-28 13:42:24.278526],[0.054,-0.540,0.656,0.524], [0.690,0.713,-0.105]
[2023-07-28 13:42:24.389741],[0.281,0.474,-0.652,-0.521], [0.837,0.322,0.458]
[2023-07-28 13:42:24.499959],[0.767,0.151,-0.532,-0.326], [0.805,-0.484,0.786]
[2023-07-28 13:42:24.608186],[0.777,-0.541,-0.146,-0.287], [-0.553,-1.627,-0.933]
[2023-07-28 13:42:24.718406],[0.792,-0.492,-0.139,-0.334], [-0.444,-0.625,-0.821]
[2023-07-28 13:42:24.829137],[0.795,-0.513,-0.021,-0.322], [-0.323,-0.629,-0.507]
[2023-07-28 13:42:24.939356],[0.831,-0.194,0.032,-0.520], [-0.059,-1.640,-0.648]
[2023-07-28 13:42:25.048580],[0.851,0.216,-0.092,-0.470], [0.108,-0.880,0.412]
[2023-07-28 13:42:25.159798],[0.737,0.481,-0.239,-0.411], [-0.024,-0.446,1.010]
[2023-07-28 13:42:25.270019],[0.736,0.506,-0.361,-0.268], [0.458,0.523,1.401]
[2023-07-28 13:42:25.381234],[0.830,0.436,-0.289,-0.195], [0.134,0.154,1.632]
[2023-07-28 13:42:25.492451],[0.997,0.057,0.052,0.024], [-0.500,-0.361,-0.028]
[2023-07-28 13:42:25.603667],[0.802,-0.395,0.266,0.361], [-0.793,0.203,-0.800]
[2023-07-28 13:42:25.712892],[0.676,-0.420,0.378,0.472], [-0.314,0.792,-0.598]
[2023-07-28 13:42:25.824109],[0.617,-0.504,0.513,0.319], [-0.300,0.605,-0.822]
[2023-07-28 13:42:25.933846],[0.413,-0.597,0.684,0.070], [0.308,0.530,-1.058]
[2023-07-28 13:42:26.044069],[0.334,-0.608,0.711,-0.112], [0.486,0.412,-0.603]
[2023-07-28 13:42:26.151297],[0.458,-0.560,0.664,-0.189], [0.444,0.148,-1.111]
[2023-07-28 13:42:26.261516],[0.766,-0.374,0.504,-0.140], [0.118,-0.534,-0.992]
[2023-07-28 13:42:26.371737],[0.838,-0.238,0.490,-0.034], [-0.029,-0.254,-0.551]
[2023-07-28 13:42:26.481956],[0.858,0.032,0.510,-0.049], [-0.611,-0.357,-0.585]
[2023-07-28 13:42:26.592175],[0.781,0.253,0.493,-0.288], [-0.354,-0.909,0.104]
[2023-07-28 13:42:26.700403],[0.693,0.401,0.442,-0.404], [-0.174,-1.105,0.435]
[2023-07-28 13:42:26.809624],[0.643,0.456,0.340,-0.513], [-0.046,-0.836,0.482]
[2023-07-28 13:42:26.918852],[0.697,0.352,0.264,-0.566], [0.320,-0.824,1.970]
[2023-07-28 13:42:27.028582],[0.751,0.314,0.262,-0.518], [-0.182,-0.741,0.310]
