Time,Quaternions, Accelaration 
[2023-07-26 15:36:38.830559],[1.000,0.013,0.004,0.009], [-0.272,0.213,0.806]
[2023-07-26 15:36:38.939787],[0.997,0.030,0.031,0.056], [-0.257,0.366,0.834]
[2023-07-26 15:36:39.049558],[0.991,0.021,0.060,0.121], [-0.184,0.322,0.923]
[2023-07-26 15:36:39.159299],[0.984,0.020,0.075,0.158], [-0.198,0.311,1.056]
[2023-07-26 15:36:39.269438],[0.983,0.025,0.059,0.172], [-0.084,0.351,1.054]
[2023-07-26 15:36:39.379185],[0.985,0.043,0.036,0.162], [-0.119,0.380,0.940]
[2023-07-26 15:36:39.488934],[0.988,0.066,0.019,0.138], [-0.120,0.422,0.895]
[2023-07-26 15:36:39.598696],[0.990,0.076,0.018,0.120], [-0.104,0.476,0.872]
[2023-07-26 15:36:39.708431],[0.992,0.071,0.010,0.102], [-0.088,0.419,0.916]
[2023-07-26 15:36:39.818169],[0.996,0.066,-0.034,0.052], [-0.013,0.391,0.913]
[2023-07-26 15:36:39.927911],[0.998,0.056,-0.034,0.019], [-0.252,0.333,0.851]
[2023-07-26 15:36:40.037676],[0.997,0.049,-0.056,0.004], [-0.034,0.278,1.053]
[2023-07-26 15:36:40.147435],[0.997,0.050,-0.059,-0.020], [-0.171,0.289,0.952]
[2023-07-26 15:36:40.257178],[0.996,0.047,-0.066,-0.035], [-0.121,0.302,0.982]
[2023-07-26 15:36:40.367311],[0.995,0.044,-0.072,-0.045], [-0.088,0.264,1.002]
[2023-07-26 15:36:40.477053],[0.995,0.044,-0.075,-0.051], [-0.134,0.322,0.971]
[2023-07-26 15:36:40.586798],[0.995,0.038,-0.078,-0.054], [-0.078,0.259,1.000]
[2023-07-26 15:36:40.696452],[0.995,0.032,-0.073,-0.053], [0.019,0.330,1.045]
[2023-07-26 15:36:40.806187],[0.997,0.029,-0.047,-0.052], [-0.094,0.338,1.094]
[2023-07-26 15:36:40.915300],[0.998,0.019,0.002,-0.058], [-0.270,0.157,0.903]
[2023-07-26 15:36:41.015624],[0.998,0.028,-0.031,-0.043], [-0.018,0.352,1.171]
[2023-07-26 15:36:41.127979],[0.998,0.041,-0.032,-0.047], [-0.248,0.244,0.931]
[2023-07-26 15:36:41.233145],[0.998,0.043,-0.034,-0.039], [-0.073,0.235,1.037]
[2023-07-26 15:36:41.335563],[0.998,0.049,-0.024,-0.029], [-0.187,0.331,0.989]
[2023-07-26 15:36:41.445172],[0.998,0.066,-0.017,-0.017], [-0.208,0.354,1.039]
[2023-07-26 15:36:41.553177],[0.997,0.078,-0.014,-0.020], [-0.282,0.345,0.875]
[2023-07-26 15:36:41.662233],[0.996,0.074,-0.013,-0.043], [-0.331,0.327,0.814]
[2023-07-26 15:36:41.770780],[0.994,0.071,-0.015,-0.078], [-0.287,0.202,0.946]
[2023-07-26 15:36:41.879455],[0.991,0.072,-0.006,-0.112], [-0.201,0.296,0.831]
[2023-07-26 15:36:41.986757],[0.988,0.060,-0.013,-0.143], [-0.312,0.229,1.028]
[2023-07-26 15:36:42.095297],[0.984,0.058,-0.017,-0.168], [-0.278,0.226,1.079]
[2023-07-26 15:36:42.203995],[0.979,0.067,-0.024,-0.193], [-0.247,0.254,0.959]
[2023-07-26 15:36:42.312443],[0.971,0.080,-0.030,-0.224], [-0.309,0.286,1.015]
[2023-07-26 15:36:42.422595],[0.967,0.083,-0.031,-0.239], [-0.293,0.253,1.018]
