Time,Quaternions, Accelaration 
[2023-07-26 15:56:53.118507],[1.000,-0.003,0.001,0.001], [0.364,0.832,0.412]
[2023-07-26 15:56:53.218753],[0.998,-0.020,0.061,-0.001], [0.225,0.747,0.511]
[2023-07-26 15:56:53.319003],[0.997,-0.026,0.075,-0.003], [0.281,0.788,0.450]
[2023-07-26 15:56:53.419252],[0.998,-0.025,0.051,-0.001], [0.310,0.801,0.557]
[2023-07-26 15:56:53.519499],[0.998,-0.026,0.052,-0.002], [0.323,0.796,0.457]
[2023-07-26 15:56:53.619749],[0.999,-0.026,0.042,-0.002], [0.414,0.795,0.537]
[2023-07-26 15:56:53.720005],[0.999,-0.025,0.032,-0.003], [0.449,0.819,0.467]
[2023-07-26 15:56:53.821257],[0.999,-0.026,0.027,-0.005], [0.365,0.805,0.503]
[2023-07-26 15:56:53.921506],[0.999,-0.027,0.022,-0.007], [0.371,0.801,0.476]
[2023-07-26 15:56:54.021756],[0.999,-0.028,0.020,-0.007], [0.351,0.785,0.481]
[2023-07-26 15:56:54.122043],[0.999,-0.028,0.019,-0.007], [0.369,0.810,0.482]
[2023-07-26 15:56:54.222290],[0.999,-0.029,0.021,-0.006], [0.368,0.803,0.494]
[2023-07-26 15:56:54.322553],[0.999,-0.028,0.020,-0.006], [0.363,0.800,0.481]
[2023-07-26 15:56:54.422801],[0.999,-0.027,0.020,-0.006], [0.363,0.792,0.479]
[2023-07-26 15:56:54.523048],[0.999,-0.026,0.019,-0.006], [0.354,0.803,0.481]
[2023-07-26 15:56:54.623297],[0.999,-0.025,0.019,-0.005], [0.385,0.800,0.473]
[2023-07-26 15:56:54.723551],[1.000,-0.026,0.012,-0.005], [0.358,0.802,0.476]
[2023-07-26 15:56:54.823804],[1.000,-0.023,-0.007,-0.008], [0.422,0.808,0.448]
[2023-07-26 15:56:54.924058],[1.000,-0.020,-0.016,-0.011], [0.327,0.804,0.387]
[2023-07-26 15:56:55.024307],[1.000,-0.020,-0.020,-0.009], [0.366,0.810,0.453]
[2023-07-26 15:56:55.124558],[1.000,-0.021,-0.018,-0.008], [0.409,0.797,0.448]
[2023-07-26 15:56:55.224810],[1.000,-0.021,-0.018,-0.008], [0.404,0.814,0.419]
[2023-07-26 15:56:55.325063],[1.000,-0.021,-0.017,-0.008], [0.393,0.808,0.437]
[2023-07-26 15:56:55.425316],[1.000,-0.021,-0.016,-0.008], [0.396,0.810,0.441]
[2023-07-26 15:56:55.525566],[1.000,-0.021,-0.016,-0.008], [0.384,0.811,0.433]
[2023-07-26 15:56:55.625819],[1.000,-0.022,-0.015,-0.007], [0.395,0.805,0.446]
[2023-07-26 15:56:55.726073],[1.000,-0.022,-0.020,-0.009], [0.360,0.794,0.477]
[2023-07-26 15:56:55.826316],[0.995,-0.007,-0.096,-0.033], [0.450,0.808,0.373]
[2023-07-26 15:56:55.926571],[0.973,0.013,-0.217,-0.080], [0.295,0.897,0.258]
[2023-07-26 15:56:56.026820],[0.957,0.019,-0.270,-0.105], [0.240,0.896,0.173]
[2023-07-26 15:56:56.127067],[0.950,0.018,-0.291,-0.114], [0.291,0.915,0.102]
[2023-07-26 15:56:56.227320],[0.945,0.009,-0.302,-0.122], [0.333,0.920,0.180]
[2023-07-26 15:56:56.327566],[0.942,0.004,-0.309,-0.129], [0.285,0.915,0.174]
[2023-07-26 15:56:56.427814],[0.940,0.002,-0.313,-0.134], [0.312,0.929,0.207]
[2023-07-26 15:56:56.528066],[0.939,0.001,-0.316,-0.137], [0.311,0.918,0.159]
[2023-07-26 15:56:56.628319],[0.938,0.000,-0.317,-0.138], [0.302,0.922,0.234]
[2023-07-26 15:56:56.728566],[0.938,-0.000,-0.319,-0.138], [0.329,0.921,0.201]
[2023-07-26 15:56:56.828820],[0.938,-0.001,-0.318,-0.139], [0.341,0.938,0.231]
[2023-07-26 15:56:56.929068],[0.938,-0.001,-0.319,-0.139], [0.306,0.934,0.269]
[2023-07-26 15:56:57.029322],[0.937,-0.002,-0.320,-0.139], [0.335,0.925,0.285]
[2023-07-26 15:56:57.129593],[0.935,-0.001,-0.324,-0.141], [0.310,0.933,0.226]
[2023-07-26 15:56:57.229837],[0.930,-0.004,-0.335,-0.151], [0.288,0.968,0.232]
[2023-07-26 15:56:57.330084],[0.917,-0.027,-0.358,-0.176], [0.275,0.929,0.177]
[2023-07-26 15:56:57.430333],[0.895,-0.050,-0.390,-0.211], [0.228,0.944,0.261]
[2023-07-26 15:56:57.530582],[0.873,-0.051,-0.422,-0.238], [0.263,0.901,0.383]
[2023-07-26 15:56:57.630828],[0.867,-0.044,-0.427,-0.252], [0.217,0.991,0.422]
[2023-07-26 15:56:57.731076],[0.863,-0.039,-0.436,-0.254], [0.185,0.919,0.424]
[2023-07-26 15:56:57.831326],[0.861,-0.048,-0.439,-0.251], [0.168,0.943,0.129]
[2023-07-26 15:56:57.931574],[0.860,-0.059,-0.438,-0.255], [0.226,0.961,0.048]
[2023-07-26 15:56:58.031821],[0.853,-0.090,-0.433,-0.276], [0.309,1.013,0.260]
