Time,Quaternions, Accelaration 
[2023-07-27 14:00:26.436932],[1.000,-0.001,-0.000,0.003], [-0.027,0.121,1.042]
[2023-07-27 14:00:26.547156],[0.999,-0.001,-0.007,0.033], [-0.121,0.171,1.153]
[2023-07-27 14:00:26.654385],[0.997,0.007,-0.018,0.078], [-0.089,0.180,1.002]
[2023-07-27 14:00:26.765602],[0.991,0.012,-0.026,0.133], [-0.005,0.193,0.963]
[2023-07-27 14:00:26.876822],[0.983,0.003,-0.040,0.180], [0.167,0.148,0.981]
[2023-07-27 14:00:26.985049],[0.978,-0.017,-0.045,0.201], [0.020,-0.023,1.043]
[2023-07-27 14:00:27.094270],[0.976,-0.024,-0.048,0.210], [0.135,-0.026,1.001]
[2023-07-27 14:00:27.202499],[0.978,-0.022,-0.033,0.206], [0.074,0.031,1.044]
[2023-07-27 14:00:27.313722],[0.979,-0.023,-0.018,0.202], [0.036,0.083,1.047]
[2023-07-27 14:00:27.421942],[0.979,-0.026,-0.004,0.201], [0.012,0.083,1.041]
[2023-07-27 14:00:27.530678],[0.980,-0.029,0.014,0.199], [-0.018,0.096,1.032]
[2023-07-27 14:00:27.639903],[0.979,-0.035,0.036,0.197], [-0.066,0.091,1.063]
[2023-07-27 14:00:27.749125],[0.975,-0.051,0.097,0.196], [-0.173,0.080,1.038]
[2023-07-27 14:00:27.857349],[0.963,-0.071,0.173,0.195], [-0.451,0.053,0.979]
[2023-07-27 14:00:27.968569],[0.938,-0.100,0.271,0.191], [-0.463,0.050,0.912]
[2023-07-27 14:00:28.079783],[0.899,-0.134,0.375,0.179], [-0.781,0.042,0.729]
[2023-07-27 14:00:28.187011],[0.873,-0.164,0.427,0.171], [-0.780,-0.003,0.687]
[2023-07-27 14:00:28.298253],[0.855,-0.187,0.455,0.165], [-0.821,-0.054,0.584]
[2023-07-27 14:00:28.406536],[0.833,-0.199,0.492,0.153], [-0.795,-0.076,0.484]
[2023-07-27 14:00:28.515758],[0.781,-0.208,0.575,0.130], [-0.985,-0.051,0.358]
[2023-07-27 14:00:28.624980],[0.736,-0.200,0.636,0.119], [-1.083,-0.017,0.212]
[2023-07-27 14:00:28.733718],[0.725,-0.189,0.651,0.121], [-0.994,0.006,0.152]
[2023-07-27 14:00:28.843937],[0.737,-0.187,0.637,0.122], [-0.993,0.008,0.178]
[2023-07-27 14:00:28.954158],[0.763,-0.184,0.606,0.130], [-1.054,0.005,0.224]
[2023-07-27 14:00:29.065374],[0.824,-0.172,0.517,0.157], [-0.854,0.004,0.441]
[2023-07-27 14:00:29.175605],[0.878,-0.155,0.411,0.189], [-0.477,0.000,0.580]
[2023-07-27 14:00:29.285824],[0.930,-0.131,0.258,0.226], [-0.551,0.006,0.680]
[2023-07-27 14:00:29.397039],[0.962,-0.092,0.046,0.251], [-0.047,-0.015,0.953]
[2023-07-27 14:00:29.508285],[0.962,-0.072,-0.058,0.256], [0.391,-0.037,1.035]
[2023-07-27 14:00:29.618509],[0.958,-0.062,-0.114,0.255], [0.336,-0.063,1.047]
[2023-07-27 14:00:29.726640],[0.963,-0.078,-0.068,0.249], [0.070,-0.055,1.035]
[2023-07-27 14:00:29.836373],[0.963,-0.082,-0.065,0.247], [0.108,-0.050,1.040]
[2023-07-27 14:00:29.945595],[0.965,-0.107,0.041,0.237], [-0.215,-0.058,1.024]
[2023-07-27 14:00:30.056812],[0.957,-0.124,0.125,0.229], [-0.230,-0.048,1.001]
[2023-07-27 14:00:30.165037],[0.964,-0.110,0.045,0.237], [-0.236,-0.062,1.011]
[2023-07-27 14:00:30.274278],[0.952,-0.078,-0.153,0.253], [0.333,-0.094,1.043]
[2023-07-27 14:00:30.383508],[0.929,-0.071,-0.252,0.261], [0.355,-0.137,0.927]
[2023-07-27 14:00:30.494726],[0.891,-0.053,-0.363,0.267], [0.486,-0.152,0.764]
[2023-07-27 14:00:30.604947],[0.828,-0.032,-0.485,0.279], [0.864,-0.195,0.608]
[2023-07-27 14:00:30.716167],[0.801,-0.027,-0.522,0.292], [0.771,-0.231,0.529]
[2023-07-27 14:00:30.825393],[0.775,-0.029,-0.549,0.313], [0.785,-0.259,0.525]
[2023-07-27 14:00:30.935126],[0.758,-0.038,-0.558,0.336], [0.989,-0.281,0.456]
[2023-07-27 14:00:31.046348],[0.758,-0.035,-0.554,0.342], [0.920,-0.335,0.402]
[2023-07-27 14:00:31.154571],[0.760,-0.037,-0.553,0.339], [0.925,-0.313,0.506]
[2023-07-27 14:00:31.262798],[0.768,-0.040,-0.548,0.329], [0.859,-0.319,0.492]
[2023-07-27 14:00:31.374015],[0.778,-0.043,-0.541,0.317], [0.887,-0.286,0.533]
[2023-07-27 14:00:31.483239],[0.807,-0.052,-0.505,0.302], [0.383,-0.240,0.345]
[2023-07-27 14:00:31.593462],[0.877,-0.081,-0.386,0.275], [0.772,-0.252,0.721]
[2023-07-27 14:00:31.700688],[0.912,-0.089,-0.305,0.260], [0.196,-0.225,0.813]
[2023-07-27 14:00:31.810907],[0.937,-0.085,-0.222,0.256], [0.431,-0.134,0.996]
[2023-07-27 14:00:31.921146],[0.947,-0.097,-0.167,0.256], [0.368,-0.104,0.993]
[2023-07-27 14:00:32.032346],[0.945,-0.093,-0.182,0.257], [0.324,-0.119,0.993]
[2023-07-27 14:00:32.141084],[0.942,-0.091,-0.194,0.257], [0.242,-0.142,1.040]
[2023-07-27 14:00:32.250310],[0.937,-0.088,-0.216,0.259], [0.414,-0.140,0.987]
[2023-07-27 14:00:32.359532],[0.942,-0.092,-0.196,0.256], [0.424,-0.145,1.017]
[2023-07-27 14:00:32.468753],[0.951,-0.096,-0.149,0.253], [0.275,-0.117,1.014]
[2023-07-27 14:00:32.577975],[0.960,-0.111,-0.064,0.249], [-0.047,-0.104,1.020]
[2023-07-27 14:00:32.689192],[0.958,-0.139,0.060,0.243], [-0.191,-0.136,1.046]
[2023-07-27 14:00:32.800408],[0.943,-0.157,0.185,0.229], [-0.369,-0.067,0.981]
[2023-07-27 14:00:32.907637],[0.912,-0.170,0.309,0.209], [-0.559,-0.042,0.748]
